[00:00.000] 在接待李女士
[178:09.840] 中午
[178:11.210] 的地方
[178:14.250] 5万不给。
[178:17.000] 我在外边做点。
[178:23.050] 好吧？好得了，稍微要
[178:32.820] 这一点
[178:58.390] 一共130，
[178:59.640] 在125,000
[179:03.600] 了。
[179:09.190] 坏数据，
[179:11.800] 坏
[179:15.750] 什么已经都去办去了，然后他应该好像都办完了，
[179:24.390] 办完了就等着出指标了，指标出来我到时候安排您
[179:29.970] 好了，您别着急。
[179:33.690] 行好勒。
[179:36.970] 好勒。
[179:39.280] 聊着说你
[179:42.550] 我们电流的电在
[179:48.020] 哪个是定慧桥打电话？
[179:51.630] 就是你的
[179:54.530] 5分钟与
[179:58.810] 开票今天要认账就可以了。
[180:00.940] 谁知
[180:05.310] 已经坐在王子
[180:24.180] 今晚的
[180:51.790] 就是我的折腾。
[180:54.310] 我电话。
[180:55.140] 不是你定的创业什么？
[180:57.280] 我现在要做支架，简单样子，第一步给大概中兴。
[181:02.030] 我看
[181:03.810] 我放眼
[181:06.370] 的话可以
[181:10.510] 希望
[181:11.630] 如果都用
[181:13.370] 咱们也得讲清楚。
[181:15.750] 我觉得互联网
[181:16.930] 我现在就等
[181:19.080] 哪个大户还是怎么着？
[181:37.690] 好，下面
[181:39.090] 我觉得这样我没见过
[181:40.720] 说问题别的科室
[181:42.980] 来我的错，
[181:45.070] 我开始。
[182:07.670] 你看我跟
[182:10.520] 心虚。
[182:17.270] 多少分？
[182:22.560] 台湾城。
[182:23.470] 没关系。
[182:25.610] 要知道我们不能沟通。
[182:30.880] 你超的部分你给了吗？
[182:47.370] 又错了，我tmd也错了。
[182:49.930] 别忘了，不过你要开票，那么应该说下地铁让他给你钱，要么扣他钱，
[182:55.060] 只要那边报出来就扣他们平台。
[183:15.320] 对我跟你讲，
[183:22.960] 要灵活点有选择就好了。
[183:24.880] 了。
[183:26.510] 我会给你回电跟建议没有，对就跟。
[183:30.990] 俺们原来说哪的？
[183:32.310] 有我给你单说说这好事，咱。
[183:35.630] 这一的优惠就是降低。
[183:37.330] 降价加了3万的优惠多一点。
[183:40.420] 谁知的利率要是有这样的算了的利润率就高点，对，你比方你。
[183:47.700] 提到自我反弹就多。
[183:49.250] 行。
[183:50.100] 明儿咱用还有一个家的发展，比如说去年你到了3万是人家两个增加都是中分头。
[183:57.530] 物业剩了3万对吧？
[183:59.450] 宋庄我这是多少你收，包括人家有钱了，这卡上这个钱还是说的要给他的家里特别的孩子给你卡，但是。
[184:09.980] 用。
[184:12.090] 我提了将15,000一般都减少了，刚刚给他15,000精品可以对吧？
[184:18.590] 这就是你取一些。
[184:20.040] 妈的生日。
[184:22.230] 这多好。
[184:23.830] 你了。
[184:27.810] 了。
[184:31.710] 230。
[184:33.530] 对，你坐上了，对。
[184:36.230] 一会找找礼拜三拜拜。
[184:42.830] 要不然
[184:50.040] 基本上
[184:51.080] 分享这句话，您说一下人家说闲话。
[184:53.640] 这一说的一个更高的地方，我
[184:57.030] 谁知
[184:58.500] 你说的关系这出来产品
[185:02.070] 快一点。
[185:04.330] 其实老板外穿了
[185:07.350] 自己干着找觉得做天气工厂，
[185:10.930] 他不。
[185:12.640] 你们能做得了吗？外国人？
[185:15.030] 对了。
[185:17.150] 赚了多少？
[185:19.770] 然后他拿过来，
[185:21.180] 然后这个人自己坐飞机来了，
[185:24.350] 原来我说他就等着你们回家，这上面没上工作，
[185:27.820] 也没有，
[185:31.120] 然后3~535，
[185:37.550] 关键
[185:38.320] 这块来了。
[185:40.180] 对。
[185:42.550] 我这边
[185:48.980] 这东西谈到了，对可用你先问财务行不行，人家财务不行，
[185:54.460] 财务上怎么写的？
[185:56.000] 干嘛给我干嘛，我做不了主。
[185:59.430] 他们给盖着天的。
[186:02.070] 谁给徐总
[186:07.720] 关于公布了，
[186:25.230] 我只要一点，
[186:30.200] 看看
[186:33.460] 那边
[186:41.570] 的。
[186:43.960] 谁知这点破事儿人家有钱，
[186:51.370] 拿妈妈的卡刷，
[186:52.740] 我说的我没让你签字，让你看看行不行了？
[186:58.630] 大。
[187:04.890] 不是不就行了。
[187:08.320] 只要15千了。
[187:11.730] 的
[187:15.550] 丽丽。
[187:17.490] 你写好了。
[187:21.110] 你找徐总签完了吗？徐总不在。
[187:24.070] 已经一下午找了两趟都不在，下午就不带，你可以问心碑。
[187:28.970] 你们没来吗？
[187:30.990] 就这点破事儿。
[187:33.990] 对，或者问问。
[187:36.420] 这是我说的，他说行，他说胸部在这放，
[187:40.380] 他都给签了字又给擦。
[187:43.740] 对，你拿铅笔瞎胡什么？
[187:59.130] 的。
[188:07.070] 你们知道搬。
[188:12.700] 现在
[188:16.240] 睡前。
[188:17.320] 那不是文章。
[188:19.020] 没有不签，你后期查你也不行，你要是审计查了，
[188:25.460] 那名字不就砸了吗？你也不差这半天。
[188:28.560] 这都5点了，今儿也P不了了。
[188:31.990] 我就让你看看能不能给你解决，你说行就行。
[188:39.420] 你们俩我真的了。
[190:21.350] 这边您可以。
[190:23.320] 可以的。
[190:24.340] 没问题。
[190:40.810] 然后您党。
[190:43.290] 的好。
[190:44.660] 然后。
[190:46.650] 我也需要有一些手
[191:11.180] 已经接近上班了，今天第一天，然后你手续我都已经提报完了。
[191:15.760] 应该是下周
[191:18.740] 应该是下周弄，我这钱，因为最后不是从我这卡里刷上去吗，谁就原路退回退到我这卡了，
[191:25.080] 然后这20万我收到了，然后马上
[191:27.630] 就给你费。
[191:36.470] 需要您这个公司的营业执照的复印件盖公章，然后我们有一个垫付垫付证明要
[191:44.280] 要垫付证明要
[191:48.470] 盖章，
[191:50.360] 按照现金多少？
[191:52.030] 多少？500。
[191:53.740] 还有点。
[191:55.250] 500没有那么多，你拿微信支付不也能加吗？
[191:59.490] 聊微信。
[192:55.630] 得签个字。
[192:58.360] 这小孩在买的P53刷卡的时候刷的卡，但是
[193:03.090] 这卡就给他使的，就每月给你存钱，你就花的那种老弄，这到时候来找他，他做又得跟未婚解释。
[193:10.450] 对，然后还有一个用公章的OA到那个点，
[193:18.590] 我这已经都办了到漳平了。
[193:21.600] 了那什么呢？
[193:45.470] 干嘛去？
[194:33.640] 他们那去
[194:40.130] 腾退了。
[194:41.440] 我还早就给你了。
[194:43.260] 没给你点吗？
[194:44.960] 就能睡了是吧？
[194:47.090] 你就这名字写错了吗？我不知道那什么的。
[194:51.460] 我问清楚了是怎么回事。
[194:54.230] 小孩你
[194:55.760] 家里有钱吗？给他们卡账号密码，
[194:59.640] 所以存钱这就是工资随便花。
[195:06.120] 你叫我
[195:07.490] 你先拿卡。
[195:09.040] 我哪有你叫了，
[195:11.840] 不能发希望叫，不行就按照我给你没见你。
[195:16.070] 我回家拿卡去
[195:20.440] 拿卡给密码，我要充钱没信用卡，对有一个问题。
[195:24.090] 题我就把文件发给了，我们给你单子也是不是委托这个名字过了我了你做了。
[195:30.900] 它自动做的，他不在我看。
[196:02.240] 音乐。
[196:13.760] 136。
[196:21.240] 您打了。
[196:22.670] 有一点
[196:24.720] 认识。
[196:26.160] 对。
[196:31.080] 兄弟我这两天还有培训吗？
[196:34.800] 提前没有。
[196:38.360] 不是，但是有一个白老师的上回A35的不是王老师给您上的吗？
[196:45.140] 但是上这次去报的。
[196:47.600] 上您这次是白老师您要是要学的话，
[196:52.840] 行行，但是我依然会通知白老师。
[197:00.510] 您好。
[197:01.980] 对，打上了这些你都不用了，谢谢麻烦您了。
[197:07.510] 你下班在打孩子。
[197:09.230] 然后这边今天
[197:11.040] 干嘛？
