[00:03.320] 好，听说了吗？后边候鸟。
[121:46.260] 行政添加了一下，现在能选出来了，然后庐山就给他返边就行了，
[121:50.810] 然后再重新做。
[122:01.680] 他没接电话不好。
[122:13.150] 但是他们生佳刚才我跟燕尾蝶
[122:16.120] 那边是显得礼包当时显示反太长想，
[122:20.330] 我倒觉得正常的时候就应该他选了金融方案，它就能带出来他健康长大。
[122:26.220] 不是，你看它后边那不写了，
[122:28.860] 我不知道对不对，写是不是这意思？
[122:32.800] 什么O销售OT操作截图，下班你是说签约申请单是吧？他说有什么7月份可能照相4A+4B什么对。
[122:41.980] 但是他第二有一个。
[122:43.910] 红圈内售后增值礼包的名称，各集团设置的会有所不同。
[122:50.190] 普通话系统好像。
[122:51.510] 那个店下面有
[122:53.820] 目标什么
[122:55.080] 也会有不管。
[123:00.500] 没有你们自己手上。
[123:02.420] 还是自个家重新检讨凉快。
[123:06.660] 是吗？
[123:07.770] 打掉了差不多。
[123:09.430] 昨天那大哥
[123:11.050] 左右回来后那个人用夜明天去抵押，
[123:15.930] 大哥还挺不情愿的给我了，然后还得
[123:19.370] 为啥呢？
[123:22.370] 他就觉得
[123:23.500] 他不正好垫，比方说车身份证不用。
[123:26.640] 在这就得扣。
[123:29.410] 觉得上下客户知道我给你们行，你们不能自己拿，
[123:34.680] 看到自己
[123:37.630] 系统登录方式变革，
[123:43.840] 看系统
[123:45.320] 没有脂肪。
[123:50.630] 7月19日起请使用的。
[123:53.490] 第8章。
[123:54.370] 号等等。
[123:58.510] 可以的。
[124:01.920] 教授太牛了，都有8个。
[124:04.150] 第二，
[124:06.030] 下辖相应
[124:08.540] 调解不是小姐东西比较什么来着哥，您说怎么着？不是，我想想咱们昨天晚上说着反对，
[124:15.130] 在工行办贷款当中为什么这么繁琐，有哪些问题，但当时你得想一想，
[124:20.590] 今天和明天徐总在开会，估计他应该是购票，应该是清楚你们某一个老大爷来。
[124:27.330] 是的，对陈总这边也跟我说了，说想想再办理贷款，为什么工行的办理贷款
[124:34.510] 的份额这么少？
[124:35.830] 它比建行少了那些东西，首先第一项就是建行人说到后来是不是一直不抵押二点，然后后面这块不收手续费了。
[124:43.070] 对，那还贵。
[124:44.910] 还有一个就是手续审核的过程，流程太繁琐，所以导致工行在我店的贷款的业绩持续下滑还好，应该这么说。
[124:56.350] 这事儿你把所有困难没事，你可以跟徐总说，你不敢说让徐总帮你说
[125:02.310] 就完事了吗？
[125:03.010] 对。
[125:04.070] 其实我这两
[125:05.820] 慢慢在哪，他不是man在审批上，审批银行基本都差不多一样，都三天，主要就是慢慢只说服
[125:13.450] 你这个客户
[125:15.120] 联系完了，提交手续快等两天，
[125:17.510] 等了两天以后提交上去审批，就算等一天等一天出结果得让客户补手续。
[125:25.210] 这鼓手两又两三天，
[125:28.220] 那礼拜这一周就过去了，对这就5天了，5天就将一周日周7天，而且最重要的增加火电资源在公司的
[125:37.320] 库存的流转周期变长，
[125:39.370] 导致占用公司大量的
[125:42.030] 资金，
[125:43.870] 这是事实对吧？
[125:46.520] 不是你真的想想，
[125:49.100] 他说你不敢说的，你不是等一下徐总，你说你看来这多大领导，
[125:54.630] 其实这样就他说再见吗？
[125:58.080] 说你们哪个头带那个头来？
[126:00.400] 对
[126:03.330] 应该是海西的头带着分行团委
[126:06.900] 分行
[126:08.980] 是北京市很好，对。
[126:12.960] 您好。
[126:17.020] 好了。
[126:21.480] 你帮我说一句话也行。
[126:23.530] 比如说这样，然后正常审批都有标准。
[126:26.740] 后骗他说没有标准，
[126:30.970] 因为我管他要标准够是吧？是不是？你得把车交给我。
[126:35.860] 对，比方说那边
[126:38.200] 咱们这管你帮我报，谁知
[126:42.840] 还款还有负债少那就能批对吧？
[126:47.370] 人有一个大概的概况，人多说要求比如说多少有，那么当时大概有一个
[126:52.900] 咱工行不是提供的那些东西，你不也见过我给客户发模版，其实提供的东西算够全了，
[126:59.980] 比如人家有房也不能作为
[127:03.120] 比这些负债的或者说其他的这些比如开放金融资产，比如说人在招行有500万
[127:08.870] 人，咱工行要批100万。
[127:11.080] 是有形性。
[127:14.110] 就没有这种相关的标准，
[127:16.410] 会写或者技术，然后建行跟工行你可以随便瞎掰，以后人家都有。
[127:24.490] 我跟他聊的不就完了吗？
[127:27.350] 可能我还没到那级别。
[127:29.950] 我说我的进展，我看销售以后。
[127:34.320] 还能报吗？说这样的一个有没有后天见？
[127:41.130] 现在应该后刹车片报警的需要换。
[127:44.410] 我觉得你刚才做那个就没有。
[127:47.470] 对了。
[127:49.030] 因为需要这问题。
[127:52.330] 有点问题，我
[127:53.720] 金额肝癌ct上金额对不上。
[127:57.310] 三个。
[127:59.190] 只能由你而为主，在xp上没经过又不上，那搁着怎么办？
[128:05.080] 不了吗？他这个里边O.2这个金额就是16,000多，然后SB金额是17,000，
[128:10.760] 我差一点钱。
[128:15.740] 礼貌上的金额。
[128:24.660] 小明。
[128:25.960] 四点点半。
[128:27.930] 刚才问。
[128:30.200] 手柄你都。
[128:32.550] 我给我的单位。
[128:34.220] 应该
[128:35.180] 网店的制度
[128:36.810] 项目已经超过。
[128:41.120] 后面还有几个问题现在
[128:43.340] 别把我卖了。
[128:45.160] 第一。
[128:48.000] 没有对吧？
[128:50.200] 要审批标准。
[128:52.940] 应该是要求是吧？要找的网上之后哪个专业。
[128:58.570] 让我昨天也就是我让那个点简单的问题，但我还是有点。
[129:04.400] 有房屋价格出这有整理的。
[129:07.510] 我是173B。
[129:08.960] 是吧？
[129:12.170] 原来我什么时候或者到不行，
[129:14.300] 差不多相信的就行，也
[129:20.250] 没有正常，然后比如说有房贷的更好，
[129:23.440] 中行有一个名单。
[129:26.040] 说具体的审计标准安排一个大概的审批，原来
[129:30.560] 送别不具体的，因为具体的也不
[129:33.420] 简单的地方手机证明，他们还想叫我，您让他听到明确，但我们知道这个到底是有房事行还是不行，对，比如说我拿比如上海销售一问，比如这客户有房可能的，
[129:46.750] 没有一个
[129:48.160] 都得是什么都是中只要。
[129:51.730] 上面考验昨天教授的意见。
[129:55.710] 哪个建行？有？
[129:57.830] 如果。
[129:58.270] 看着行话，如果明天放量的话，谁知到海外
[130:03.730] 不但没打到公司到
[130:05.850] 才能完成80%的时间计划。
[130:11.110] 咱们说的话都没有说不能
[130:15.580] 下班的情况，比如有这些条件，比如20%~90%万，那就50没有
[130:24.590] 上但是加上刚才具体的手机
[130:30.510] 要发展
[130:32.450] 诉讼回报，
[130:38.790] 是吧？88个月北京城。
[130:41.380] 不是，我就是想把银行费用的
[130:44.470] 提高一下。
[130:45.540] 现在挺牛逼了，50万真的谴责牛逼有房就行，有医社保，
[130:51.370] 没有大的金融负债就直接批50，我跟你说我要了一政策，然后后来不给我，
[130:57.170] 你知道为什么吗？我要了一政策，我比如说有房，你按房屋的15%都有批授信，
[131:03.130] 就房屋价格增加了15%的都付清了，他说这个可能给。
[131:08.690] 网站生活。
[131:09.900] 不用。
[131:11.870] Bye bye。
[131:48.740] 珊珊后天网站。
[132:03.910] 庐山天桥半年徘徊，
[132:10.440] 我大概常州。
[132:11.840] 跟我讲。
[132:13.490] 打电话的。
[132:28.760] 不错。
[132:31.100] 他说。
[132:53.600] 要挟一顿饭，
[132:55.040] 早饭就没办法，短期
[132:58.590] 我是多少应该
[133:00.400] 上。
[133:10.600] 这就来了。
[133:14.420] 别的也挺的好。
[133:31.530] 高兴
[133:32.320] 要
[134:26.240] 你们在网上
[134:29.650] 这个不知道蔬果
[136:15.480] 不是很痛，但佳县人
[136:17.480] 语录。
