[52:39.390] 用臂膀7了，就刚才到了给
[138:26.940] 第一个就是直接向责任方合肥就对方撞了我的车了，对方应该给我钱对不对？
[138:32.460] 这是第一个方法。
[138:33.610] 二一个第二个方法就是比方说你赶上有的车，
[138:38.930] 他不好好弄，那就向对方保险公司去要钱，
[138:46.220] 然后第三一个叫代位追偿，你知道他这个词你们用的可能比较少，这待遇非常
[138:54.630] 什么情况？比如说一个人开车把我的车撞了，
[138:58.640] 然后1000了他不管我的车，
[139:01.280] 然后我去找对方保险公司，对方保险公司也不管我，因为对方保险公司说了，你没有办法证明是10的责任，对方保险公司就不给我，
[139:09.990] 我没办法，我就给我的保险公司打电话，我说我的车被别人撞了，他不管我，他也不陪我。
[139:16.210] 好，我的保险公司首先我报这个案了，
[139:19.500] 我保险公司算我一次出险，然后保险公司负责去联系对方，联系车主也好，对方的保险公司也好，
[139:26.530] 他去首先保险公司先把钱给我垫了，修车，然后保险公司自己去找他
[139:31.910] 追偿走官司也好，都任何土地银行他自己去要钱，知道保险公司代为赔偿，
[139:37.320] 你要知道这个词还是做我自己的保险，
[139:40.350] 相当于贷这个钱保险公司会回来，
[139:43.800] 如果要全职回来的话，
[139:45.960] 也就高风险了。
[139:47.540] 上去年以来你都不需要付钱，
[139:50.170] 还是出现了
[139:51.500] 保险公司就搬走了。
[139:53.990] 全体管理公司能不能
[139:55.360] 还算过没有是吗？
[139:58.480] 他只有一个风险的代位追偿，比如说万一客户没有尚无法找到第三方险，对不对？
[140:03.680] 应该免费30%是不是？
[140:05.720] 好，他报案了，现在怎么着官方人员依法报案了，
[140:09.910] 他就可以说诉求这的原理不是一个问题。
[140:14.060] 代位追偿，你看上面写的是事故中两车相撞，交警判对方全责，
[140:21.460] 为什么还找到第三方有什么关系呢？
[140:24.960] 不，它是这样，就两个概念，
[140:27.780] 首先先是你的全责，前提是什么？代位追偿的前提是什么？就是对方的人不管，我对方的保险公司也不管，
[140:35.630] 我只能储备的保险关系，但我保险公司一看，
[140:39.130] 这不是对方选择吗？你为什么要自己报案，你报不了对不对？
[140:42.820] 没有任何办法都没有。
[140:44.470] 你刚刚说的那个是别人帮我说话了，我找不着他人跟有什么关系吗？
[140:50.610] 偶尔。
[140:51.430] 情况下，你可以这样去建议别人吗？
[140:53.980] 你过比如这个案子你当时价格范围已经出来了，过了半年或者一年，
[140:59.220] 这个东西解决不了，你又不想自己报一个案，当时你不想自己报一下，你让不想都带着气场怎么着的，
[141:05.750] 一会一下他在报案怎么办？
[141:07.350] 单位经常条件好像不需要有标准的事故认定，对。
[141:11.080] 上交通事故医疗证明是对方全责，就是仁和公司不会无缘无故名的待着，三元是在合同上面解释，
[141:18.580] 在车主要求对方赔偿单之后不赔的情况来负责你在地上，所以根据自身你的车辆被管住了没有关系吗？
[141:27.770] 还有一个问题就是这种情况，
[141:30.030] 不理这种情况下，
[141:32.080] 你刚才说送我处理的行吗？那不公平。
[141:37.540] 能不能送我这点正好你对方的。
[141:40.280] 对方的产品的就算你出思想，
[141:43.890] 你也然后我明年我第二年我想办法，
[141:48.630] 所以我们那后干了两年的保险过，我并没有遇到过有代位追偿的人，
[141:54.180] 但是你要知道待遇非常的地方，所以没办法对吧？
[141:58.350] 不直接自有自己保险收入跟他一样的，对吗？煤炭需求不是前提，前提是你的手续很多，有的案子
[142:06.540] 当时还不错，
[142:08.000] 有的是当时教他直接给你开证明就没办法
[142:11.560] 了。
[142:12.960] 交警你们焦点开张，然后我就汇总。
[142:16.940] 不是。
[142:18.160] 他就给他保供方案，比如现在咱俩车他们撞了，然后给家里打个电话了，保险公司都判定完了，所有的责任都是你的责任，对吧？
[142:26.310] 这个案子已经成立了，对不对？
[142:28.750] 我现在结果你。
[142:31.110] 不定我不做保险。
[142:33.870] 你不会又做保险，我没有办法修车，你要是跟我掏钱，你要给我掏钱，你也不走分配手续，你就不配合我，
[142:39.920] 说我车得修，
[142:41.730] 我怎么办？
[142:44.200] 我只能给我的话给你打电话。
[142:46.300] 你现在你把我的车给我修了，把我钱给我垫了，然后你自己需要对方去追偿，应该不算产品改，就不会影响外包费不行。
[142:56.740] 人家有这种风险，
[143:00.020] 因为前提是已经是对方的全责了，交警和任何情况下都已经判定对方全责了，保险公司
[143:06.650] 你是人保的对吧？你全责你是保的不是平安的，你应该为什么要给你修车？
[143:11.460] 是不是？你的责任不是我被保险人的责任。
[143:15.280] 您的意思为什么要为了那个钱是哪个保险公司的？保险公司是我自己的办公司账户，
[143:22.360] 我现在要求车1万块钱，明明应该怎么给我的，我现在银行它应该属于一个
[143:28.350] 的
[143:29.710] 服用服务，
[143:31.790] 应该不属于那种
[143:34.480] 选中。
[143:35.870] 是不属于选中？
[143:37.950] 什么算中缅你报案了。
[143:41.510] 你要懂她的意思是你妈妈是抱他抱母的案子。
[143:45.600] 他本人。
[143:46.480] 给你修，我只是申请单位，
[143:49.020] 然后把申请人我选工会跟那个人去协商，保险公司会去追她那个人的责任，这跟你没有关系，为什么？你非得号个人保险公司的人可以，
[143:59.090] 那是那边的事儿，
[144:00.900] 没有了其他公司了对方。
[144:04.080] 我不知道最近有没有看我们之前，其实我是希望你们知道这个重点不用去深究，因为你很难遇到代为赔偿，不是我知道这个债务他没有说过这种P话都。
[144:15.160] 了，为什么？
[144:15.710] 用说教你按本钱，
[144:17.890] 这哪一次保费在哪都是在你的支付，也没有说。
[144:22.450] 没有，哪有说吗？看见了吗？
[144:26.360] 没看现场报道，对，因为之前的时候我刚电话车险的时候就说过这个东西，这属于一种附加的，我们主任。
[144:33.820] 如果是这样的话就太远了，对，这是我指出股价的那些保险没有。
[144:39.660] 还跟你们确认一下。
[144:40.890] 前两天我们出了一个代位追偿，当时跟我说的是
[144:44.810] 算一次出险，
[144:46.320] 200 300公司出的，
[144:49.420] 算不算？
[144:51.020] 算出险也无所谓，你就
[144:54.450] 你就像
[144:57.230] 两个人撞车，两天装车房不一定读，那不一定了，
[145:02.220] 但我跟他们一定会涨保费，
[145:05.480] 但是他不一定不报警，他可以这么作案，他有可能是无责方保安。
[145:10.120] 他也不主张不能报告，也是帮助对承包对方吗？对你这也是一样的，我也只是报案了，但是不代表我要涨保费，
[145:17.970] 不代表分我今天我不知道我直接你卖房，目前我走一个咱也不出去，我们不能明天对你先出险可以，但是你跟他找不着保费，
[145:26.310] 如果三四.5都不讲了，他肯定就得加保费，你报案了他就算出险，对不想的他就得找我，让你用就不负责，对，我不知道你奖励抱抱。
[145:37.720] 你说的都对，没有人规定吴泽不可以报案，你要我把那些握手的我对吧？我问问我这么好，今儿就这样，然后有问题就问我说一下了。
[145:51.390] 远。
[145:52.160] 给。
[145:52.770] 坏。
[146:00.110] 我看那个名字就知道了。
[146:02.230] 我们一般都没东西，谁知
[146:05.290] 说话时间你
[146:09.160] 太轻了点看情况不行忘不了。
[146:18.730] 人家大了。
[146:20.120] 但是不知道吗？走过了这么。
[146:23.720] 对了。
[146:25.120] 跟他们在一起分享。
[146:27.770] 有没有来卖了？
[146:30.020] 明天你俩发错签约，
[146:34.400] 明天早上10点发给我。
[146:42.090] 我怎么样才能把我收购它，记住
[146:45.290] 明天你要再发给我，你就经常都查了，
[146:58.800] 2000. 
[147:00.180] 特别是完全
[147:03.170] 你上哪个
[147:05.090] 就说你今天看了那个的要求了。
[147:10.910] 都没接。
[147:20.480] 都在用。
[147:24.360] 什么叫会议？
[147:26.170] 这个
[147:27.910] 保险条款
[147:30.730] 到民主的两点，保险标的
[147:36.910] 11
[147:42.330] 然后里边说
[147:43.820] 你可以换货，
[147:45.650] 你要把你给我拿1000给我下面来的钱，
[147:49.400] 你也不拿了，
[147:50.460] 你说今天能知道是多少？
[147:52.370] 你这样
[147:53.680] 去调查。
[147:59.760] 那吗？
[148:01.390] 不要了。
[148:02.810] 我基本招待你的事，你天天往这条还是不了你了，你也得给我打卡，要不打卡就是目的，今天你就给我支付1000的，
[148:12.550] 我们给你截图，
[148:14.460] 怎么样？
[148:15.100] 你要一定要给打卡，你要不给我打卡的话，我跟你说我这要是没有你走让他们自己签现在。
[148:21.650] 我真把我的地方，所以这不能要你到我这方面
[148:26.270] 联系不上吗？
[148:27.680] 我可以给你们干嘛闹着不让他们自己钱，你等你的我是什么？
[148:34.110] 因为他就觉得什么车，比如说
[148:38.270] 你这样你把我以前给
[148:40.890] 这客户完了扩大的情况，时间现金还要回家还早进去了，5:00 7:00。
[148:46.900] 如果不能说了，
[148:49.790] 反正也没有感觉来，
[148:52.390] 对不对？那你不用上班了，
[148:54.490] 这个没有日本不接触的。
[148:57.170] 大哥说了算。
[148:58.350] 一次出险了，
[149:00.480] 专业人士
[149:01.760] 绝对涨，保费就算怎么涨，他怎么长，
[149:04.930] 回到也是算这些好看。
[149:10.510] 没有回到也记得好像是这样，他算不算一次出险不重要，我们知道是第二年保费，这个很重要。
[149:17.580] 你是一朝回到解放前吗？让很多感觉。
[149:20.910] 所以我要不然大家都带着剧场了，你说他如果要是您的宝贵。
[149:27.010] 不是现在。
[149:28.110] 了，就是说你要花几年没出生，已经达到2.5了，初一之前就不掉了，对过了，但是
[149:35.850] 我以为你打谁，我帮运动有什么事没事笑一笑。
[149:39.900] 所以截止到目前，我干两年IC并没有接到过总代位追偿的，
[149:44.990] 但是你要知道这个词儿，
[149:46.910] 那是你们行是吗？你觉得我水平多少，然后咱俩不要知道小伙伴能够去改一下就行，他们连连关注。
[149:57.320] 可以看清了吗了？
[150:03.090] 我这有刹车跟你们说你俩
[150:06.640] 这是什么鬼？
[150:08.970] 如果我说
[150:10.700] 我单知道吗？
[150:13.200] 我是刘文涛，市纪委的，
[150:16.940] 下边都是我的，但是我们约翰我看
[150:21.860] 有时候老人院吗？
[150:24.020] 我跟你了。
[150:26.400] 我看一下我跟联系，我说什么？
[150:29.520] 不是给打光了。
[150:32.930] 这跟我没关系，我不知道这怎么能这样。
[150:36.020] 然后你又打了，是因为你没有
[150:38.340] 微弱
[150:39.850] 是吧？
[150:40.620] 我今天问了没有，我觉得不错。
[150:43.440] 你馒头一样。
[150:45.390] 刘文康那个不是我
[150:48.080] 那名我说我这月你谁做的我是
[150:58.680] 非常。
[151:00.390] 来。
[151:02.710] 了。
[151:04.830] 你就了亲家。
[151:07.570] 判断格才能打，然后这个证件名也是你觉得我的钱
[151:13.710] 太巧了，郑建明主要是这样的，检查不多，可能都不是。
[151:18.070] 硪约的没写过我。
[151:19.960] 特意跟他玩给他发了个语音，我说您下次预约找我，她说好我不住，这时候得看住了，我那个没问题，
[151:29.660] 没有什么地方咱先给我打，为什么？不住在发抖，
[151:34.780] 对不对？回来了不下来。
[151:37.160] 你说我问一下，
[151:40.410] 我再把这个大关还有电话吗？我跟他说。
[151:44.410] 你说完了我给忘了。
[151:48.120] 你先别看我了，我的。
[151:51.290] 我在看见我没接到我这里朋友你下班我的天，
[151:55.630] 你不知道你走吗？不着急了，就你这个证件里面不是证件文化政界。
[152:01.310] 你做的吗？
[152:09.030] 每次出现正常
[152:11.880] 嚣张证件什么
[152:14.940] 你这名我没有这个人，
[152:17.450] 你这手机怎么没网呢？
[152:19.790] 你像买的生理问题，哪儿我想谁干，你收那什么
[152:25.780] 什么
[152:27.470] 项目都不对。
[152:29.600] 716
[152:30.640] 提交的。
[152:32.290] 你算什么接口？
[152:34.240] 我给您写了吗？很多。
[152:36.720] 怎么样可能没那车子不的，我给你刚贴完17。
[152:41.940] 到底说了就完了，随着给你觉得
[152:45.480] 你们俩
[152:46.790] 你等会我没写过这个车在我这儿。
[152:50.670] 那就是写错了。
[152:52.920] 对我的表你给他了，然后顺手的爸爸的项目，我的。
[152:58.130] 秒里都没有写。
[152:59.110] 这礼拜人家是事故，
[153:01.250] 两个人都没有这个车，
[153:04.650] 那店卖这么问题。
[153:07.570] 像之前那种收费的没准都变，还是所以我秘书是他查一下坐啥车，然后看看有没有漏了吗？
[153:14.520] 漏水证明你两个叔叔要不先
[153:23.360] 7167。
[153:25.710] 你的微信不要，
[153:27.720] 看看是不是在我小手机。
[153:29.650] 谁知
[153:33.560] 小手机也没有7167的
[153:37.880] D ms了，我原来
[153:41.220] 手定保修，就用那个系统我们要给他整几个数，
[153:47.010] 操着点心，
[153:48.730] 超过对就保证每天有错的，因为我发现用全部
[153:53.740] 有两三个就行。
[154:06.280] 走进淘宝去了。
[154:07.890] 这样
[154:09.170] 是抱怨。
[154:12.290] 产品做什么，我跟他说我觉得
[154:18.890] 跟我们有关，
[154:24.990] 一次系统你不知道什么，你们集团安全系统还有
[154:29.470] 了
[154:30.770] 特别联系过他说
[154:32.780] 咱们都没有以前都
[154:36.150] 还是要坚持使用。
[154:39.140] 我用了。
[154:40.570] 你今天用了吗？用了就像什么呢？
[154:44.570] 看看明天。
[154:53.150] 我显示就是7月13号，因为我一直给说话用了三个电话用什么东西，
[154:58.440] 我必须让你交一下，然后你写一下，这是我7月4号跟他说的。
[155:04.570] 这了我没说我跟我之前这次了。
[155:10.330] 写着三辆是吗？
[155:12.050] 如果你只有的时候需求还直接到网上一下，这但是和珅都没了吗？然后那个感觉我如果有这个晕，就以后跟我联系，他说的真的不是我热闹。
[155:25.650] 没得着急上火，然后还有7167我两个手机都没有，这不是找的是我看了原先里边有三个他们，我就对一下是不是怎么了，我告诉你还有政策了，接着我告诉你安排谁知。
[155:45.080] 不是我就觉得。
[155:49.160] 这一天就没得明白，因为后边的不对他是可是我这上面的数跟我的表里面的数是对的，上的约束是对得上的，为什么？
[156:00.420] 你们俩有没有约会？
[156:02.880] 所以这对没有跟怎么可能这个时候跟我这样的出生的这些这样
[156:09.840] 最近老是那种马云是你的
[156:13.280] 月份特别危险，我说月租费只要你准时到这边，但是最近好了，最近我们有
[156:20.490] 大概有4台车好像都是约作废，但实际上都是经常的。
[156:24.770] 对你就自己写上，你得约，我感觉我做的时候我给别黄了，所以我觉得这个约束能对的上了。
[156:32.160] 也有可能是为什么也有可能是
[156:36.290] 有可能不是。
[156:38.430] 你看有没有？
[156:39.260] 这么多的我的车在登陆什么样？
[156:41.550] 有可能拍的都是用咱们的名，所以不可能我说的是跟我自己进场，跟他的表跟我的表你明天匹配一下，不是你的这个表跟你的DCS表面可以推一下，匹配完了之后hello如果要出来的一样的一样的刹那就叫事儿，你要这么说这事跟我时候也对的，
[157:04.730] 我那也是25，没有我们就还差我了这样了，是不是在你这最后什么好我们聊到1010就会数据很不放心，就会觉得可能差我这了。
[157:19.470] 没有事儿就开始都拿走了，他上。
[157:24.280] 算了我直接给他改了，问吗？考试开始不是好了，带过来出口车了。
[157:30.310] 我觉得你们没了5个大的模块一样。
[157:35.250] 我跟你讲你要走你要跟我使我说过你看记不住了，咱俩的字体已经一样，半瓶子咣。
[157:42.910] 我就说一遍，
[157:44.740] 你真做的只是用车分为5大模块，
[157:47.990] 第一个是短信到店的，短信就收车短线，
[157:53.410] 第二个星期我希望是自然进店的，
[157:56.720] 自然进店的知道你要干嘛可以。
[158:00.360] 第三一个是外拓的
[158:02.450] 窗口，
[158:04.370] 外侧是他们到现场的那种
[158:07.000] 外拓的还是一些调控的，对，第四一个自主装版的自然的。
[158:16.550] 对他们的包括你自己的，包括后续咱们上饶带湖车险，比如说咱们有1万个袋不出险的客户，
[158:23.770] 你就可以自己打电话给小钣喷了。
[158:25.830] 明天接着讲，对这是后续的，就是这样，下面黑板喷O。
[158:31.810] 就报了。然后第5个。
[158:34.640] 我们现在可以介绍。
[158:36.530] 感谢转介绍就是5大模块。
[158:39.730] 我需要你做的事情了，你优先先负责绩效再高点，
[158:45.690] 转型到店里面。
[158:46.660] 分为。
[158:47.300] 四宝和非自保，
[158:50.730] 自个和非资本
[158:53.270] 首先总的转型到店里需要最终的气质，最终的目标，
[158:58.860] 基本
[158:59.910] 对我们目前定的目标是60%。
[159:03.360] 你这些自保和背景如何去区分？你只能是每个月去区分，因为很多时候比如说刚出完险，还有在我们店上的保费，
[159:13.450] 这样的话我们就让它匹配，能明白我的意思？我可能表达内容不太清楚，就是说
[159:18.950] 我那有一份资料，就他们保险部的
[159:22.420] 不让留意他们比对出去，但是你不能尽量不要等到月底去，最好是一周或者您去，为什么我不应该他抱着问题吗？
[159:32.010] 对，但是你很难匹配，因为他在最后半个月他那个东西更多了，我抽空了，
[159:39.610] 我现在就有可能它还没断，然后现在都能是吧？
[159:43.010] 也不是这个是什么，比如说他这个月现在6月11号出的险对吧？
[159:48.900] 6月11号我的数据只截止到5月底，因为我那个台上是一个月一回的，
[159:54.670] 然后当然你也可以查从哪查，从去保护，每天会发个邮件，
[160:00.350] 从那个年代体验就这两遍，要不然就每天把那表汇总和营销，
[160:04.380] 他实际不应该根本就没有关联了，他公司不了明天就不来了，有想过有关关还有啥，你比如说你到底都要做这个数据，我现在教我，我觉得我现在在说
[160:19.000] 我这还得去找时间怎么着，我的意思就是他是自辩也行，他练的有关系。
[160:25.630] 回答这个功能没事儿，留下你的公司不是除了这些直接沟通芯片带给客户的缺画美，咱们
[160:35.880] 我只是在月底，我说汇总的时候我买统计了，不能对不对？然后你要注意吃饱的
[160:41.860] 来看综合的转化率和分析保的交通这些本心的一个模块。
[160:47.870] 对。
[160:48.640] 然后约完了跟我说这个时间是截止到树上里面所有的短线
[160:54.230] 都可以去把弄顺说过
[160:57.740] 你前期接着说前期要做什么，你要把微信去卖羊了，要有目标，你要告诉我你们参加多少危险，谁知
[161:09.740] 放在基层上你说明白吗？比如你今天一天你又没有加上
[161:17.400] 家里一个对那叫一个数据东西加起来的，对吧？
[161:23.570] 你负责事务短信的话，你负责短期邀约的话，你要知道你的重点流程是什么，你自己知道吗？
[161:31.370] 好。
[161:32.370] 有。
[161:34.750] 只要咱们后面不用麻烦，
[161:37.790] 然后你政策要了解，
[161:39.530] 为什么要做活动？
[161:43.330] 每个月不知道不用等，现在手里就有钱。
[161:48.150] 这个没有吗？
[161:49.470] 这个怎么用？
[161:50.890] 不是我下面有每个人多少？
[161:54.990] 那是青协，还有两个。
[161:57.100] 还有一个什么呢？
[161:59.220] 玩手机吗？
[162:00.490] 他拿来以后这块希望跟刚刚
[162:04.740] 就是说还有今天保健片给那个人两
[162:08.250] 1000元。
[162:09.480] 对，你那个东西主要是你范围内的都可以去送，小的大的重大的南郊的不。
[162:15.830] 不是是的，我都可以在那里选，我还照顾这个名字。
[162:20.400] 爆发了。
[162:23.060] 按照你给的设计计划，这样应该给他发我手机上收到。
[162:28.400] 到40分钟给我电话。
[162:29.920] 回来师姐，
[162:31.900] 当然你送给事故车当然在308
[162:34.990] 我以为每个授课，但是救援到底是不是20小时，这样我干嘛反正也没事，我进入到现在的话都要进行了，我摔了，我觉得谁知
[162:46.670] 所以你只要保证及时性问题基本都不大。
[162:49.840] 然后一般我们这边条件的平安跟人保这边按照组合主要
[162:55.550] 我教你这个东西，
[162:57.290] 我自己的东西，然后要做的第一个表我会把发给你。
[163:03.250] 那个表
[163:04.490] 赵阳那边有在
[163:06.170] 记录之前的东西，我把电脑发给你，然后把我的这边的记录要发给你，
[163:11.370] 然后要把这个表复印到一起，
[163:14.620] 然后后续的话就开始来都做登记了。
[163:18.040] 你这个表很重要，因为你一定根据这个表是复盘，你一定要确保每个客户一直跟到
[163:25.450] 去了其他。
[163:26.390] 按修正。
[163:27.280] 如果三次。
[163:28.500] 你刚才订单就行了，如果你。
[163:30.460] 不能知道他已经送到哪个店去修了，都不要你。
[163:33.250] 了。
[163:34.840] 对。
[163:35.540] 对了，到不了电击。
[163:37.530] 用了。
[163:38.430] 涨了这两个都要退场，对，谁会去修车厂有毛病什么呢？
[163:43.330] 举个例子就不用介绍刚才所长大家电基本上的时间，对，
[163:48.970] 然后这个事情都想要做的工作，你觉得
[163:53.950] 这点
[163:54.960] 要报备的是吗？
[163:57.650] 宝贝真的吗？我在干嘛？
[164:01.390] 我现在将来的工作
[164:08.390] 他让路。
[164:15.870] 根据这家储蓄所
[164:17.020] 数据比善良一点。
[164:22.910] 没有这三个就可以
[164:24.600] 相互状态。然后第三一个是
[164:28.220] 15份登记表，
[164:30.870] 然后
[164:32.110] 就和登记，
[164:35.010] 然后你要记住这个时间，
[164:44.040] 然后你把这两项做起来之后，该错过你的时间精力，我只给你到这个月底你要转向进城来，
[164:50.560] 意思吗？你可以从时间去那个里边
[164:54.390] 去看你干都没有问题。
[164:58.000] 然后特别快。
[164:58.830] 错的话我这边候选这边其他我这边就
[165:03.010] 其他谁知
[165:05.870] 然后到晚上给他们找了你要跟着他们的照片，
[165:12.330] 这事儿
[165:13.170] 现在是有不到下班走了。
[165:15.890] 对。
[165:17.630] 我能不能做贡献？
[165:21.610] 然后问他吗？有再跟你说第二一个单芯片，三级片其实有没有的，他不是一个人细节，
[165:29.250] 因为那天没有原来的的管理专业流失，但他没办法，主要19元3他不对。
[165:35.990] 对，那意味着你这样一个表格。
[165:39.090] 天使店名牌匾事故登记，因为很多的。
[165:43.230] 这个短信里面其实来源会分为好几类，它虽然是短期，但它不只是短信，他有可能是店内的来源，店内报案产生的短信，
[165:51.860] 对不对？也有可能是他们主动招揽产生的短信，你需要把这个来源知道你有的来源存在我们的短板在哪里，
[165:59.350] 也就意味着上个月比如63台车，这个月如果你要你付的话，我需要知道最后三大车
[166:04.600] 多少是短信招揽来的，多少短信里面多少是自主招满的，
[166:09.590] 多少时间内报案的，这样他们的你也要帮忙跟不能说你负责。
[166:16.640] 如果说他们也不太明白，想不到慢慢为什么要帮忙干，因为他这个会议的那种气氛，
[166:23.090] 他们来的基本上都会产生短信，短电成本低的话基本都能报价，所以它的分子会给你增加一个
[166:29.930] 你的转化率会很高，明白我的意思吧？
[166:33.440] 会提升你的系数，
[166:35.000] 所以可以进行去帮毛病的业绩的提升。
[166:37.520] 好。
[166:38.560] 然后第四一个事情，
[166:40.620] 登记的第二一个就是
[166:42.660] 所有的事情车
[166:44.090] 都有事故车，
[166:46.670] 应该都可以了。
[166:48.330] 有你不知道他在哪，你放过。
[166:52.610] 口感，然后其他的就没有什么东西了，这几大块。
[166:58.190] 然后今天晚上
[166:59.670] 早就还有刚才跟你说的我爸爸什么技巧了了，我忘了4个人就是的大夫说话说，
[167:08.700] 什么？
[167:11.800] 我说
[167:12.580] 他知道什么技术了，
[167:15.470] 不到你了。
[167:16.580] 你点多点，
[167:18.330] 就这5个事儿4个事儿。
[167:21.310] 加微信发个量，每天多少课？
[167:31.190] 每科
[167:34.680] 打词
[167:36.850] 时间减了200多，
[167:39.830] 220天这个号就能养起来，然后
[167:43.020] 你家带来的好处就是你就可以用脚，即使站下往线下，
[167:46.860] 我首先加短信，你们俩如果用户
[167:50.440] 你电话一下给我打电话，
[167:53.090] 我就直接告诉你，
[167:54.290] 就这样给客户给他打电话的，你
[167:56.220] 用你的手机就可以直接把客户的微信加上了，你
[167:59.930] 站的话说现在了，你还是要加微信，
[168:03.180] 将来的微信上扣，把这个照片发给你就出来，基本都会懒得再拍第二了，
[168:08.070] 家庭的这么高，觉得让这块要强，
[168:11.680] 已经跟你一样怎么样，你还得什么了，这个事儿加微信天儿时刻您解决。
[168:18.670] 感谢。
[168:24.200] 行，我就发短信也没收到。
[168:30.650] 我没什么事，老师这点留什么了？
[168:35.870] 了。
[168:36.840] 你打车
[168:41.200] 晚上约了应该怎么回报他们？
[168:49.150] 好了，下班完事了。
[169:01.770] 也没跟我说。
[169:05.100] 我现在出去
[169:06.740] 去门口等着我原先都特别回来了。
[169:14.350] 没到点上班了，
[169:16.780] 我们就在
[169:19.070] 你怎么等？
[169:20.670] 登记了吗？
[169:22.510] 没问题。
[169:24.750] 不知道就要在这工作。
[169:32.460] 他们都不玩了。
[169:35.760] 你把它拿出来不就好了，
[169:38.870] 拿了不会说出去。
[169:44.750] 这是吧？现在你怎么都不上班了，可能还有一个事情就是你们吃饭快下面是不是
[169:51.190] 然后出去了你全部
[169:55.650] 应该
[169:57.430] 到半表不去要，不要花我钱干不还你条去还行。
[170:02.590] 你有钱就走了。
[170:04.670] 当然可以看到我们的，因为这两个小时到点就这儿拿走，不看7分钟。
[170:14.230] 不想因为。
[170:15.010] 我成人不是我成人还没出门，我得给他打个电话，天我休息，麻烦您。
[170:20.680] 好谢谢等等。
[170:22.960] 走吧，完了。
[170:25.860] 我让你这样一半天
[170:28.240] 吃点饭吗？有点时间买来晚上。
[170:30.670] 着作报表。
[170:31.810] 吗？做报表什么的？电脑呢？
[170:36.760] 建国道远麻将的的激烈了。
[170:43.040] 我们今天加快压缩了就做PP的用后天了我I酷，
[170:51.370] 你们终于来了。
[170:54.650] 你说。
[170:56.560] 我把咱们这真有手机，
[171:00.350] 有才了这了，后天
[171:03.060] 有问题，
[171:04.550] 他也没问题。
[171:07.250] 来
[171:09.230] 老总说一下，
[171:11.550] 不去完去敲门要求
[171:14.080] 我在去
[171:15.720] 到了干嘛今天？
[171:18.610] 那就下周了。
[171:20.150] 下周没时间了，明天我还。
[171:23.570] 明天不去，下周三。
[171:27.290] 下周都结，我也知道杨总没有回来，回家。
[171:31.320] 你在
[171:32.810] 要。
[171:33.480] 最好的开始，今天这样过去了。
[171:36.720] 我给你选一个时间对我也好。
[171:39.530] 好，下面给我选择了
[171:41.640] 你跟我一下。
[171:44.790] 吃一顿就行了，今儿要不中午开的成熟点，
[171:49.110] 谁在这看看了？一。
[171:55.590] 五
[171:57.770] 三。
[172:00.500] 了。
[172:03.990] 下周。
[172:06.350] 吃饭。
[172:09.030] 进。
[172:11.640] 这吃饭了吗？
[172:21.230] 了。
[172:22.010] 显得我部门干嘛呢？
[172:26.740] 难道回家了？
[172:29.720] 我们部门没饭吃的。
[172:32.260] 下有一个你还把领导吓到了，我靠完了这顿饭。
[172:40.040] 都方便。
[172:46.590] 轻装上阵的，大包小包的中国热的，
[172:53.590] 你开头的
[172:57.110] 对想想吃什么不是吃多少香吗？还我想把你的太太他让纪委饭票给我，
[173:05.050] 他上楼打了我不让去吗？你还是
[173:10.140] 你找为啥？你给你调查7:30之后你可以给他签了是吗？
[173:16.610] 他给我
[173:18.150] 的。
[173:27.050] 谁？
[173:29.310] 我这边我们的板块。
