[00:00.000] 我不管了。
[88:41.170] 主要是5000 5000还是3000就能够快几个月了，要行驶它就人生就成黑点了。
[88:46.850] 所以你就问问他，你想怎么走，说法律你按手咱们就是按法律程序走，那你人生就有5点
[88:54.150] 了，你以后找工作也不好找，反正你看你怎么给我解决，
[88:57.280] 反正证据都有了对吧？
[89:03.040] 你把法条给他发过去不就完了，我找他教去。
[89:05.800] 涉嫌职务侵占的法条。
[89:08.570] 谁知
[89:13.310] 对。
[89:16.760] 这种事就是好弄，对，只要有证据就行。
[89:19.900] 我们
[89:22.030] 意见
[89:23.840] 我们遇见过我们，他最后私了了，
[89:28.700] 他就把钱退回来，
[89:30.130] 他不愿意走法律程序。
[89:32.920] 两
[89:34.630] 我们
[89:35.580] 对他就私聊，因为你这事没法弄，你说你给我。
[89:40.220] 这个一客户你能回来。
[89:43.210] 二一个就是说你出这4单损失，对于我公司来说损失我培养你了，我的损失多少？
[89:49.380] 你看你怎么给，你们就商量把律师叫过来一块商量，如果说你不配合，因为证据我有了，
[89:56.270] 因为你陈雄不是给你了，我证据我有了，我可以拍在，
[90:01.050] 我也把它交给你看到这儿了，你自己选择。
[90:04.710] 反正你判三个月你也是刑事责任，
[90:08.300] 你明白了吗？最低是三个月，我记得是你最近三个月你也是刑事责任的人生，就上午点了销售看看他这个达成。
[90:17.070] 你留一个就行。
[90:18.710] 是不是？你再查一下应该是几千三晚上一点一点一点往上走的，你再查一下，首先中心站。
[90:27.810] 是车型都得有。
[90:29.480] 行。
[90:31.050] 行我就当中。
[90:32.660] 一个应该就这辆行，然后。
[90:35.490] 我就重复一下这个时候。
[90:36.880] 在检测。
[90:38.000] 这个是出厂时间是。
[90:41.550] 6月20万。
[90:43.450] 对，反正你要看就觉得反正我觉得这种人我也培养出来了，接私单了。
[90:48.810] 肯定公司百%都有，我们公司现在也有，但是我们
[90:52.390] 都在查也在查。
[90:54.650] 主要是这么。
[90:56.730] 我们之前。
[90:57.570] 发现了的都是把律师叫过来，因为我们有法律顾问法律提交过来，
[91:03.550] 坐着我告诉你说加什么
[91:05.380] 植物，因为他们好多还有现在员工资金收款那种都属于涉嫌程序。
[91:10.880] 您就签这方面就行，这么多年下次这个东西。
[91:16.960] 保险的名字对，反正你要真想这么干，你找律师也行，因为它是上不去的生活，我们支付。
[91:25.270] 对，这个是整个过程我们都公开合理，可能
[91:30.440] 这个要报名，最后的就可以，你也来。
[91:34.440] 你们来我公司平台什么东西，我跟你没有问题。
[91:38.080] 后边然后这条您填一下您的信息，可以上面都写您的发票号，
[91:44.270] 然后把您的微信名写上，我就拿咱裤子代表。
[91:47.780] 谁知
[91:49.940] 都在
[91:51.040] 冷战，
[91:54.810] 然后小声，
[91:57.210] 他在里面。
[91:58.840] 网站。
[92:00.050] 行，刚才公诉人职务侵占这个事说说那个是属于刑法范畴了，你就自己看着。
[92:09.890] 这句话。
[92:15.560] 谁知
[92:17.180] 来。
[92:18.980] 对人是最不好管。
[92:20.970] 的现在就是我们的发现，
[92:23.450] 提前发现。
[92:24.180] 了，然后开了一个就别动。
[92:28.970] 好吧，应该的，然后大家也都了一下，咱们一起今天我发现
[92:37.310] 还是有的。
[92:39.300] 跟他们说了什么？
[92:41.570] 对，就看他们个人的。
[92:43.370] 愿景去看看他们。
[92:45.840] 一般都是平等的，如果就是说。
[92:48.640] 那什么他。
[92:50.340] 出来，对挖掘出来没有。
[92:53.120] 包括我的底下。
[92:58.800] 对小朋友也
[93:00.840] 就算
[93:02.360] 的
[93:03.480] 的。
[93:20.480] 大的。
[93:23.830] 号。
[93:29.040] 的
[93:31.030] 话
[93:32.260] 三。
[93:35.890] 你这样讲限额9990。
[93:43.120] 等等财务
[93:47.750] 只能收益率。
[93:55.150] 怎么说？
[93:56.220] 扫我扫您。
[93:57.900] 吗？
[93:59.120] 不能发微信。
[94:01.260] 刷微信支付。
[94:08.890] 不要不行，就刷机，像我这。
[94:14.120] 的。
[94:23.700] 谁知
[94:27.600] 我的卡根本就不用，
[94:32.250] 有时候又远
[94:36.760] 可以。
[94:46.870] 的。
[94:50.370] 继续。
[94:53.150] 坏数据、
[95:01.240] 数据
[95:02.650] 数据。
[95:04.050] 五。
[95:07.100] 场。
[95:07.790] 场
[95:09.050] 数据。
[95:12.080] 数据、
[95:12.970] 数据、
[95:16.990] 快。
[95:26.320] 谁知
[95:30.000] 因为我们也必须得对得上。
[95:37.840] 还好，待会有现车就是议程时间好好的有黑色吗？
[95:42.640] 黑色封面。
[95:44.250] 真累是现在这种就一种黑色有的颜色都没有的。
[95:50.420] 然后您那样的黑车黑内饰里面复杂的，然后再拿风格的，对那是很不好看。
[95:57.410] 是吧？
[95:58.580] 黑色的内饰不好看，白色外观黑色内饰。
[96:18.560] 的
[96:27.180] 咱们提出的拿来千万别丢手。
[96:34.310] 坏数据。
[96:40.580] 数据。
[96:42.510] 的
[96:44.670] 的
[96:50.790] 远。
[96:52.140] 句。
[96:56.880] 的
[96:58.240] 的
[96:59.710] 远。
[97:05.020] 的
[97:09.730] 数据。
[97:14.350] 远远。
[97:15.920] 远远
[97:19.040] 数据。
[97:21.540] 远、
[97:22.950] 数据
[97:24.570] 的。
[97:25.400] 的。
[97:34.440] 了。
[97:36.170] 远。
[97:40.210] 过两天了。
[97:43.270] 你帮我订一下
[97:46.890] 了，行，千万别弄丢了了，其实别的还好，主要是给定了。
[97:55.480] 也在首付对了吗？
[97:58.180] 我把它给什么？
[98:00.300] 就可以了是吧？
[98:01.400] 我看一下我的手机，然后在您加我微信。
[98:07.170] 小孩妈这就是人家微信名是吧？没变。
[98:10.840] 要你姓名，你的名称我把你。
[98:16.710] 我怎么被抓的就把他干掉了。
[98:22.240] 最好咱别这样写明了，谁知。
[98:27.100] 就完了，不明白，就是刷微信炒出来的。
[98:33.590] 但是要写名下的还得需要我的手，可是上了你等一下。
[98:38.890] 我这也可以了，就写的是我的吗？真正的名字。
[98:43.670] 我的哥哥等会我看我了。
[98:45.530] 你回去把你吧。
[98:46.740] 你要不说就是你吗？
[98:48.760] 你便会教导我这。
[98:51.690] 是的，您的卡号这是我的。
[98:54.310] 你要买。
[98:55.720] 生气吗？
[98:57.190] 我愿不了，你就把小黄之间回原来的样子。
[99:03.160] 不要那你就别你。
[99:06.360] 就一直始基。
[99:08.550] 的对，全是鸡的。你想想
[99:13.930] 爸爸了。
[99:19.630] 的时候叫我。
[99:21.150] 起床
[99:22.320] 我妈
[99:25.700] 的
[99:29.710] 耶。
[99:31.650] 的。
[99:34.260] 老子还在一个小环境怎么样？
[99:37.480] 现在是什么样子小？
[99:39.610] 的什么意思？我也回去了，刚才说的。
[99:45.750] 您都写联名了也没。
[99:51.400] 你真是我笑。
[99:54.790] 坏。
[99:56.260] 的。
[99:59.160] 第三。
[100:02.250] 我是什么关系？笼子里
[100:08.090] 的
[100:10.470] 大。
[100:20.680] 三。
[100:22.170] 三
[100:25.420] 的。
[100:31.670] 的
[100:32.660] 谁知
[100:37.010] A. 
[100:37.630] 刘总。
[100:40.820] 地下报告厅、
[100:42.410] 绩效考评吗？
[100:44.310] 要。
[100:45.300] 可以。
[100:47.040] 有迹象好朋友。
[100:48.860] 是不是？会计是谁？
[100:55.000] 您是什么？是事业单位吗？
[100:58.790] 系一下草的绩效跟我们都要怎么做？
[101:05.170] 吃饭似的。
[101:07.910] 起来。
[101:10.040] 不一样，起来115，你稍等一下。
[101:16.420] 不是不一样的，那个是必须的喜欢。
[101:25.130] 上。
[101:29.990] 收费是远远。
[101:34.540] 花。
[101:36.090] 数据。
[101:40.300] 了。
[101:47.160] 了。
[101:48.560] 好了。
[101:50.190] 坏。
[101:51.080] 回家。
[101:55.740] 远远
[102:00.630] 数据
[102:05.880] 数据
[102:07.080] 数据、
[102:08.480] 数据
[102:10.230] 的
[102:13.770] 的
[102:15.370] 电厂
[102:17.650] 坏
[102:19.660] 坏、
[102:20.550] 的。
[102:22.390] 月
[102:25.950] 这三大
[102:46.090] 二。
[103:09.300] 就把你
[103:12.570] 谁知
[103:13.800] 感觉完了吗？你们了，用龙井茶。
[103:20.650] 你们。
[103:21.270] 没有了吗？
[103:27.730] 我们来讲了。
[103:29.520] 特别。
[103:46.160] 优点过来。
[103:47.910] 今天我看
[103:49.630] 上班了，昨天不是
[103:51.930] 我在下面吗？
[103:53.180] 我就开始。
[103:55.400] 晚上。
[103:56.490] 你在这里。
[103:58.800] 这两天跟妆了。
[106:05.040] 你车架谁知
[106:11.870] 去了武汉。
[106:12.780] 对。
[106:13.620] 独立。
[106:14.900] 也没人动。
[106:18.600] 说。
[106:21.590] 对
[106:30.350] 二
[106:51.160] 也还行。
[106:53.530] 反正
[106:56.010] 越快时间越久一点，
[107:23.760] 我可以到
[107:26.340] 到还没吃过亏。
[107:28.620] 对你选。
[107:29.750] 买得很少的。
[107:38.010] 累死累活一个月，
[107:40.620] 他今天每天跟他包括了
[107:43.190] 他们烦死了，他说1000。
[108:39.000] 我们车上
[108:40.160] 这样一块后刚才说应该说是
[108:44.450] 6月份生产的，我回家照了，然后目前还没搞好，
[108:49.360] 然后后续还有两台车排查的3000份，
[108:54.440] 过去就这三台车，
[108:57.560] 一样的。
[109:00.930] 还是供给管理。
[109:04.580] 这个原理
[109:06.950] 固定得用大量的，
[109:09.220] 但是
[109:11.040] 的。
[109:12.580] 11月份。
[109:14.110] 二
[109:19.070] 现在
[109:26.770] 家里
[109:59.510] 要不那种反感时间才行。
[110:02.540] 要开会。
[110:04.820] 绿道绿的。
[110:07.040] 应该
[110:07.980] 不带我看看那天。
[110:09.640] 在我们那里了，合同行了。
[110:12.800] 但是
[110:14.790] 的。
[110:20.490] 这就是了。
[110:55.120] 我家里什么？
[111:03.360] 天天回来买。
[111:04.480] 您有点误会，
[111:08.660] 交流发条一样慢慢
[111:12.030] 你去时候
[111:14.080] 希望你们都有条件。
[111:27.110] 没到。
[111:28.090] 说我把这块做你你还找
[111:31.740] 别走。
[111:33.870] 知道。
[111:35.960] 委托了他全是
[111:40.240] 走进。
[111:56.140] 在。
[111:57.170] 他明明早上就能停掉，
[112:01.280] 吃饭。
[112:02.310] 这不是之前
[112:04.160] 灵活了。
[112:06.410] 要争取周五要能P上去的周的交流，要不然等于不是电话攻占了超过
[112:12.650] 他们。
[112:15.570] 然后。
[112:17.390] 60,800除了
[112:20.090] 门市来
[112:21.400] 有事。
[112:22.630] 医院但咱们找工作的，但是春晚现在
[112:30.330] 我能不能回来了？
[112:31.940] 我觉得这一点非常重要。
[112:34.710] 既然是部署之前双官网上也写的瓶颈这块没问题，
[112:40.120] 然后收入过去没有，
[112:43.110] 都是在
[112:45.780] 合理的
[112:47.400] 这座
[112:48.720] 你别到时候完了
[112:50.690] 了。
[112:52.040] 不用
[112:53.090] 谁知
[112:54.790] 是什么？
[112:56.080] 特别关注。
[113:23.480] 但是。
