[00:00.340] 七夕打仗了叫什么要。
[90:02.770] 现金上都是这样的，我跟您有什么说什么现金上都是这样。
[90:07.900] 这样您二位商量一下配置，我去给您问一下关于。
[90:12.270] 保养还有手续费的事儿，您看行吧？
[90:15.200] 还有8800的装饰一下还行开始了地面来，他那意思还想着什么？
[90:20.940] 我就不想再溜达了，所以你有什么合适的真的下楼天吃的喝不到了。
[90:26.980] 什么他溜的比我多，你听了4月1号完7月1号来的，行，您二位商量一下配置，然后我就问。
[90:38.850] 这个好看我做过吧？
[90:41.000] 我这特别是多少突然没了，你哪必须的，然后有些应该是4.9，这一点黑车都得都能找到了很多。
[90:54.960] 等下给您
[90:56.000] 要提供这个了。
[91:03.400] 打掉这一时间
[91:09.600] 发生这一块钱，
[91:10.870] 我说多少钱或者我们要不要，然后
[91:16.070] 自己就是我这种东西。
[91:18.980] 发展。
[91:21.650] 我看看。
[91:25.640] 没有关系。
[91:26.960] 如果他们失败的说不管了比较好，
[91:29.990] 然后我在这边就是说也发现了打。
[91:34.840] 不是这是谁的关系的？
[91:37.530] 顾客的印象。
[91:40.570] 要您就不要还是我问问感情这好不好？万一没有直接通过都有或者找专业的。
[91:50.470] 谁知
[91:53.650] 那我就正常报了，我弄。
[91:56.780] 行，我就想着放松点了。
[92:01.770] 了，
[92:04.960] 不要谁知。
[92:07.930] 好了，我可是我有时候回电话，谁知
[92:14.230] 您说太漂亮了，
[92:17.520] 然后某一项就能想到海南沃，这就成功了。
[92:24.840] 关门了。
[92:29.430] 稍等一下玩一下，然后黄金时间三
[92:36.650] 看到5点决定一天的完了周末的秘密。
[92:41.760] 中国现在
[92:47.260] 这号码这张。
[92:49.420] 真的不够也那么高过了，优惠自然就好了，别你。
[92:56.010] 还有
[92:57.480] 内容。
[92:58.610] 对中国员工。
[93:00.610] 但是上面已经下降了，今年客流能不能上100，我的妈我都上100，
[93:06.190] 还有几百就我们这无敌了，要搁100 100，销售公司不是100透镜，咱俩在那买多20个销售快，我这能卖30台车，真的我们之前那店一个月330，
[93:17.350] 一个月300，今天300斤近千万，今天300条军舰这么少，
[93:22.780] 一个月300家店，
[93:24.280] 一个月300，
[93:25.700] 呵护着宗教比带着客户少就多少，卖多少台车。
[93:30.990] 30号有时候六七十。
[93:33.380] 那就是七八十，有干到100的时候也过是吗？没有。
[93:37.710] 宏观中观中规I
[93:41.700] 通关这有一个
[93:44.080] 张超
[93:46.130] 在这跟一个女生现在没去奔驰在这，
[93:51.500] 你别走我们就已经明白了，还认证跟进跟着行，我跟你说跟着稳住知道吧？稳住。
[93:58.320] 哪天他等我当接走了，你在找寻姚哥，你看你记住你了，陈为什么有人吗？
[94:06.570] 不用看他看我也行。
[94:09.920] 类型，你别在意女孩老交个一个月一年12。
[94:15.670] 12个月就一半不出来了，让咱们跳舞明天不行，正常你要说就是假装元了，
[94:23.130] 加油上出院来上腿上，然后刚让我超过。
[94:27.690] 吃的驾照又给11票，
[94:31.070] 还正常的文件助手。
[94:33.330] 反正。
[94:34.450] 我超过了一切就能卖车就行，您卖车。
[94:37.540] 就快权利不过了，咱们得走了，这不是对了。
[94:41.390] 我好多了。
[94:43.520] 回去盯着。
[94:45.180] 黄金时间来了，没什么事我感觉对今天完成晚上我就看
[94:53.650] 很一天一半了，新上来的副总经理。
[94:58.520] 您好，
[95:00.880] 你们怎么谁知？
[95:04.610] 分期。
[95:05.990] 收个3000吗？
[95:07.450] 然后送三次保养，然后装饰部分我想让他花钱，8800得给他便宜点。
[95:13.460] 给他便宜个多少，9880 2800行，我跟他聊聊。
[95:18.430] 分期成本都有，分期置换。
[95:20.120] 欧有置换是。
[95:22.300] 那叫什么来着？
[95:23.680] 报废反正也算管什么东西，对也。
[95:29.660] 先生给他问了一下，我还是4。
[95:33.160] 运动下的行了，你们这样说再给我优惠个。
[95:36.360] 10个点5点。
[95:38.130] 把打好的好好跟你说，分期手续费的话不是6000吗对吧？
[95:44.270] 按照一半给您批就收您三块钱手续费。
[95:47.370] 分期手续费给您便宜三。
[95:50.320] 你放心，我肯定给您那什么合适的价格。
[95:53.100] 费手续费这部分给您便宜3000，就这部分。
[95:56.430] 然后的话保养的话送您三次保养。
[96:00.360] 三三次保养，对，至少您保养要少花点钱。
[96:06.060] 应该收网都没有，不是我没泡过，一直没有换过着，一直没有。
[96:10.360] 然后的话装饰这部分不是8800的吗？然后给您按照6800的一个价格走，因为其实你会发现
[96:18.090] 因为我们这东西其实挺多的，然后东西其实挺多的，然后包括护板什么他都是有成本在的，其实这个并没有挣您多少钱。
[96:25.470] 其实这个都没有争议，为什么？
[96:26.930] 我们会出这么一个政策，你儿子同意我的意见，买买一是网络，第二个是
[96:34.410] 是35万，你说什么？
[96:38.530] 配置是吗？
[96:40.040] 他也同意稍微，因为他沃尔沃它总体来说要比其他
[96:46.730] 从安全环保对。
[96:49.900] 都看过是吧？你没发现吗？这车没什么卫队。
[96:53.090] 这并不是我们展出我也感觉是吗？吃味可大，对沃尔沃它有它独特的它满足而幸福也好，还是以后说那种天天程度，
[97:02.860] 你说你开那次车祸攻击你就真的一点不瞒您说，至少我卖Volvo两年多快三年了，到今年8月份就三年了，
[97:12.750] 我是卖了三年喔，我至少得有。
[97:15.230] 50个客户是因为有了孩子。
[97:17.890] 捱着了获得Volvo，就好多客户因为号这个就是谎言碰撞，
[97:23.390] 冬宝园旁边。
[97:24.760] 碰撞测试是吗？
[97:30.230] 是中保言碰撞的还是千元，他就有一双黑东西，他不说答应说轻刹车，我感觉我受不了，那车子中医是吧？
[97:39.240] 好像也还在北京天气善于与点黑色，就特别因为我刚来北京的时候我特别不理解，我说不下我不是北京的I口，因没什么男人，因为小时候跟我388在通州，然后那会儿我说你一点那种口音，我山东人，
[97:57.370] 我老家山东的，对山东人，
[98:00.290] 对，然后我那会刚来大学毕业以后又回北京，我现在老。
[98:05.280] 你们山东底上大学。
[98:07.640] 上大学对我最近也太了。
[98:10.110] 我们那边还好，可能就是农村那种就把。
[98:15.070] 换了那是更靠前，我是97年的，我还没赶上那茶，然后你看他说抱出来那个叫狗精吗？不是他。
[98:23.020] 更往前他那八几年了，
[98:26.130] 高考好多年了他们。
[98:28.310] 九几年高考或者。
[98:29.930] 零几年刚考虑。
[98:31.800] 有的时候就这样子，那会儿谁知其实山东人。
[98:38.190] 官僚主义比较重视，山东，我觉得山东人总的来说实在对心胸比较宽阔那种是吧？
[98:48.440] 再包括在北京还是在哪。
[98:50.810] 名声还是很好。
[98:52.490] 不是他们
[98:56.240] 他觉得他后期不是说怕的，
[98:59.200] 就是说他们实际
[99:01.510] 具体的他们有的也有好对分人，就是说你一个地域一个地域完了以后，但是你看你能不能有什么，现在随便一个20万车都支持安卓手机导航以上，
[99:15.150] 直接显示了。
[99:17.030] 对，我专业您把您这手机给先生换一下，她没必要，我那手机现在
[99:23.690] 他肯定也不行。
[99:26.700] 我让他给你送一个苹果手机。
[99:32.040] 行行我问细分车型的，我就说您。
[99:35.520] 说。
[99:37.260] 不支持，
[99:47.080] 猪肠笑笑细分低配车型拿来导航都没有，非常。
[99:51.020] 那意思就是说
[99:53.240] 他说那种安全不是有时候我觉得这是在
[99:58.870] 做我
[100:01.000] 在哪呢？
[100:03.800] 微博人原来那种老的
[100:06.680] 制造方面，
[100:08.190] 后来的。
[100:09.700] 吉利本身的其实已经封了以后，现在其实是。
[100:14.030] 他地图再升级，它发现是陆话他。
[100:16.420] 不能国内的一个出现了
[100:18.770] 中国的一个企业，但是其实它的本身的生产以及它指之前还是用的之前那批人。
[100:25.080] 了解了厂家那批人。
[100:27.990] 奔波，同意您往外蹬都那就质疑。
[100:32.020] 为
[100:32.950] 你治一治最好的还是B的，你别老跟我说。
[100:39.200] 对你刚才看猜测也不知道你为什么要追窗帘吗？
[100:45.710] 差点。
[100:47.840] 您这样我给您出一主意了，您在网上淘宝哪怕是或汽配城，您直接买那种怎么他跟你聊完了一聊，但是你不说音箱也不行吗？应该没错没问题。
[101:01.050] 我不告诉说音箱没有那个关口。
[101:04.520] 对网上有门口了。
[101:07.130] 因为我主要是说实话他放弃，然后差不多目前差1万多。
[101:13.630] 又差了点东西。
[101:17.070] 你介意他买哪个？
[101:20.360] 他不管，他说只要是万万。
[101:22.520] 品牌就不行了，我跟你说他前两款我就选在搜哗哗哗的人。
[101:31.160] 我拿点东西。
[101:36.040] 他没有说。
[101:37.250] 完了，但是他有一个拿出来的老朋友，他唱歌他不好意思，他们
[101:44.180] 都是。
[101:46.220] 可能四五十岁，然后这一年来。
[101:51.590] 对，把换了。
[101:55.310] 他说我。
[101:57.660] 只是但是光必须不行了，不管他。
[102:00.470] 我都不行了。
[102:02.290] 好的，您拿。
[102:03.470] 一下，因为。
[102:04.330] 销售要试驾的时候麻烦做下登记，谢谢。
[102:08.950] 不登记的话我直接就了，在那销售部群里头发，你这次。
[102:15.450] 8.8变成我拿3680。
[102:18.310] 4:30还有什么？我可以花钱对
[102:23.460] 我们这一块谢谢。
[102:25.150] 你不买
[102:27.290] 三四百万。
[102:28.960] 百，但是
[102:30.990] 谁知两个地方明确，你说这个字多不多少，不是这个不能。
[102:37.390] 不是你刚才不告诉我说您的话在搞，
[102:41.280] 反正
[102:42.080] 不都差不多。
[102:43.660] 我也听不出太多他们来说还有什么区别。
[102:50.200] 其他的导航其实也不用，你像K5上达现在从来不用上车，都是手机导航。对
[102:55.480] 上面
[102:58.640] 然后
[102:59.440] 老板这套东西他就要开盘了。
[103:02.540] 委托人放在腿底下，还有一个这个地方前排全部是假的，我知道了，这有一个。
[103:11.350] 拖着腿的话对于整个掉
[103:14.620] 打多少，然后他那种比较很全面衡量，因为他这车就是说。
[103:20.950] 没错不，你说下家其实大家选择地方车就是卖的东西，
[103:27.350] 都是说有什么时候方便，就是说我这款车相
[103:32.150] 那行那就缺了。
[103:34.010] 药店真正的。
[103:36.990] 定义标本交一半，然后那个指标人是您谁是您还是也。
[103:42.360] 用您的身份证，
[103:44.730] 然后咱物料你看我又不听我的身份证不给用吗这？
[103:49.660] 不是你名下车吗？
[103:51.920] 我不是属于打酱油的吗？
[103:53.930] 然后
[103:55.670] 行，我里边给您办一下。
[103:58.530] 给您下载一个下一个
[104:01.250] 单子，
[104:03.010] 一会刷卡刷您的卡是吧？先生的卡刷卡怎么刷先生的是吧？
[104:07.850] 对，你他拿包就刷他卡。
[104:10.440] 奥迪我买的这车他的买。
[104:13.170] 而且才30多报废的。
[104:15.270] 手续你帮我办，还是您自个去办，然后自个去办？
[104:19.390] 对，或者您没有人帮着买什么，我给你问问我帮您问问对。
[104:25.020] 行，咱屋里我也给您下订单，行，你把身份证拿过来，对咱等新车到了。
[104:29.440] 熬了咱把这个车报废，要不然您这两天不还得拆掉吗？黑色就是那种花色的以是吗？我今儿是不是可以抽奖？
[104:37.030] 冲动9或者对，我就是不可以快点，这也
[104:42.020] 这对咖色的就跟那颜色一样，哪个颜色这个就是对颜色一样，但是皮革是不一样的，我跟您说一下意思，皮革就是这种。
[104:52.080] 土豆片这边我给您看一下是正品。
[104:55.130] 那个也是真皮，但是这个是拉帕的作业，这一套皮革是3万多茶水，就临床那一套。
[105:01.850] 这种
[105:04.230] 咱是这种稍微有一点点融入的，比如说一点纹路，您慢点就慢点上下。
[105:10.400] 然后您看这个一点文就跟这个是一样的，这种脱臼前头这一块对我们定的真相这种就这样的，稍超点。
[105:21.800] 不是什么叫没了，我估计差不差，你咱们现在定是不是白颜色的吗？
[105:30.310] 白颜色那款对白颜色那款黑车的黑色的外观，然后颜色的座椅这边也是正常的，对，做都是这是确定资料，你跟我要别的我都没有。
[105:43.970] 你跟我聊别的我都没有，白车里黑黑做也是花纹的是吧？这也是花门的。
[105:50.690] 那就跟这一样，就是颜色不一样，对您看
[105:53.960] 一下也是花纹的，我给您下订单，您稍等。
[105:58.800] 我身份证给他了，在我这。
[106:02.440] 这边。
[106:03.440] 您下一个订单
[106:07.170] 的
[106:10.950] 的
[106:13.510] 场。
[106:19.360] 没听说谁说Volvo的车。
[106:23.090] 但是我倒知道，就是说你那个里边你看奥迪带着导航你也不用，反正以后
[106:31.370] 一般都是手机，因为他车上带的导航没有实时的一个，而且还得定期还得升级玩意儿。
[106:43.050] 你这复印吗？对我一会去见一下，我现在先拍照片，一会去见一下，您先稍坐好吗？
[106:48.970] 不想做，回家了。
[106:52.650] 行我尽快。
[106:56.800] 那张纸在你那，我对他先看一下。
[107:00.320] 等一会您再收起来，你说也是花纹的，对这都是花纹的是吧？这是一款对只有叉C90不是带花纹的，那个人是特殊选的皮子自然的。
[107:12.880] 致远也是跟座椅是一样的，对都是的花纹好看到对。
[107:23.520] 你儿子说支持我买了，
[107:29.110] 花他钱无所谓。
[107:31.040] 不是，他说为他以后儿子安全着急，
[107:35.400] 他说他研究了
[107:37.010] 研究这种安全系数，说过货还算可以，
[107:41.570] 说挺好的。
[107:45.010] 话说就不。
[107:46.950] 是吗？
[107:48.490] 对，Volvo主做的就是你养这花怎么都这样了。
[107:54.050] 这是他们就养的这种。
[107:56.540] 没有不长叶子吗？好像是会长叶，别干扰人家
[108:06.840] 吃。
[108:10.280] 客串送一车膜。
[108:14.480] 对，你刚才不是说送吗？送不了吃东西吗？
[108:19.070] 我刚才听到什么送吗？
[108:22.200] 时候也能饱吗？没有木，而
[108:27.620] 你知道是什么？8000人的模式，知道不是小模型，
[108:34.600] 优选精品，
[108:36.360] 优选精品。
[108:39.220] 他这有模型的情况，我刚才也说了，
[108:44.920] 公交低了多少钱？
[108:47.800] 胸假的。
[108:49.020] 小模型多少钱？我喜欢纯六百三十几，好像是还600多块钱，你看送一趟好贵真的好快。
[108:58.150] 跟经理说一说。
[108:59.540] 看我都在你这买车，
[109:02.440] 而且我都喜欢
[109:07.490] 他留下来买车估计还是我的公示，这的确是。
[109:11.880] 然后您问好，我一会就给你问一下，
[109:16.790] 我不买白车，你给我送一个小膜，白这会在我们这一样的，
[109:23.110] 咱们不能上下，谁知
[109:27.330] 中
[109:44.420] 他这抽奖吗？
[109:46.630] 订车就可以订车抽奖了。
[109:50.600] 一会你看我手抽筋。
[109:58.670] 我这包哪天我没去查有。
[110:02.330] 再发着急。
[110:09.300] 你跟原植物确认也没有那什么，
[110:13.080] 跟我确认什么，就是价格我确认您可以去问这都行。
[110:19.720] 价格我有保障，收益绝对是最低价，因为如果原汁或比你还低，
[110:25.490] 您可以来找我，我既然敢跟您保证跟您说这个东西我就肯定是
[110:31.690] 心里有底的，你知道吧？你们外观
[110:35.880] 4S店的价格，它一般的手续不就有买车，不都是很
[110:42.600] 那次的，然后他就可以开办。
[110:45.160] 报警就不了。
[110:47.070] 对，奥迪就已经办了。
[110:55.230] 的
[111:05.280] 其他厂里面还有包括
[111:06.970] 就抬头显示。
[111:45.170] 没有吃知名。
[111:51.500] 我还得是米其林胎。
[111:55.340] 这个运动话，对，应该都是米其林的，都是沃尔沃，不是米其林的倍耐力，一共就这两种。
[112:01.040] 对。
[112:03.170] 米奇B还有什么？
[112:05.790] 谁知
[112:09.910] 我刚才跟实价，
[112:33.000] 他那两的
[112:34.120] 配置一样。
[112:36.090] 就是的。
[112:45.510] 你小孩
[112:48.490] 爸妈研究吃了小孩现在不是喜欢吃。
[113:04.270] 鼻子都是上面的，
[113:12.540] 而且都吐了。
[113:15.640] 对您手机号的刘先生就是谁先生，您说一下13800
[113:22.020] 1255
[113:24.140] 8200好勒。
[113:27.000] 然后一会刷卡方便刷您的吗？还是得啥限制呢？
[113:31.020] 这招您了是吧？还得用一下您的身份证，我这边得需要您给女士做一个垫付款证明。
[113:37.850] 对，需要您做一个月刷的垫付款证明。
[113:41.750] 骨感富有。
[113:43.060] 我没带着那张大卡，
[113:47.690] 我那工资里头没多少钱，
[113:51.300] 工资卡里头真的你有了的确是付全款是吧？
[113:55.800] 什么是全款？
[113:57.620] 你光暗看着办的贷款对吧？
[114:00.670] 先那什么，
[114:03.110] 你一次性付清，你为什么要交纳6000手续费？反正被爆不一样，就是说一次性付清货款。
[114:12.630] 付钱还是付钱？
[114:14.920] 没有，因为
[114:17.370] 你是做贷款，
[114:19.060] 你6000手续费我才能给你优惠这些，你要是不交我就可以优惠100,002。
[114:25.250] 你了解了其实是一回事儿。
[114:27.240] 对，其实前一份不但贷款的话，这个总价
[114:31.840] 哪个总价就是最后落地价的，落地价其实就差1000块钱，因为这6000那5000其实就差1000块钱对吧？
[114:38.850] 但是现在咱不是3000了吗？
[114:40.560] 所以说便宜了，其实相当于2000块钱差不多便宜3000块钱，干脆全款都按照这个价格做一次做事，真没法看到，因为我们这也是有人他会给我们下任务的，你知道吗？我们就按照贷款来吧，直接现在挺特别简单，提交贷款特别简单，
[114:58.130] 我问你妈妈不用，
[115:00.630] 银行一会就给你签了合同，快递任务不用贷款，他不得收我利息吗？没有利息。
[115:07.970] 无锡的对。
[115:09.860] 您稍等一下。
[115:11.990] 现在一块没有搞到，这样的话都从我这走了。
[115:18.800] 如果比方都从我这走手续，就是车主
[115:23.340] 其他的都由我来办。
[115:25.270] 和你名字需要什么手续？
[115:27.210] 我一会你的奥迪不是我的名字，我付款不是一个道理，但是贷款的一样，
[115:33.250] 待那么一会他就给咱弄一会他就一会贷款的人这个上面在有点问题。
[115:39.600] 因为我
[115:40.800] 没有那么多钱，我不给我瞎折腾。
[115:44.480] 您稍等，我去找他们审批一下，先生您的身份证我需要用一下，我得去复印一下，需要您给
[115:51.070] 做一个证明。
[115:53.910] 这是信用卡是吧？您这是对幸福，您这可以对这次可以刷信用卡，然后下次对就得刷储蓄卡，继续使用前对谁知
[116:04.610] 万
[116:05.330] 信用卡好像是买车也不算。
[116:08.450] 对没事，您这次可以刷，下次就不要发了，对。
[116:12.150] 尽管你不到时候还得还款吗？对。
[116:16.770] 一个月还多少？
[116:20.120] 无锡他们说无
[116:23.380] 没有利息，
[116:24.610] 我现在搞不懂他为什么要走这么一讲，
[116:28.690] 不是走讲的，
[116:30.250] 他要证还有方便面的银行在这地方。
[116:34.370] 原来什么？
[116:36.660] 不是他要不走他就便宜不了，他原车价多少？7053。
[116:43.010] 原车价格原车40万。
[116:45.170] 402,900，
[116:46.710] 她这样一走能给你便宜10万块钱。
[116:49.760] 对107,000，这个是原谅。
[116:52.700] 这个原价是439,900，实际上俩就是永远就差3万块钱，
[116:58.550] 对吧？
[117:00.130] 一共人员问多少钱，就是40多年。
[117:03.280] 别人都知道，我还没打折扣，打得挺狠都知道我跟你说，
[117:11.270] 你认为我本来在你那看，你没准备定，你非要我这人干什么事儿，因为什么？
[117:16.810] 我说你不知道这已经下半年是什么样，
[117:20.360] 因为牵扯咱们这个车快要到期，我还得验。
[117:24.920] 第二件事这个车弄完了，第二件事给我换驾照。
[117:29.120] 听了
[117:32.690] 天天
[117:34.310] 说
[117:47.000] 吃我刚才坐着。
[117:49.650] 给咱们吃吗？
[117:51.860] 好像后边没那么大。
[117:55.380] 你刚才那边说的去看送的。
[117:58.580] 卖了。
[117:59.740] 那一个登记
[118:03.650] 不是一个级别，所以你不买宝马我也没有，咱们也不能买太低，知道吗？
[118:11.430] 小宝做好马这是怎么也得坐卧，我不太低是吧？
[118:16.970] 对。
[118:18.330] 你说。
[118:22.600] 杨哈哈笑。
[118:25.300] 不支持卖过了。
[118:33.910] 你自己一下查看
[118:36.960] 了。
[119:39.270] 去居之
[119:42.850] 什么卷，因为柠檬做不做没事。
[119:50.740] 折腾我都没劲买菜了。
[119:52.940] 今天不买明天你去买我也不要买，不要加班。
[119:57.360] 因为你加班。
[119:59.030] 对。
[120:00.160] 每天
[120:01.610] 你不是骗那个人的，明天是真假的。
[120:05.800] 照片、
[120:08.720] 那出来你不说你去加班去吗？
[120:12.710] 你把那坎填上了，
[120:17.470] 你吗到时未来要知彼。
[120:26.290] 等一会半天又说。
[120:32.840] 稍等，我找领导审一下，你跟他比用一下，我没出大院还得混也得填那个时候。
[120:40.310] 是吗？为院里管的严着。
[120:49.010] 为了跳刚才问了一下，今天不是订车抽奖，是今天订车，然后您有分期，
[120:54.550] 然后就会送您一个拉杆箱，
[120:57.500] 每天可以抽奖，
[121:00.140] 哪天出家我哪天来。
[121:02.870] 哪天抽？
[121:08.100] 你说你们问清楚。
[121:12.480] 怎么样，我准备抽电视了。
[121:15.260] 我常常说也行，我问了很多。
[121:19.530] 给他问一下。
[121:23.440] 点香都淤了，或者您
[121:27.280] 您想要什么有什么
[121:32.840] 我想要电视或者冰箱。
[121:35.760] 什么冰箱应该是。
[121:37.540] 你要靠抽是吧？
[121:41.910] 每天都可以抽，不能反映样子，
[121:46.040] 我再来。
[121:51.050] 你想什么回家？
[121:54.760] 看老人。
[121:56.280] 上班。
[121:57.870] 你是上班，我是回家是吗？
[122:00.460] 给他看看。
[122:05.370] 你给我写一个回家，因为我没有淋湿了信号的。
[122:09.750] 你到了那里
[122:24.360] 本人签字，身份证号。
[122:25.880] 110108。
[122:27.640] 19610220付的是多少？应该是74。
[122:33.520] 0724是吗？
[122:39.650] 你签个字。
[122:41.370] 你上次也没让我签。
[122:43.920] 这地方
[122:50.820] 不到你他带着他不会让你走了，都有可能变化。
[122:54.440] 所以在这订
[122:55.220] 车那边走吧。
[122:56.700] 他不就用增加东西吗？
[122:59.390] 对。
[123:03.940] 最好再送一个小这个车的车模，
[123:07.770] 观念
[123:09.080] 600多块钱买，
[123:10.620] 他送到
[123:13.430] 为啥呢？
[123:15.430] 他这没问题吧？
[123:17.590] 刚才的门口可以跟他聊了。
[123:20.340] 甜的吗？
[123:22.870] 好
[123:25.540] 我说怎么做？咱中午饭没吃，
[123:29.560] 吃早饭没吃中饭，
[123:35.840] 别找人家你跟上的领导自己烧的吗？我说我怎么做？中午饭没吃，我们吃饭我这刚吃完早餐。
[123:44.470] 他们没事他们。
[123:45.550] 不像别的不是。
[123:47.890] 我都在这直接我这有。
[123:50.310] 我这有食堂，你现在没有不吃饭的。
[123:53.990] 对，现在啥跟你看看，像奥迪他们去中午保养商店都吃饭，对你们没有。
[124:03.270] 我们也有他中午采用了原来米桩，他慢慢来，没想到吃饭妈变了。
[124:10.650] 为什么刚才我说咱们怎么跟你说事，
[124:13.850] 开放一个让我们市场经理上。
[124:15.840] 快完了完了之后你抽一把。
[124:19.300] 卷纸，他不如一个拉杆箱的。
[124:22.130] 不能。
[124:23.160] 我再不抽你抽去吧。
[124:26.790] 你稍等，因为等我们电筒审批一下，行行。
[124:33.030] 我再给您拿两个不用了够了。
[124:36.280] 283,900. 
[124:38.480] 黏合不合适了，我在。
[124:40.390] 喝点水，你必须自己接。
[124:42.630] 你父亲也不要了吗？
[124:44.290] 本来我。
[124:44.850] 其实
[124:46.150] 购置税咱们最近的哪个地方去？
[124:49.160] 都是在店里才能交，店里就可以交，保险你们是哪家的合照你们都说。
[124:54.870] 对平安的我们这都是按现在上保险公司给您保险。
[125:00.490] 人保送12什么平安上保险他们。
[125:03.700] 您是续保的时候才送去的，对，续保都是在动的心，这保险动不动。
[125:11.170] 送洗车送什么分期？
[125:14.600] 洗车喷漆给您打折对吧？
[125:16.970] 一般都是续保的时候，但是您去的时候，你比如说去哪家都行，
[125:21.840] 把它寻宝汽车点比较多，我住在那里肯定可以个人您也跟
[125:28.010] 我们这样，我们你只要过来，然后比如说您那啥。
[125:30.930] 或给您签个字，这个戏就是你们自家的人维修的。
[125:36.280] 咱们洗车跑这来还不够油钱。
[125:38.900] 不是离那不远吗？
[125:40.240] 就顺着辅石路算不方便。
[125:42.500] 也是。
[125:43.730] 点方便，保险这可能大概差不多1万差不多购置税它都到不了两二25,000。
[125:50.320] 到多少？
[125:51.680] 到得了。
[125:52.540] 283900÷11.3，
[125:55.830] 25123.8。
[125:57.390] Low还超过那什么保险1万呢。
[126:01.160] 保险我只是一个预估，然后保险具体看您上险种。
[126:05.480] 验车这3000实际上就是你大消费的。
[126:10.540] 对。
[126:12.460] 你要是拉赶箱，要是新秀丽合适，
[126:17.060] 你想啥？
[126:20.020] 的。
[126:24.610] 我说给你弄的铁观音茶是凉的。
[126:29.300] 喝吗？这是橘汁是吧？
[126:31.640] 也不太田痣。
[126:34.650] 这一块。
[126:35.540] 为国际到达。
[126:37.030] 但是他那茶是凉的。
[126:40.390] 谁知。
[127:08.750] 马上来行没关系，张校长您签一个字就行。
[127:13.670] 这啥意思？对，就是订单的一个签字，然后您签完我给他打印，我还要我这签字。
[127:19.710] 对，因为这车是您谁知到现在欠我打电话在哪儿，在这块都能签。
[127:28.080] 这也挺大。
[127:30.420] 我也写大字什么？
[127:35.990] 然后现在您手机号82008尾号会收到一个验证码，还不好意思。
[127:45.620] 他血糖低，所以他说音色他就不行了，对，本来是来看车子没说今天就定我这人办事就是赶紧搬家，因为你下一步他不23040
[127:58.030] 52300小姑娘都说了，你发现比这低的你找他是吧？都说这话，你这是山东人。
[128:08.990] 没啥用，对你听不出来了，山东哪里他没有口音，山东梁山从小在通州长大的，你看我这一会都明白，行，您稍等一会，我把这合同订单印出来。
[128:25.040] 还是说跟他一个什么亲戚在通州，
[128:31.450] 你是不是有点晕了？
[128:35.950] 你扔难听，小房间里头有老师，
[129:22.860] 没准你儿子我还是修一高兴还送一个，我给你儿子都打一招呼，我说
[129:29.710] 你把给苹果配套，
[129:32.260] 他就了，
[129:33.640] 有可能能保你是不是给你送个苹果手机？
[129:37.140] 不是就把你那个手机你不用了，直接专门用导航就完了
[129:41.500] 了，我一罐带手机他就是导航。
[129:43.900] 你说就没用，他照相是吧？你不有两个卡吗？
[129:47.960] 还得苹果，对苹果的这事你怎么没明白，我说我这照相不行了，
[129:54.310] 其他功能都好。
[129:55.970] 了，他就听听音乐导航，其他都没用。
[129:59.200] 跟手机上走进其他女友。
[130:01.950] 我现在这就照相，你看。
[130:04.130] 不是，他有时候他蓝牙的接电话。
[130:06.690] 你这样都挺好的。
[130:08.440] 它主要
[130:10.520] 早茶就把地图就可以接到。
[130:13.620] 车上
[130:16.760] 这小孩太好玩了，你看
[130:19.130] 吓得。
[130:20.730] 你看
[130:23.010] 叫什么？
[130:27.640] 对。
[130:34.150] 要等到出去抽烟。
[130:36.540] 人家马上就让你签字，
[130:44.850] 号。
[132:28.550] 去交钱了，对。
[132:31.220] 然后非常让人现在你歇会合同订单。
[132:37.280] 我那一签字就到这儿了，对直接就印出来了。
[132:43.940] 因为我跟你说这一
[132:46.370] 听专家说今年到明年春天都够呛是吗？
[132:51.710] 到明年春天，
[132:53.260] 是因为什么？你美国那边问他那边态度不像原来2003年 SARS，它国外没有这事儿，
[133:02.320] 中国他们给控制住，现在你控制不住，而且人流学生他是中国籍，他要回家，你也不能不让他活塞。
[133:10.680] 所以每次就是隔三差五的给你回来几，
[133:14.640] 你就问题是就怕欲借。
[133:18.130] 我感觉那女的
[133:21.840] 你说你隔离不好在家隔离，你看他去了好几个区都下去了，
[133:27.750] 而且还有一点什么03年那会什么，他交通其实没有那么发达，飞机也来回的那么多烫，那会也发达。
[133:35.610] 它问题是国外他那会干什么？
[133:38.710] 他没有。
[133:40.320] 当时武汉要是丰城就好
[133:42.900] 了，就不会跑到那里去，
[133:46.200] 现在就出现这个问题，
[133:48.500] 他三天两头回来的人，你也不能让他不回来，
[133:51.600] 也不能了，而且你经济你都应该懂吧，他老是这样。
[133:57.960] 包括北京现在他也不能封城，因为
[134:01.660] 外贸这些经济流通，美国恨不得让你那什么
[134:06.800] 不可能放下来，所以北京他也不能疯。
[134:10.690] 现在不会
[134:12.150] 封影响太大
[134:15.070] 了，所以说现在好多问题，现在
[134:18.040] 你下一步你看包括9月份说开学都过去
[134:24.220] 了，你想这一个女的昨天报告，
[134:27.950] 他就能给
[134:29.440] 200多个204，
[134:31.700] 204的那帮人很有亲密经历。
[134:35.150] OK咱就抽奖，没事，他跟你打电话了是吧？
[134:41.470] 稍微等一下。
[134:47.330] 没看到那边。
