[00:00.570] 录音码S90
[94:17.260] 百年福特属于长安，
[94:19.440] 当时他跟重庆长安适合做代工，对，当时把Volvo整个
[94:25.270] 你是全都坐着看看。
[94:28.110] 长安沃尔沃老80，
[94:31.000] S 80LS80，还不是说S80是S80L
[94:35.120] 餐车那是常规卧室，
[94:37.900] 那是代工的都不能算国产不算代工厂，
[94:42.030] 但工厂只是称的这次没法再说了，故障率，为什么好多人
[94:47.490] 不太了解沃尔沃，或者刚有这个心还没
[94:50.260] 听过沃尔沃规范太贵了，故障率还高，
[94:53.800] 常带回来
[94:56.540] 把整个品牌都会
[94:59.180] 后来
[95:00.370] 福特学了一些沃尔沃的技术之后，
[95:04.870] 然后
[95:08.250] 吉利把沃尔沃接过来，
[95:11.110] 他为什么
[95:12.750] 这个沃尔沃要卖给林特朗茨？
[95:15.700] 因为他当时在研发自己的一个整车生产平台，也就是咱们现在看到的所有车都是
[95:21.790] SPA平台。
[95:23.250] 还有一个就是他要动力总成，因为当时
[95:27.270] 沃尔沃是没有自己的动力总成的，
[95:30.490] 发动机没有自己的，
[95:32.770] 当时就不是自己的。
[95:35.650] 他用的谁呢？
[95:38.580] 现在都是自己的，现在他研究发动机都是它研发这套生产体系生产平台，
[95:46.550] 再加上她这套动力总成侨
[95:49.670] 发了130亿美金，
[95:53.280] 这么贵，研发了13年。
[95:56.900] 好好，现在核心技术是自己的了，伤害回去了。
[96:04.100] 开始就发现这车要没有自己的核心技术，
[96:08.420] 我看他长久对
[96:11.570] 好多国产车的
[96:13.440] 因为他会人家配件供应商会不断这么努力。
[96:17.890] 你卖得好，人家价格也高，对人家说就请你了。
[96:23.790] 但是对于厂家来说，
[96:30.500] 它供应商应该是
[96:33.470] 因为供应商的定位是比较弱势一点感觉。
[96:37.480] 供应商
[96:39.140] 你知道美国为什么制裁华为，
[96:41.820] 不知道华为是做基建的，
[96:44.830] 他为什么不制裁什么
[96:47.370] 联想什么阿里，
[96:50.150] 摆百度腾讯之类的，
[96:52.760] 因为只有华为跟中兴是做基建的，
[96:56.690] 是做信号击剑的。
[96:59.340] 搭建信号塔，对这是做机械的，他们
[97:05.500] 叫底层的供应商，
[97:07.400] 什么联想、腾讯这都是
[97:12.170] 上层的服务商，人家服务
[97:15.800] 服务商可以随时换，对。
[97:18.020] 但是你的这个东西实实际上是物体是他们自个，是人家华为跟中兴的，你小孩说明。
[97:25.930] 人家不想让你用，你就全瘫了，对。
[97:33.890] 处理完了吗？
[97:38.430] 也有问题吗？
[97:39.830] 没问题。
[97:42.110] 我还是不懂表达出来，
[97:44.350] 不懂你就问不了核心问题。
[97:51.210] 点
[97:55.960] 我们错了。
[97:58.270] 行了，你看
[98:00.040] 一下扫出明天再出去。
[98:04.770] 其实主要是也去看名牌的
[98:07.940] 办公耗材。
[98:09.980] 慢点不送您了。
[98:19.550] 等这儿一款有人验了之后，咱们就可以要了，因为一台验的车给开车。
[98:28.200] 还是一款车，车架号合格证发回去。
[98:33.370] 因为你是。
[98:36.170] 对。
[98:37.450] 因为你的21款骐的比较少。
[98:40.270] 应该是有的。
[98:45.090] 现在大多数验车都是2005。
[98:47.090] 一块
[98:49.850] 不要着急，咱们耐心等等，肯定会有人去验，早就等不及去验的。
[99:52.970] 不是这样。
[99:53.730] 就这样。
[99:55.330] 谁知
[99:59.580] 用享受它干嘛？
[100:01.970] 看到。
[100:07.870] 听了再辛苦
[100:10.570] 几万倍。
[100:15.360] 给了我去做晚辈，
[100:17.760] 开车回来了。
[100:20.050] 元岗马上就没有伤感了，马上人家回复四川，他说
[100:24.920] 那个厂我也放下。
[100:27.570] 都没有了。
[100:29.190] 还有车。
[100:30.320] 作战。
[100:32.620] 那不是三哥吗？还。
[100:35.460] 我看着都是
[100:37.530] 款式不对。
[100:38.890] 我觉得首先的旁边这边。
[100:42.040] 真心，最后一定。
[100:44.770] 现在这是我在。
[100:47.840] 我再开一个回来。
[100:49.380] 行不行？
[100:53.080] 有卡在你那吗？
[100:57.100] 收严是吧？
[100:58.430] 行好了，我换一下。
[101:04.480] 号
[101:06.840] 好，我把合格证发给你，他是不是在送货？
[101:10.720] 还是在门店里面？
[101:16.100] 让我看着。
[101:25.810] 677467。
[101:34.450] 你们还有
[101:35.780] 结果没法过了，这两
[101:38.660] 客户怎么。
[101:40.610] 好了。
[101:47.290] 你吃不下，
[101:48.950] 出去了。
[101:51.770] 来。
[101:57.560] 不车直了。
[101:59.150] 目前。
[102:02.330] 但是一说他登基不行，还不信，我操坐着跟做按摩的，
[102:31.960] 不吃饭或者
[102:33.120] 吃草莓。
[102:41.330] 跟你交流，
[102:43.090] 还有。
[102:46.430] 对。
[102:50.800] 60高级。
[102:55.430] 谁知
[102:57.590] 谁知
[103:02.750] 不挣钱，
[103:04.010] 你不用钱。
[103:06.320] 对。
[103:07.090] 大概开多少票？
[103:08.590] 开久了。
[103:12.020] 9个还是农田？
[103:15.270] 开多少挣钱的？
[103:21.840] 明白。
[103:22.640] 我不走了。
[103:29.170] 玩大的。
[103:32.690] 年收服务过一个月长过一个月涨，然后
[103:36.000] 有多少？
[103:39.710] 二是觉得销售过程工资吗？
[103:43.120] 销售不是售后的服务顾问，都是一个2万多少
[103:47.300] 给我的
[103:48.650] 的
[103:49.930] 客服工资比我高，复合产品。
[103:52.900] 对。
[103:55.190] 客户的一个要求。
[103:57.170] 小700千米。
[103:58.700] 你说。
[104:00.680] 钱应该比后面
[104:03.340] 高过。
[104:06.800] 增量这叫什么前高后低，
[104:10.850] 就是这么其次看
[104:24.910] 你说我现在能开多钱让
[104:46.620] 每天工作车辆还得跟夏雨说一声，
[104:49.560] 不行说说我不跟他说就行是吧？
[104:55.070] 不要说也行。
[104:57.000] 我闲的没事干。
[104:59.060] 银行这个时候影响。
[105:05.900] 有如果是让非得让我。
[105:07.510] 门。
[105:08.080] 有明确规定让我们说话。
[105:10.080] 肯定会说
[105:11.550] 没意思。
[105:12.680] 我就想问你有没有。
[105:14.910] 什么？
[105:16.480] 没有的话就算了。
[105:19.070] 不该说。
[105:21.080] 我怎么跟宇哥说，我说
[105:23.620] 比如说我今儿听V车。
[105:25.480] 车龄码淡出的00元收购客户不太高兴对吧？对。
[105:32.390] 然后两个就说了句话，谁知点钱这多好，
[105:37.820] 对吧？
