[00:00.660] 接待二次客户，李富先生看着LC
[79:57.520] 来付先生您这手就行了，我一会会给您发一个初始的链接，您就按那提示操作就行了，然后回来还款需要一张您名下的。
[80:06.970] 储蓄卡要求是中农工建这4大行，中农工建对另外就是咱们
[80:14.250] 谁知。
[80:16.480] 因为之后会做一个抵押登记，然后会用您的身份证原件留三个工作日。
[80:21.810] 日左右去办这手续。
[80:23.480] 好，我这边就没事了。
[80:27.050] 后来让春晓建一个微信群，然后有问题的话咱们在群里沟通好了，行行没事。
[80:33.560] 二。
[80:35.100] 一会您是刷卡是吧？
[80:38.160] 今天要交多少？1万1万1万的刷微信微信还是支付宝可以。
[80:45.500] 你刷卡也行，刷卡方便。
[80:50.710] 哥您再给我说一下您的手机号。
[80:52.920] 13813810000766206626邮箱，
[80:58.340] 邮箱FU的US勾S。
[81:05.200] 三个9。
[81:06.380] 三个9K的。
[81:07.990] Qq、
[81:10.550] 三。
[81:11.610] 打出来了才搁在这屋里去拿一下，
[81:14.730] 玩着哪个得出货，那收据你得一会儿补。
[81:18.170] 不是。
[81:19.140] 让我补充一点，要不笑脸给你写完了，但是需要上面字没写，上面就是这个字。
[81:25.290] 谁知然后我把这个单子微信就这给客户是吧？
[81:31.700] 支付宝。
[81:32.480] 出来的大事，你帮我那什么。
[81:34.660] 你还有吗？用给给客户一个确认一下，你是不是应该给他一份儿，给他一个合同核对。
[81:41.810] 对，你给客户一份。
[81:43.160] 这两个一样，这儿谁知到B全面积一三十万对吧？人家一张就行，这样这样子30万还跟你去财务，你去打印机上拿一个支付宝的
[81:53.110] 30万，我觉得这个时候买多好，你买那车咱什么样的东西访谈，
[82:00.280] 您都觉得什么？您260你都觉得动力小，你觉得动力更散。
[82:06.490] 1.33G的。
[82:08.440] 对你肯定觉得动力小，到2.0T的。
[82:12.830] 不是发动机到底是啥？
[82:15.960] 这300
[82:17.850] 高功率的
[82:24.170] 2.0T然后我说下二点，
[82:28.690] 然后别人就。
[82:30.480] 就想要260多两个。
[82:35.510] 刚才那般了这样子，刚才那签字稍等，
[82:40.190] 正好落了一个，我让他给你签了。
[82:42.880] 让客户填上，
[82:44.670] 那时候不让姐李姐填上。
[82:47.740] 最后
[82:52.520] 了。
[82:53.510] 就是这个那什么吗？
[82:55.930] 从公约吗？你不说你拿走了吗？
[82:58.500] 吗？等他签字。
[83:00.560] 然后让他签上完了不要看让直接把这个填了。
[83:04.160] 哪一个表达希望你有时候我给他讲车位，我这已经跟我。
[83:08.390] 聊着虽然说了到现在退休了。
[83:11.780] 还行，把那个数据让她相信自己行了，谢谢胡哥。
[83:18.290] 在他这缺点吗？
[83:21.190] 因为那个表最好。
[83:23.050] 好有明天我给我打电话了，这个东西也没有办法推出了，
[83:31.630] 跟这个工作刚才还没去。
[83:36.220] 这个是这个世界。
[83:41.680] 的
[83:42.550] 的。
[83:52.520] 不知道。
[83:54.740] 看不到刚才。
[83:58.360] 置换的车什么时候开的，等到新车到了。
[84:01.790] 你要是不用的话，那是你提前送过来也行，到时候早点冲指标。
[84:05.720] 搞点什么？
[84:07.360] 早点给您过户更新指标，关系在这签个字，你要没事高价的开着，你就明天开过来都行。
[84:14.860] 你早不早放着，我们早给你过户办理过户办理更新指标的事儿。
[84:18.920] 谢谢。
[84:19.840] 你说这车不是说这月底下月初就能到，那你明天就可以开了。
[84:25.080] 对，那不就走，对，那车是不是还能过来做个假？是你得过去做假，你那是什么车刮？
[84:32.430] 斯柯达7号没事能过的座驾，你手机收到的卖，马6号已经把车
[84:40.150] 放过了，跟他说就说一说。
[84:43.040] 我也得打个电话。
[84:47.430] 他们今天干在家。
[84:56.280] 收到了吧？
[84:57.560] 上
[85:02.350] 把。
[85:06.000] 对，这是我们用的一个软件。
[85:09.600] 我以为。
[85:10.980] 的。
[85:12.420] 386379. 
[85:16.240] 386379. 
[85:19.180] I3863791。
[85:23.160] 386379，
[85:29.170] 对
[85:32.950] 了。
[86:02.250] 的。
[86:03.790] 稍等一下。
[86:06.120] 数据。
[86:15.990] 然后他
[86:19.040] 还有什么？
[86:23.340] 觉得女朋友。
[86:26.390] 咋的？
[86:27.480] 你看这是出汗出的范进。
[86:30.280] 这衣服这么明显。
[86:34.470] 账号。
[86:36.210] 妈真是你蹭着可能觉得看见
[86:40.820] 有点啥，到时候我也说完。
[86:43.860] 有可能
[86:47.400] 的
[86:50.760] 的
[86:53.480] 的
[86:55.850] 的
[87:00.960] 到
[87:03.670] 然后后来教授
[87:11.870] 号
[87:18.360] 的
[87:26.640] 数据
[87:27.910] 号。
[87:42.360] 的
[87:43.930] 的
[88:19.350] 您看一下。
[88:20.470] 这是刚才您先生把您的合同客户说了，
[88:23.940] 车一块我带进去，车都看，对该车公示价格。
[88:28.140] 是449,800，由于客户上北京牌照优惠43,000，若客户改变上牌方式按公司价格出售，这前面的话也属于跟你没有什么太大关系，就是他有客户上外地。
[88:37.720] 客户自购18,800万。
[88:39.430] 百4的精品哈，雷迪4级的贴膜、脚垫、记录仪、藏电视，
[88:43.480] 包含5000保险，后来不是送到您给您优惠了5000吗？是送你5000的保险，电力验收上牌2500。
[88:49.790] who店内置换包含6000保险，也就是说您置换还有6000的保险，
[88:53.690] 也就是说您这个车一共有一。
[88:55.210] 一的保险，那就一共是11,000
[89:00.380] 您看一下。
[89:05.130] 你18,840那个是包含
[89:09.760] 车门那些东西对吧？
[89:12.470] 对车模还得一次一听车模那不是19,800。
[89:16.840] 19,800×1.8 15,840加上一个3000块钱也都给您了，18,8405000对。
[89:26.360] 200又送了您5000，保险置换又送了您6000。
[89:31.520] 5000刚那时候做的车。
[89:34.230] 再给您减5000块钱，总的价格里面给您减了5000万，对。
[89:38.970] 然后置换他说再有一个6000保险赠送对象。
[89:44.770] 延迟2500，谁知。
[89:47.600] 这是刚才给您算的，明天马上。
[89:51.660] 看看有没有？
[89:56.060] 你当时跟洗澡强调等等。
[89:59.480] 喷漆。
[90:02.000] 他们的缺点我现在感觉很多这东西要不不看一看这天也行，牵扯精力，感觉看好了定就定了。
[90:14.110] 然后是我一看。
[90:16.280] 对睡着了，但是三个人总价就没有啥总价了，剩下来就购置税了。
[90:22.340] 购置税是国家征收的，这我给您算的价格在这上面都有咱们谈的。
[90:28.040] 来文化
[90:29.640] 406,800，
[90:34.990] 这68,000。
[90:39.070] 多了1万多。
[90:40.190] 块钱的装饰，
[90:41.870] 这不是还。
[90:45.180] 了又签了，保险这块这不都给您体现了吗？
[90:48.850] 购置税得交。
[90:51.420] 也不给上。
[90:52.660] 保险12,000，
[90:54.200] 整个6000省6000，
[90:58.520] 这怎么千点再减去5000？
[91:02.390] 234还剩1000了。
[91:07.070] 丫就直接我都后边按以前给您家的省1000。
[91:10.440] 这个没讲不了。
[91:13.030] 这个是118,840。
[91:16.260] 这没问题。
[91:18.310] 这里3000反正已经280就打了8折的。
[91:22.550] 3300多。
[91:24.780] 这18,000你算一下，
[91:28.960] 你不得伤心，
[91:32.320] 你加一下就行。
[91:34.590] 待会都。
[91:37.200] 数学不好是吧？
[91:39.120] 406800。
[91:42.650] 佳肯定参加不错，406800。
[91:45.320] 没您加一下，万一我加错了，真的加一点。
[91:48.390] 啥意思？
[91:50.230] 06800对，加上一个336 36,000。
[91:54.800] 这么高，
[91:55.860] 能够睡不睡，也不能优惠了。
[92:01.020] 这保险就给1000了，
[92:03.940] 再加一两千五，验车也不能少，
[92:07.840] 也买房了。
[92:09.590] 这价格再加一个18,840就是。
[92:13.650] 多在这儿了。
[92:14.640] 对就
[92:16.020] 到了吧。
[92:19.780] 465140，
[92:22.700] 这树真的要不少，你把这5140省了。
[92:27.310] 没事，到时您保险没事，没准比这个还得那什么呢，
[92:30.810] 还得再低一点儿，万一对吧？那1000块钱都不用交了，没准还能多出几百块钱，还是给我点钱。
[92:36.770] 你那不能给你点钱，所以他们就给你简单说一声。
[92:43.890] 不知道挑哪个时间要找到这事儿。
[92:51.440] 你写的数据是那意思吗？
[92:53.970] 还这300这跟豪华什么电热与他就要电影。
[92:58.600] 也有。
[92:59.650] 别整完了最后没有
[93:02.020] 哭了。
[93:05.670] 其实比豪华就多不少，比方化功能都不少。
[93:11.530] 他出去他怎么弄这个
[93:18.030] 不够的。
[93:21.270] 他就是。
[93:22.560] 你别这么夸。
[93:24.280] 应该
[93:25.280] 其实我还没跟你凑钱。
[93:28.040] 没事你给我凑。
[93:31.280] 你说你不能给凑好了，给我们张罗着我天说的这一说了。
[93:36.130] 唤醒是吧？然后你自己买
[93:38.410] 一说知道3月之后了。
[93:43.080] 知道仨月之后你说。
[93:47.580] 今天我不来，我就杀业之后再买。
[93:50.510] 黑吗？
[93:53.810] 真的。
[93:55.530] 丹丹你丢了。
[93:57.320] 也没准儿我跟你说当实在来讲，将好多真不会过日子。
[94:02.610] 我都敢跟您保证。
[94:04.110] 他们好像有时候做活动的时候，那些配饰都送。
[94:09.130] 了，不是现在奔驰不送装饰了，奔驰现在都已经整合了。
[94:13.240] 怕客户就是论问那什么直接也不强势，白露做不做就不错了。
[94:21.840] 其实这样挺好。
[94:23.600] 对，能买完了时候。
[94:25.270] 你觉得怕的
[94:26.980] 低了它的高，对。
[94:32.950] 你保养了一次，
[94:34.770] 没用保养的价格，
[94:36.640] 1万公里保养一次。
[94:38.360] 对，1万公里一般1万公里或者是一年
[94:42.950] 万事达的关系。
[94:44.690] 保养一次的话，你平均下来一次大概1200。
[94:46.990] 块钱。
[94:47.880] 1200。
[94:49.720] 为保就机油机虑，必堡是机油机滤加工。
[94:51.590] 功率
[94:52.910] 这么便宜，因为我觉得那迈腾。
[94:55.730] 的。
[94:56.780] 感动块钱。
[95:00.540] 我刚把这坑里不能跟他说完。
[95:03.300] 人还挺多。
[95:05.680] 说你们都没生意，你们这忙不过来，
[95:09.450] 这就关键是约的时间都是去，我们没人是吗？奥迪现在是真不行，
[95:16.270] 他们一奥迪一直没有奔驰订的弟弟的车多，
[95:21.170] 乔每周我们都有汇总，周六周日就他。
[95:25.470] 因为人气桥那车子赶回来。
[95:28.840] 哥您刷卡卡给我一下。
[95:32.010] 微信支付宝。
[95:35.450] 我去弄一下。
[95:37.360] 没办法行，支付宝一会也写。
[95:41.140] 微信不行。
[95:42.340] 微信是纯粹一样，刚看见
[95:45.530] 这边有水。
[95:47.050] 可那得去那边还得去快点去那水那边。
[95:52.570] 要不我给您看看有没有看书，我在这层一下没事别麻烦了，完了我给您看一下，我也。
[96:01.650] 效果之前你去完事了。
[96:05.120] 你不是说交钱之前要看车吗？不是，我是说你先去，你不是交钱之前看一下。
[96:11.440] 就让我交钱有什么可看的？
[96:14.520] 内饰咱们就那事还能挑个木门吗？
[96:20.180] 没听说他上回去。
[96:21.900] 木门还行，就不能挑太浅的。
[96:25.750] 没有。
[96:27.720] 报一下您微信。
[96:30.100] 他木门啥还能条，条文调不了，摸着他固定对我儿子这能条目，而
[96:37.190] 黑木耳是固定。
[96:38.110] 的少爷原来就为条。
[96:40.440] 要。
[96:41.610] 的。
[96:42.090] 为啥他就是说你们什么。
[96:44.570] 每年。
[96:45.340] 高。
[96:46.380] 二。
[96:47.470] 生命高1万是8万吨。
[96:52.770] 坏
[96:55.400] 这块交互。
[96:58.040] 人、
[96:59.800] 场，
[97:01.480] 然后把千块
[97:06.160] 鲜花。
[97:08.270] 这得去那边喝，别忙了，那水谁知。
[97:13.280] 再贵的那会锁上了是吗？对我啥也
[97:17.170] 不是现在。
[97:18.280] 在那边。
[97:20.480] 可以。
[97:21.670] 对这手机我得去变一下，您说刚才说。
[97:26.000] 你看一下这给我们了，对，你再填一下。
[97:29.930] 对客户。
[97:33.270] 微信支付宝都得看那个对。
[97:35.170] 刷卡费用吗？
[97:37.620] 这两张刷卡调车这一楼没有。
[97:40.420] 复印机了，有12楼厅1楼。
[97:43.430] 那是对这是服务公约，咱所有的东西对都是明码标价，公开透明的推荐渠道都是清晰公示的。
[97:53.060] 听一下这篇是先锋。
[97:56.560] 这编号就上面我也帮平台，我就给他放血。
[97:59.900] 签字，然后是不是您写bug或者他写你签字就行行。
[98:07.060] 本人就写的名字行。
[98:11.110] 他着急后来
[98:12.500] 先写这一个有效。
[98:16.690] 你看
[98:17.650] 回来了，我不知道写哪个车我就都行了，你8035在哪？3035。
[98:22.210] 什么803这是什么这块写微信的名字，你用不用微信的支付的吗？写下您的微信名字不写给找就行了吗？还银行卡号是啥就绑在哪个银行卡绑，那你就不是谁让你
[98:36.630] 两栖你名下的银行卡就行了，用电还有两个7，
[98:41.020] 银行卡我觉得打电话支付上微信
[98:45.400] 关联银行卡号是哪个？
[98:50.040] 行，我在这儿等您。
[98:53.180] 好。
[98:56.170] 这是他名字和身份证号找。
[99:00.760] 看看。
[99:01.920] 周强妞比吗？就用一下国家
[99:05.380] 正常。
[99:06.310] 好。
[99:07.490] 没事。
[99:11.890] 随着要支付款项写
[99:14.880] 付款支付款项为。
[99:17.460] 什么支付款项11万元。
[99:23.310] 万元。
[99:24.680] 行，然后我在这自修日期，
[99:33.160] 一会回去给
[99:40.960] 然后终于找到了。
[99:42.480] 185201. 
[99:45.440] 6909支付宝账号。
[99:48.230] 奥。
[99:48.830] 啥知道吧？不用写了，不写就不写微信了吗？92是吗？52016909。
[99:54.640] 011663395. 
[99:58.360] 可以。
[100:00.910] 对3000里面。
[100:17.640] 明天都不好。
[100:19.940] 别这个
[100:22.590] 晚上
[100:23.570] 在网上
[100:24.740] 在这开。
[100:31.510] 北京市今年
[100:35.750] 要
[100:36.760] 和
[100:38.760] 您还坐着。
[100:39.430] 边吗？不是。
[100:46.500] 不住眼睛不适，
[100:48.930] 我闲着。
[100:50.670] 我这上面记录，当时我们客服给你打电话，会给您现在的数据。
[100:54.400] 以后方便什么寄东西。
[100:56.900] 对是。
[100:59.720] 你们俩就直接填一个。
[101:02.870] 现在。
[101:04.140] 不行就得跟身份证符说。
[101:06.350] 活动怎么拿差不多是。
[101:10.770] 二。
[101:12.240] 三
[101:13.280] 二
[101:16.430] 35。
[101:19.050] 对，二号那个车你能收到吗？
[101:24.050] 好像是月底月初钱没到。
[101:27.500] 月底月初能到。
[101:28.800] 新鲜到了最新的车道，
[101:35.010] 明天下午我们把。
[101:36.090] 车开过来。
[101:37.160] 行几点之前？
[101:38.570] 5:30。
[101:39.490] 之前都行是二手车。
[101:42.600] 我二哥反正就是您越早他
[101:45.840] 我没用问你说不合适是吧哥这就。
[101:48.790] 就坐着了，然后直接办理过户的话，您上午来合适。
[101:53.210] 我上午来不了。
[101:54.660] 您下午来下午几点方便接下来就行了，然后这边的话他就会到时候给您出个价格，您稍得稍微多等几分钟。
[102:01.280] 好好。
[102:09.910] 今天了。
[102:11.160] 明天他俩成了。
[102:16.850] 对了，这远吗？
[102:20.280] 你中午过来吗？
[102:22.430] 我跟你过了，反正开车电动开了，帮我上去去复印一下您的身份证，然后一会把收据给您，我再带您看一眼300兆一样OK了，这个合同给您一份。
[102:33.410] 下周一周能拿出来吗？
[102:35.900] 下周一先从一周的时间能拿到车了，差不多对那车车架号都已经出来了，所以说就很快了，我上来充电。
[102:43.950] 他打印过报价，但送达不过不少充满了。
[102:54.200] 你要不要？
[102:57.490] 为什么还？
[102:58.580] 咖啡。
[103:01.030] 对，
[103:05.790] 数据
[103:06.970] 远远
[103:09.010] 的
[103:14.730] 远。
[103:17.770] 坏。
[103:20.910] 的
[103:47.880] 中国
[103:48.690] 东北的
[103:51.270] 第二
[104:27.720] 8月份。
[104:32.610] 这样子。
[104:41.830] 还没有。
[104:42.720] 对的。
[104:49.410] 明天两天。
[104:51.810] 也。
[104:52.800] 要处理
[104:56.670] 到
[104:58.330] 要。
[104:59.260] 要求。
[105:00.570] 让那些谁知
[105:04.640] 以及交流，
[105:06.510] 在的建议这个行业
[105:09.400] 没有意见，对11这样
[105:14.030] 那么在这个平台要的还有
[105:19.350] 有什么样？
[105:22.280] 可以说而
[105:23.720] 这样
[105:24.380] 在1921
[105:27.660] 要把
[105:28.640] 的。
[105:32.090] 的。
[105:34.040] 现在就有一个是女方，
[105:36.120] 你甭想了。
[105:37.410] 太大还说他少少给他点钱，这回你开一大奔驰还能少给人家钱，
[105:44.020] 我就没打算上，我也打算不能少给我，还想多给他点。
[105:48.700] 一1一分是1。
[105:51.290] 不是我的，剩下的人家谁谁的就是谁的，不是。
[105:56.910] 你刚才那个讲他花多少钱他的事对。
[106:06.450] 我当时也这么想，咱俩想到一块
[106:12.230] 的
[106:13.590] 钱。
[106:16.550] 快快
[106:21.560] 远
[106:24.010] 的。
[106:31.470] 有钱必须
[106:34.120] 梅花我觉得没花多少钱的正确。
[106:41.910] 专业
[106:50.330] 的
[106:52.280] 数据
[106:54.430] 的
[106:56.330] 数据
[107:02.080] 一
[107:04.580] 数据
[107:05.730] 场。
[107:07.770] 坏
[107:13.510] 了。
[107:19.130] 的
[107:21.450] 一个人
[107:24.640] 都得
[107:31.360] 钱。
[107:32.870] 数据
[107:34.830] 烧
[107:35.600] 大。
[107:39.790] 身份证您。
[107:42.770] 然后数据和
[107:45.950] 对。
[107:48.250] 然后看。
[107:51.410] 场。
[107:56.060] 点。
[108:01.400] 因为我们超验车从验收。
[108:04.360] 对，其实愁也得下周了，钱都交。
[108:08.100] 不想抽。
[108:10.290] 40万你不交1万，
[108:37.470] 拿着走。
[108:39.470] 了
[108:41.200] 喝。
[108:44.710] 可坏了。
[108:46.040] 咱快去喝点水，一会一会喝水的都下班了。
[108:59.020] 这车100多万吗？对，头100多万，这是1,038,000。
[109:03.580] 看着真好大。
[109:05.690] 特别大，走的先喝水，我还等一会喝水下班那小孩干嘛？
[109:11.370] 下班我正好拿着钥匙的。
[109:31.000] 明天可以，你明天什么时候来？
[109:48.520] 对，没关系，你们喝水我拿车钥匙听。
[109:56.430] 没有要拿的东西。
[110:08.160] 待会我看一眼车，我试驾。
[110:12.210] 昨天
[110:15.050] 早上去那还钥匙，等会稍等，你可能你。
[110:19.540] 对我没有写，因为那会我去看二手车了。
[110:24.240] 我这有时间看一下。
[110:27.160] 好像就没有其他。
[110:30.890] 在哪能看见我几点开始，我已经是5点开始。
[110:34.770] 你在哪呢？
[110:48.560] 不知道。
[110:50.060] 蘑菇。
[110:51.120] 你带客户试驾的。
[110:52.430] 吃完了。
[111:02.160] 五花马什么样7月25这么不要脸了不？
[111:05.920] 不能告诉你们好尴尬就行了。
[111:10.270] 写了点尴尬结束一下。
[111:14.820] 直接结束就行，是不是？
[111:17.500] 结束的是事假，我这么这能不能先把车就先把试驾结束了？
[111:23.130] 行行先生您看看，然后有事有什么可以叫我，然后我先给你约个名片是一倍。
[111:32.680] 不能喝完水。
[111:33.680] 好。
[111:36.030] 你要那样做吗？你知道我那为什么吗？
[111:40.040] 客户卖
[111:41.750] 就买完了过来帮我洗车卡在车里给我写一下。
[111:45.280] 把我知道你现在是咱们没有热了，我今天看到朋友圈
[111:49.800] 要是看了不想让是吧？你要便宜点吗？
[111:54.200] 也就3800还是5000？
[111:56.760] 忘了什么这样以上，我看到你
[112:01.720] 的
[112:05.810] 场
[112:12.200] 的
[112:21.680] 多少？
[112:24.520] 这个也可以。
[112:26.420] 后来免费几百块钱，这个是老款的，这个是plc300岁顶配的豪华的，
[112:34.170] 豪华版的跟300动感的轮毂不一样。
[112:38.150] 对。
[112:41.940] 就轮毂不一样，对，跟我不一样。
[112:44.450] 剩下都是一样。
[112:48.460] 对，然后
[112:50.280] 哪个？
[112:51.270] 有。
[112:54.100] 就跟这一样是吗？跟这一样。
[112:58.860] 但是你看这个车多丑，他试驾车配的就这种拉丝的，他这应该是AMD版的，是这种拉丝的，
[113:05.290] 咱那是木耳的，所以说你是跟这SER6R0豪华是一样的，
[113:09.370] 那个里边颜色是什么样的，东的、200豪华的棕色的，
[113:14.750] 看看我给你拿钥匙应该是棕的。
[113:21.610] 花。
[113:25.310] 内饰的颜色是棕色的，是然后这个位置都是木纹的，是跟试驾车是一样的，我看看那个
[113:32.450] 试驾车的都是木儿的。
[113:49.750] 对，你要是开这肯定是300的，开着更好一些，动力会更好一些，因为它的发动机也不一样。
[114:00.440] 你也可以是300，300的话咱们是别的车限行是这LC的也是300的也可以。
[114:07.370] 30。
[114:09.760] 我拿的这LC的车钥匙带客户看一眼。
[114:13.970] 时尚的。
[114:36.240] 看一眼这个背景。
[114:38.970] 这是老款的轮毂什么的都不一样，这车应该不是新的，对老款的轮毂，然后里边那是
[114:45.810] 这种的也然后他应该是AAB版的那种最高配的，反正不太一样。
[114:51.160] 都是进口的。
[114:53.240] 这个是红宝石黑，所以说他那是配的是黑色的。
[114:57.110] 这是黑色的，这是不是这个是红宝石色？
[115:01.080] 内饰是黑色的。
[115:02.940] 好紫色，对。
[115:05.210] 别买这种颜色不保值。
[115:07.700] 不保值，别别说这种颜色挺咱有什么说什么，
[115:11.830] 而且你两个侧风机都不好看，这是黑内饰的，咱们黑车配的都是生命是。
[115:18.800] 东内是的。
[115:20.710] 都没事的，我不知道前面那个车是不是
[115:23.210] 蓝色的是这样。
[115:25.250] 试驾的是。
[115:28.360] 试驾的是对。
[115:29.870] 你这个位置都跟这车是一模一样的。
[115:33.120] 这个位置
[115:34.760] 都是木儿的这位置全都是木纹的，座椅颜色不一样，座椅是这不是黑的吗？那个是棕的。
[115:43.770] 摩尔显得高档一些。
[115:47.870] 松的。
[115:49.420] 看看那展车是不是吧，现在最后的希望展车了，他说踏板称
[115:54.540] 快板痛疼，下次我不就跟你说了吗？
[116:01.580] 他们上面这痛腿都要。
[116:04.300] 对，反正有踏板好看，对特别好看高档。
[116:07.880] 对，我看完好看，但是他们确实痛悔，下次咱不都是了吗？我说我刚才说
[116:14.220] 普通裤子没事白裤子麻烦了，还有一个下雨天麻烦的就这两块，对那怎么办？
[116:20.930] 没怎么办就那样，还要60号蓝色。
[116:23.950] 不用。
[116:25.310] 不用。
[116:28.470] 来看看这展车是不是松了。
[116:32.570] 刚才砸
[116:35.120] 他东也不是那种浅洞，都是那种咖啡。
[116:40.060] 是不是黑色配一般都在托，全都是配送的一样的，
[116:48.120] 所以说就买大众的标配。
[116:49.980] 不先看看
[116:51.360] 电话装机吗？
[116:52.800] 又关门了。
[116:55.680] 阳哥。
[116:56.880] 那天
[116:59.020] 放空厦门自己，
[117:04.000] 穿
[117:04.840] 一下代班是吧？
[117:06.530] 他叫正常的疫情期间就开一个门。
[117:09.100] 这样
[117:18.400] 这个不行，这是东的，这是红的，前面都是满天星，既然你看不到了，
[117:23.630] 这不是是棕色的，这红的就是红的，
[117:27.640] 可是红的黑色的，
[117:30.070] 咖啡中的好，早晚也没啥好看。
[117:32.560] 他对没看见，因为
[117:35.860] 那个车上次您来好像放的是
[117:38.690] D那次您来套的就是公的。
[117:41.380] 冲娜娜次来，您放的是棕色的。
[117:44.720] 对，那个车卖了，然后又开了一个进来。
[117:47.440] 对，那次您来看粽子。
[117:49.440] 算了甭管了，反正就是那种棕色的，她非洲真的是对的比较好，怕黑车公认是最重点的，还没做。
[117:57.390] 佳木文也好看，对，那就是就怕晚的事儿我三开着吗？
[118:02.790] 你扫个二维码从这边走，扫个二维码然后停车。
[118:07.210] 没事。
[118:08.600] 那就买了。
[118:10.180] 咱们这干嘛，您几点去明天再进来，我的。
[118:14.180] 您几点进来的歌？
[118:15.610] 我都
[118:16.520] 我看看您直接给我打3.8。
[118:18.770] 那行好这个行。
[118:20.530] 你这还有一个。
[118:21.980] 不是我就这边没有全免的，我就怕你超过三点，我给你3点多。
[118:26.720] 3:11。
[118:29.260] 就去
[118:35.400] 33。
[118:37.160] 30号。
[118:38.990] OK。
[118:41.520] 这块应该是卖了。
[118:43.700] 对开车感谢了。
[118:46.570] 这是因为卖不掉了，卖了开始对卖就开出去了。
[118:53.310] 因为库里没有了不得，有的话就不开展车，因为开弄个转车特别麻烦。
[118:59.690] 车停哪了？
[119:00.820] 哥哥那边行，您慢点儿哥，然后到时候咱们我一会加您微信格式手机号吗？好行，闹事添加你有什么事在微信头疼慢点点。
[119:10.220] 慢点慢走，拜拜。
[119:12.100] bye bye。
[119:29.640] 以前买的试驾车一直都没回来，他客户车在售后维修，
[119:34.410] 然后这是售后借走了给客户的一个代步车，所以说得等到他那个车修完了才能回来。
[119:39.780] 这个字好不好跟您说。
[119:42.070] 要不您去试试这SE他们的动力是一样的。
[119:50.370] 的。
[119:52.130] 行。
[119:56.060] 长城等鹏程。
[119:58.050] 您同意吗？
[120:37.280] 场。
[121:46.720] 数据
[121:51.110] 数据
[121:59.830] 数据。
[122:03.930] 场。
[122:24.090] 远场
[122:29.170] 10点的这样。
[122:30.830] 下午几点，您看看您时间。
[122:37.390] 三四点钟行，但是如果说您来之前的话要有车的话，有人税价咱还得稍微等几分钟行吗？
[122:45.850] 不会等太久。
[122:48.050] 半个小时。
[122:50.860] 行，明天下午三四点钟您过来，然后您是哪个车都行，这LC也可以，这样C300也可以，他跟一的动力是一样的。
[123:04.360] LC300是这S300，
[123:07.920] 它跟发动机都是一样的，行吧？
[123:12.070] 那就明天下午三四点钟您过来。
[123:15.870] 那也行没事，你要想是你两个都可以试试也行。
[123:19.890] 行勒好勒，明天下午。
[123:23.140] 有，我今天订了两个车，定了一个GLCJ lb，然后同事订了好几个亿，也都有优惠，优惠的还挺多的，一会明天来我给你算算。
[123:33.590] 给你算个一三百行。
[123:36.210] 好了，明天见再见。
[123:40.710] 件
[123:43.550] 数据
[123:46.400] 场。
[123:48.270] 场场
[123:57.640] 场
[124:09.970] 场
[124:13.520] 场
[124:17.720] 场
[124:51.210] 吗？
[124:52.440] 完了
[124:54.600] 准备加客户加钱，
[125:04.210] 回去试点范围衬托着什么？
[125:10.270] 微信。
[125:11.640] 微信咋了？
[125:15.550] 有一个整体
[125:21.810] 数据化。
[125:23.960] 说
[125:25.950] 闯
[125:27.420] 加油。
[125:30.780] 加油。
[125:34.520] 我姐帮我分我点个小小心得了。
[125:38.720] 很多人分为
[125:41.780] 行的张扬，
[125:46.750] 刚
[125:48.320] 我再找一张。
[125:51.970] 我怎么找不着那个。
[125:55.330] 你别发错了。
[125:56.880] 画几个哭的表情，
[125:58.830] 别哭快要疯掉。
[126:01.910] 对这块不能问一下。
[126:05.580] 在我医疗设备
[126:07.680] 是吗？
[126:08.560] 送到。
[126:09.700] 从买什么色的，
[126:11.510] 在我意料之中，在意料之外，真的在我要之中，
[126:19.400] 都不能。
[126:24.170] 然后反正在下面
[126:29.320] 我都不知道我发啥了，
[126:31.580] 我找不着我想要的表情，
[126:34.470] 你给我拍个照给我发进去。
[126:37.520] 行行你知道吗？
[126:40.270] 因为它有着需求，他想在店内做装饰。
[126:44.970] 对，他是想他电影做工是，但是他就行，超过他预算了，那就跟他说。
[126:52.630] 我说有。
[126:53.820] 对昨天快点，我说让你做维护便宜，我再给你打个7折，我说你不差一你我不要你，
[127:01.230] 我微博我给你打7折没问题，发机最低给你打8折。
[127:04.720] 然后完了他说没有去格，正好我说很简单顶级，
[127:09.790] 我说我再给你打65折都行。
[127:12.080] 等
[127:13.060] 转了100块1万块钱，
[127:14.740] 我说你重买上1万，我说今天姐在晒，再热还有孩子，
[127:19.030] 可能下来也是这么回事，
[127:22.010] 回家反正别再反应过来。
[127:24.140] 我估计他也不会了，他那男的是认可这摩的。
[127:28.360] 这两个人互相什么夫妻俩感情特别好，
[127:31.640] 因为放在离了，
[127:33.420] 他俩感情特别好，这女的都想，可是这男的
[127:36.710] 这男的也想，可能这女的对这男的想对女的好着你的小队男的好，
[127:46.570] 不是孩子都初三了，
[127:48.560] 这俩人感情特别好。
[127:52.380] 那男的还比较依赖这女的，就是什么都想问，这女的也比较尊重他老公，还比较什么也都可她老公金融对就那种感觉。
[128:01.400] 两个都不一样的那种感觉。
[128:06.670] 她想给她最好的，那男的觉得290就行，这女的就知道这男的想要300，然后你说也就380什么的。
