[00:00.500] 631、梁羽生。
[160:26.280] 因为我们到时候他们都看了一下预算的表，
[160:32.370] 你看一下，
[160:33.260] 差不多可能会在保险上这那点这肯定
[160:38.260] 套的这些东西。
[160:40.110] 对我看着等等，反正就核对一下，因为确实按照您说的，
[160:46.210] 他拉不下，你看一下没事。
[160:48.360] 的价格其实不太对，你看着你员工不差了，你觉得20万1 100多，咱还差了50块钱，
[160:54.860] 对吧？
[160:55.300] 5000多块钱这差到哪了？
[160:57.270] 对不对？
[160:59.180] 就是这样的这一步一步一步没别的费用，1234家一起一个300这不错。
[161:05.070] 谁知
[161:06.390] 保险不能在急，就在D这是标配。
[161:09.260] 对你因为投影亲切不才能去改变。
[161:12.260] 有好多个B选项必须把
[161:29.610] 先给你是不是节目，
[161:32.370] 最起码
[161:39.520] 的带入小龙虾必须有的，
[161:41.390] 必须得走。
[161:43.110] 但是你就是这个桌子那傻，你要把盖子舔过去了，我就祝你门口还要不你再不写了，
[161:51.840] 我就走着就回家了。
[161:57.190] 了，反正也中了不对。
[161:59.720] 写的必须的，他是必须他现在把这钱不是剪掉了这么一了，2006这必须得上你聊天包厢，他不管哪个是必须的，你总数在哪里对我不是你他把这个朋友这个时候
[162:18.040] 很多这个是吧，然后都觉得多余的他就给减一点，我这儿别说干活看了，我也走了，就练琴我就能看见这个钱，
[162:27.600] 别的我一套魔这里我也
[162:29.800] 确实有点高。
[162:31.220] 不行对吧？
[162:32.210] 最后我觉得这几天说实话人家也挺闹心的，又想别的有像模像样。
[162:41.920] 我里面的
[162:42.920] 也是4S店，认筹选S店。
[162:48.290] 好。
[162:49.610] 好勒好好，这样，因为当时就看你小伙子挺什么的，我就说
[162:55.680] 这一个星期病变闹心了，
[163:00.770] 反正你就怎么给我凑这钱就
[163:03.520] 就行了。
[163:08.560] 不行了。
[163:09.560] 往往我们不想要是赶上不行，我们就不用沙子，不瞎折腾了。
[163:18.250] 而且我们你这也在买，在女儿上楼也好，
[163:23.240] 对吧？然后就可以这折腾了，然后给你作为参考，然后他要是杭州市的话是二十三九的是吧？
[163:37.490] 8000。
[163:38.490] 8000的话231,000就231,000，谁知
[163:43.300] 我就成就我就没有什么摩尔的事儿，您这个点我是这个的。
[163:48.860] 如果说没有
[163:50.920] 我不是你家店，我这个都认识。
[163:54.100] 然后是你按照测算8000 5180块钱钱下来才能
[164:00.110] 反正就是所有的东西二十三五千
[164:05.890] 一定是三还是钱，现在一家都你知道关键是对我们来说，其实这些问题都附加都是可以可口的，但是确实钱下来是23。
[164:15.730] 5000我有什么说什么，因为咱们就总结商店是吧？这事儿所以我还带代表在过程中协商这一块，现在他给您
[164:25.070] 我开始我说
[164:28.120] 咱一下协商，这是我。
[164:46.600] 稍微您正您没来。
[164:47.960] 对他没变心一点。
[164:55.550] 那就是离这近就这样。
[164:57.360] 指标上那边弄，你跟他说了吗？
[165:01.270] 了。
[165:02.910] 主要是他这边他什么时候回来？
[165:05.960] 还没听把这回来。
[165:08.410] 就办。
[165:10.100] 对他不行，哪些？
[165:12.060] 你们身份在他手里吗？
[165:19.840] 不，咱
[165:21.670] 金融还没批下来，而且的话你先不上班贷款不说利息特别低。
[165:28.340] 超过过去对那两年两年3000多的例子，还可以觉得海信
[165:34.980] 我买的180。
[165:36.540] 是逃避吗？对，然后我说之前听说开过，对。
[165:41.630] 他们就觉得开着还行。
[165:44.210] 在你们这儿都没有。
[165:46.760] 180高配版。
[165:49.350] 然后他们。
[165:51.440] 还说200。
[165:52.590] 180现在是没有荧光，比如说有些快乐对我买的时候还是有。
[165:57.530] 现在没
[165:59.170] 我们买的早，
[166:01.830] 比如说过去可以
[166:03.050] 是。
[166:04.920] 而且你这颗
[166:07.950] 跟申请
[166:09.300] 第一次没关系，没有放心真是没关系，人家都封死了，怎么了别。
[166:15.090] 没问题。
[166:18.030] 对，不是邻居有关系的。
[166:39.000] 肯定在这。
[166:40.150] 也没用的。
[166:41.430] 他现在有两个人要逮捕，车险本身金乡里面明天下午的车。
[166:46.380] 我们在我们这收过车吗？没有给，我们我是在你这赔了。
[166:51.830] 第一次保养我买票看不见他，不是在你这儿买的，单单在你这做过一次保养，真的就坐车那张王牌给做的。
[167:01.890] 上班对我说有信息吗？
[168:12.120] 干这件。
[168:22.290] 说是我当时跟你说了，有的车型他不贴息那么多，咱那些
[168:26.990] 奔驰给贴息了，然后客户可以享受这么个情况。
[168:31.380] 然后我刚才算了一下，我们现在
[168:34.240] 一下完了就同样的保险，
[168:36.410] 然后工作
[168:38.520] 我要交的费用，就你文化说他说什么上牌700元你都不说了，你看总共价格多少钱？
[168:44.570] 重量。
[168:45.400] 把可能的电控原理淘气掉，
[168:48.540] 没有用了，全下来是23万千万，
[168:52.560] 零9000一便宜1800万1000万今天
[168:56.240] 我算的价格
[168:58.040] 做它是包括了他贴膜和的，包括天王次就给我算的这件，你还给我算一下。
[169:06.660] 给您这不是第一个就是完事以后，你这20万以后，你第一这边就是这件吗？
[169:14.550] 我就全减完以后怎么算这个价格，我先说的首先
[169:20.760] 您去个
[169:21.810] 创车从下来价格我们家
[169:24.180] 到底交流张甜一点点一对多100块钱，
[169:27.040] 甜一点。
[169:27.860] 确实是的，甜一点。
[169:29.730] 其次
[169:30.880] 这个价格里面是包含了代理车险这个钱，
[169:35.710] 我们让
[169:37.000] 花这个钱，
[169:38.620] 而这个钱
[169:39.860] 其实我们送的
[169:42.170] 我不知道这个有没有效果。
[169:43.880] 看着没错，他们只是要单调一份这个钱里头是包括的加了。
[169:50.350] 这为什么写个减1500 1030万就是1500，
[169:54.710] 这儿写一篇这家1500之间下午所以没发钱，但是东西平和。
[169:58.840] 然后我就可以说我说这合适，而且的话我可以说到交割的时候，我们进入能力
[170:05.410] 去再给你找着心里，因为其实车已经到很便宜了，我就可能因为你找不着，你刚才又说了你能找出一些东西，他们看他们
[170:13.920] 可能没理解，不因为也没买是吧？对，他以为是单交了1400多，就是
[170:21.450] 一般都得做，不是你这手术跟我的总之就差。
[170:26.850] 为什么不考虑这个？
[170:29.790] 你听我说，但是他是有我知道他的意思就是说
[170:35.490] 它这个数是你这个的。
[170:37.860] 你
[170:38.760] 你知道吗？是他也不告诉你是你的，他是没给你加进去的，
[170:44.390] 他只给你都加进去了，明白吗？你要把它这个跑出去那就
[170:49.580] 不用了。
[170:50.790] 他这个对意思就是你。
[170:53.310] 不是咱也减，咱也讲就是7980 8000万元，同时咱们比提高重点67980他给你报的就是他们
[171:03.000] 他报的跟你跟他这个不对，
[171:05.200] 你忍吗？你知道吗？这7980算什么？你要给我减去了，我自己出去，
[171:11.150] 我旁边，所以他就把这也给你了，可以就把这个就行了，我就给您减7980，
[171:17.400] 别对点7580那钱明显对这9.8798009.1个。
[171:22.910] 三天行行，就是2342002472013。
[171:29.720] 您20 22，我看20 292。
[171:34.200] 然后在这个基础上，
[171:36.460] 我跟我联系，就我说话还是我既然说不去了，这我们就是说的能做到的，我尽我能力啥功能跟大家说了没有，不会说是一个钥匙链，一个三那太简单了，打脸了。
[171:49.560] 然后就这样，
[171:51.770] 您知道吗？这就是因为我们俩他可能没有理解就是你
[171:59.850] 因为
[172:00.690] 是什么意思，喊什么含义？
[172:04.350] 他豹子是没有这些的，
[172:06.900] 把这些孩子等你看，他说他好了以后跟他你才能跟他说，
[172:13.160] 说你觉得说
[172:14.840] 系摹咱们要是觉得膜什么的
[172:17.380] 粘贴或者怎么样。
[172:19.100] 技术我就不是说
[172:21.630] 记录仪，我个人觉得还是要记录仪多少。
[172:26.490] 这个电池意思叫隐藏，就是外面也
[172:30.260] 买到了一个基本也能了解市场吗？
[172:33.060] 一种前一条三四百四十，对什么兵朋友都了，
[172:38.610] 一个相机上头沾到玻璃上，他有个限有导电，一根线上看到你的电气
[172:44.640] 电源，
[172:45.650] 就这样。
[172:46.460] 好，这是一种
[172:47.460] 首先比较威权稍微好一点，还有那种挂到后遗症状。
[172:51.550] 本身是个镜子，我在淘一个带屏幕的，您就是较小的那种
[172:57.000] 他
[172:58.000] 本身法官没有后续并对微信号
[173:01.540] 完了放上去以后就平了，不能看了，盖上被子
[173:05.670] 是没有在外边看，对，你看不出来就是上头，而且车内话不会差你点水点击数应急电源，
[173:12.950] 然后应该就舅舅家的都包括法庭内，对，你要是说就没有
[173:19.310] 花钱，对，8000里头包括贴和颜色记录，
[173:24.750] 然后还有他说那些职责酒店相见是都没有，如果你不洗你觉得没必要，他不喜欢，
[173:32.350] 就可以把这个条件
[173:35.170] 如果你觉得说
[173:37.490] 又怎么样？
[173:42.480] 你们
[173:43.900] 如果我装的话，装以前他得马上
[173:48.100] 138 3800，你新华新我都会了。
[173:52.730] 了医院黄花你知道3000。
[173:56.730] 哪个？
[173:58.630] 如果在
[174:01.520] 你原来还有
[174:03.630] 原来是
[174:07.000] 有密码。
[174:07.980] 是的。
[174:11.350] 你是卖出的，但是你
[174:13.680] 谁知
[174:15.190] 这东西他是这样，就说你可以不切这人这天中档的或者是吗差一点。
[174:22.730] 他这种毛就是说隔紫外线
[174:25.970] 和热河奇摩很大措辞是隔热和保健，你们
[174:30.440] 明显地感觉到没有那么热。
[174:33.300] 二的话主要现在是你长时间模式照射非常突出的，
[174:36.960] 是你能保证多少贴的是最好的，我能保证这是这概念。
[174:41.450] 代表天
[174:42.740] 再见一种反复什么？所有的面膜好多用无形空间，
[174:46.510] 摩擦怎么摸，还有归看不见的灰，贴完以后花几块。
[174:51.590] 如果说爱说咱们车主泡了，吃完以后
[174:55.220] 过一段时间
[174:56.680] 还有一块开过来免费的手机在登了。
[175:00.070] 这质保是有的，细胞都是有的，然后您开过来都没问题，去换颜色危险。
[175:06.230] 首先色彩在晚间的
[175:07.720] 互联网都可以了。
[175:09.770] 然后我们主要还有一点就是说我们后续的一些保养维修的这些
[175:15.670] 能不能给我们
[175:16.900] 办的什么折扣卡，店里没有折扣，
[175:20.820] 电脑没有输入法，如果说你自然进店或其他店购买的车险才能查到的，就给你按照正常的价格去做。
[175:27.670] 你应该去做，因为其实在那有没有主要是那时候
[175:31.520] 对，你如果不建议购买了，基本上都是按照应该自己去做。
[175:34.530] 如果你店里购买的车型就相当于是建立一个类似的会员，
[175:38.880] 这样的悲剧你得扣，如果认识人打招呼的话，你可能讨厌折扣，这样不会让你做乱七八糟的事情。
[175:45.210] 明白了，大概我
[175:46.560] 要如果在你
[175:48.080] 肯定在你这买卖点修，问一下保养我们能不能有别的的。
[175:53.510] 我就给您直接问。
[175:56.990] 对，因为你看
[175:58.730] 我们就是说咱们也那什么在你这买肯定也跟你们
[176:03.480] 对吧？咱们有一条线，最多把这事儿都办了就完了，咱说好了就踏实了。
[176:09.900] 是吧？忙问个事彭先生，
[176:12.450] 你第200的话，现在A保存多少钱？
[176:17.310] 正常价电价。
[176:23.170] 有，
[176:28.110] 然后
[176:29.920] 我把
[176:31.880] 主要折扣了。
[176:39.620] 低保。
[176:41.950] 有些地方。
[176:54.870] 行，到时候您给我。
[176:56.480] 我然后拉个群。
[176:58.640] 然后我跟你说一下，
[177:00.000] 都按
[177:02.540] 好的。
[177:07.690] 行好了。
[177:15.020] A保养，
[177:15.960] 就是说原价1017，
[177:18.380] B保养大概2000辆，
[177:20.840] 如果在这短得扣A保养花几百块钱，
[177:24.550] 原来收入400多块钱是吧？
[177:26.940] 折多少钱？
[177:28.280] 第二B保养人家两千一二的。
[177:30.990] 一千二三百
[177:35.480] 给你上海市我用。
[177:37.340] 是在您的
[177:39.400] 保养。
[177:40.320] 让他们你可以买套餐，对。
[177:42.460] 对。
[177:43.480] 不管他也行，或者你们直接让你吃一次，
[177:54.360] 一家
[177:55.660] 安定定价，
[177:58.370] 当你找人都给你准备，
[177:59.860] 我跟你说走就往里面用，在房子应该吃多少钱，对不对？
[178:05.230] 因为这种属于
[178:06.610] 我们要有NPC前期平台，根据ct车型保养的话，就没有自己的包袱，
[178:12.740] 可以做很多广告，
[178:14.510] 只要你要放家的幸福比较高一点，
[178:17.740] 30包就更加跟咱们
[178:20.670] 吴昕那边商量商量。
[178:22.440] 不用。
[178:23.790] 比如说我们话筒说说什么的给我们俩，然后做绞尽脑汁
[178:30.040] 也可能可以。
[178:31.220] 对吧？就是说如果你换的时候也我
[178:35.620] 我买比如说我换东西能不能有
[178:39.030] 也有房款，因为有地方买东西对他
[178:42.200] 跟维修的折扣不一样，对不对？
[178:46.970] 你帮你收多少钱？
[178:50.150] 也是550 450的样子。
[178:54.210] 差不多。
[179:00.840] 其实你扣素的这要晚修还是保养？
[179:04.160] 我们要一个固定，
[179:09.950] 你得忙这个
[179:11.830] 王。
[179:13.080] 我没有。
[179:14.680] 你可以。
[179:17.320] 当然可以。
[179:20.430] 了
[179:22.320] 这样
[179:32.320] 韩总。
[179:33.160] 麻烦你们是律师，一般都是。
[179:36.520] 他们有多少钱？
[179:45.720] 说完了说
[180:11.800] 他在这
[180:12.820] 办公都能也会现在就固定的，我现在规定。
[180:16.600] 固定。
[180:23.440] 就在这边在现在没法休息。
[180:25.870] 跟他商量。
[180:27.390] 题目肯定在这，您应该争取。
[180:30.570] 到时候稍后您同意垃圾上
[180:35.120] 找我找他都行。
[180:36.640] 而且你保险
[180:39.950] 今天37
[180:41.120] 先算我觉得
[180:42.940] 我多少钱多长时间发现这就是我上多少是多少效果说6
[180:50.950] 三者是50万100万，
[180:52.640] 现在能做280。
[180:54.110] 我理解。
[180:55.610] 因为现在银行涨
[180:57.320] 160了，
[180:58.150] 是吧？
[181:05.440] 好像说今年平安的动作吗？
[181:08.160] 他跟4S店吹的好合作的，
[181:11.080] 都是大部分公司没有什么员工，咱们都没有那不好理赔。
[181:15.080] 保险风险。
[181:16.310] 因为现在的话保200万很多，因为100万200万的，你看这差100万保额，其实价格就差。
[181:24.630] 你是100的话就可以了，你的产品
[181:27.960] 也可以，我不上保险不能有你不让保险这肯定管不上，保险不行，就是你在
[181:34.990] 你可以单买保险，但是保险要高，你可以比选中
[181:39.330] 选择一种选择，但是要在你这儿买，这是在这，如果不代表没法办分期这怎么办？
[181:47.030] 就让肯定你如果全款你就可以自己买到了吗？
[181:52.360] 所以这个行程你要知道他
[181:58.050] 感觉后续的
[181:59.520] 因为
[182:00.530] 这肯定是尽量咱们就在这解决问题，把后面的事儿，然后肯定因为一直近的要办好了，就一块就都尽了，你得理不开，你离这么近。
[182:12.930] 什么用意？
[182:14.050] 咱们都把这事儿都做在前面，不是后边省心了对吧？省得到时候都弄完了，再来找店家，美国银行好处。
[182:21.830] 店面保险
[182:23.380] 能不能走这种刚刚
[182:25.720] 而且没有现场的话可以帮去尽量帮您处理，你在哪修干啥，对基本上在哪保留，就这样说，当时买车就是不能条记录，不能给你销售合适的价格，你在这做保险同样
[182:38.430] 他既然是A上着保险，天猫公司有关公司不见了，但是对于修车的话退休第一时间负责，
[182:45.150] 比如说工伤事故了，
[182:47.000] 包括推动这种维修争取到，因为你在这块保险
[182:51.250] 有可能就是说你修车保险公司赔钱，
[182:54.340] 但是
[182:55.240] 这店赚钱赚公司的钱，
[182:58.130] 您不花钱，
[182:59.540] 这就是一个关系链。
[183:02.270] 就这样。
[183:03.200] 然后店里帮您就好好处理这事情，店里赚的钱就光公司赔付的零部件的。
[183:08.990] 但您不花钱没错，您拿钱就是保工资，其实变了很大的一些，比如说售后
[183:14.260] 是一个店，你看你要在
[183:17.960] 看看哪一块，如果你自己买，
[183:21.320] 的好处就是你可能保险业务员他会考虑一点点，
[183:25.870] 但是可能不是我这先说就是说
[183:30.860] 他可能会给你
[183:32.590] 坚强险不复发。
[183:34.960] 商业
[183:36.080] 反正他讲了，
[183:37.670] 就是说但是如果你有单独业务员给你做的保险，
[183:43.310] 然后但是修股份真的有问题的话，
[183:46.700] 比较麻烦，反正跟电没关系，对，因为干枣差他咱到哪了离婚，没装回来我就买进，我说自己一你在网上几百G手机
[183:57.710] 我自己安装好了，完了给你说一下什么问题，你们查不能影响。
[184:02.340] 店里就没有给您保了，您一自己加装或者外面厂家装的直接找了。
[184:08.930] 一切都找到了，对。
[184:10.970] 是。
[184:12.160] 是不是那次连记录仪在车载
[184:18.090] 活动好了，大喜之家甜美，
[184:20.850] 但是你可以在发光，就这个东西到了。
[184:23.620] 咱们这肯定的。
[184:25.290] 肯定
[184:26.720] 不定。
[184:27.480] 你算不算咱不去上账是这样，就说你不要她这么好的，他就不会这么多钱，
[184:34.610] 你知道吗？但是如果你说我要他，我就要这个孩子，我就要这个瓶子的，那肯定
[184:42.410] 这个事你到哪儿，只要是它官方的的地方，基本上都是
[184:48.100] 但是你说我普通山M我也OK就便宜会便宜很多，然后你看学生一般也就
[184:57.210] 你要把那种前置的也就几百条，300就OK，
[185:02.430] 所以这部分
[185:04.620] 还有这部分
[185:06.040] 还得他们自己
[185:07.650] 他们自己更行为，反正我觉得他也说清楚。
[185:11.540] 元泰对，其实如果你把这些跑路的话，你也可以这么做。
[185:17.060] 一下就下来了，但相应的比如说你没有这个东西，你在外边去做，
[185:23.110] 衡阳我们自己肯定还要规模，可能还要住酒店，这些东西你自己还跑还好还算
[185:29.550] 这东西得花多少钱，然后后续的保证保障
[185:34.070] 100都是，因为上次大家
[185:36.690] 他们都迷迷糊糊的都没听明白你知道吗？没事肯定没有。
[185:41.870] 可能是我没您说明白，因为星期六星期天人太多很多，不像这么清闲，我们这都留下，我D都没听明白，我弟弟说我都
[185:50.390] 的我现在就感觉
[185:53.760] 不是等我没有资金，因为现在他就算了就要要了，因为他们说我也看过文章，我们店里谁知实际价格都是
[186:04.990] 基本上差不多少，因为一两千块钱很正常，
[186:07.560] 但是送往不同，
[186:09.610] 就算
[186:10.510] 比如说上级
[186:11.790] 没事您危险。
[186:13.530] 这8000块钱你就举个例子，自己那边订购一套招标户用电地址。
[186:18.090] 没得意见。
[186:19.050] 这就提高了。
[186:21.200] 你自己做一个进一步
[186:23.580] 但是这个方案就必须包括舅舅他们扎实保证，对你就改都改不了。
[186:29.500] 就改不了了。
[186:31.830] 临摹再次给公手工费在整个模
[186:37.050] 3000万，未来也不算应该不算特别好吧，就这个意思。
[186:42.060] 大部分因为店里一般都会比别人贵一点，但是感觉订车的话这边有政策可能又优惠了，
[186:48.370] 所以说店里发现我认为
[186:51.310] 我认为但选择权在于您这样也说了，只能该您可以商量这个事情是吧？
[186:57.050] 然后我们中间不影响办事人分手，4万块钱可能稍微慢了一点。
[187:01.720] 没关系不影响。
[187:02.960] 店里边换的比较快。
[187:04.850] 你需要还是
[187:06.220] 下午回去以后他身份证。
[187:09.120] 手机号我明天给你提交。
[187:11.520] 没回来没关系，我不能听你说了。
[187:14.020] 这大概流程因为
[187:15.600] 深圳不在这个空间，我们没有办法在一块汽车，但是因为约定的是比如中进行交款交付，
[187:22.730] 既然决定我们的标准去做，
[187:25.780] 按照时间比较好了，
[187:27.480] 我们今天提交材料
[187:29.890] 快的话明晚
[187:31.350] 用结果的基础，
[187:32.690] 明天正常坐着办理交手续。
[187:35.350] 反正咱们也有身份证的照片，我们可以先交款，然后
[187:39.700] 如果在店里做的话，我们从这段时间
[187:42.610] 可以把车先做了。
[187:43.900] 有记录仪不影响行车的记录仪，脚垫后面再给你弄好，处理该处理对，然后
[187:49.370] 等到新政回来了肯定给您，我估计周末也就这样，下周一二
[187:53.970] 你先拿着身份证过来，我来给你办个临牌10分钟左右。
[187:57.900] 你们直接开车走吧。
[187:59.510] 这样也。
[188:01.450] 好这是正常的流程，现在对只有这
[188:05.080] 一块和这一块是灵魂的，就是这。
[188:07.960] 我这个怎么了，你就看看，如果他说他不办了在就坏了，你可以自己去整，
[188:15.630] 就去那什么，然后他就这块他觉得我无所谓或者怎么样，这事就抹了就完了，他
[188:23.330] 这个东西是不变的，你要做的现在处理的就是这块，你把这块
[188:28.140] 什么了，他们就把你要确定不要这人就不给你弄那么多这乱七八糟的，
[188:33.660] 你就等他说就行了，然后这些都是后边你有了身份证以后再办的事。
[188:40.290] 我觉得可能
[188:41.940] 这俩不需要。
[188:44.220] 还有一个就是说
[188:46.050] 它关于什么车牌号，对车牌号价格上
[188:51.970] 车有车架号，车牌号可能
[188:53.580] 今天有没有出去没上过牌这车？
[188:56.330] 不要跟自己的
[188:57.920] 车架号车号有了，
[189:07.310] 车架号我们一般都看后几位，
[189:09.270] 车架号是101067。
[189:12.980] 关键其实这来您这一个还有不能跳也不能看，
[189:19.750] 看看这个颜色可以的，研究可以说是什么样的车，我们都做检测了，没有问题没看过。
[189:26.420] 看你是180的。
[189:29.280] 明白了，我对外面有一个蓝色的，我现在想因为我当时买的时候，就是说当时
[189:38.670] 人家说我当时权衡一下，你现在没有，主要是现在180新出的180是没有天窗的，所以这点就特别的差距就有点大了是吧？对。
[189:49.180] 所以200其实跟180在其他的东西上都没什么太大区别，除了登不太一样，登马力
[189:56.380] 哪里200大100公里对。
[189:58.650] 2813 136平和163米还差了一点，但是其实
[190:04.660] 他们对他们来说价格那就不开起来更快对吧？
[190:08.850] 然后天装饰一看就没顶了，就显得那种不太高档的这种。
[190:16.020] 明白完了，而且
[190:18.040] 没有今天感觉出现压抑，现在是所有180都不过的，就是反感改点dell点，
[190:25.740] 原来都是当然您180卖得特别好，深圳180就卖不了，卖不了没有篇章吗？
[190:33.190] 对，这很大的一点，就是痛点第一。
[190:36.100] 然后现在的蓝也不是
[190:38.260] 不是前期的就是深一点，
[190:42.240] 还不申请跟您衣服也不一样。
[190:47.190] gl第蓝吗？是不是你那个钱吗？毕竟控制他的照片不是那个
[190:53.900] 你们也没见我跟你，我们是看了手机了，完了这边停了一个不知道是什么麻烦，是一个A级A35A ng的车的车漆是水洗蓝，
[191:05.590] 但是AM这个系列不是都是金属漆吗？这也差也应对还
[191:12.530] 你这都懂哪都是心，上回您俩好了吃王八，您这边一起做。
[191:18.630] 我不知道我忙叨叨的，然后就不着说闹心，这星期从没找明白，然后我赶紧安排把事安排好了，我赶紧过来听听，我说我现在没明白，我去问问小伙子到底我有什么没什么的是吧？
[191:35.310] 对金属科技跟以前不一样了，他是新推出的一个色号，
[191:40.980] 667叫水洗蓝，翻译到中文教学起来水解，我说路上还跟我说你叫什么兰姐，我说
[191:48.540] 什么我也不知道怎么拿，刚开始主要是跟您家里头看着蓝好像是差不多的，完了对我就不一样，我律师吗？
[191:57.200] 有发生一点有一点点比您应该深一点。
[192:02.320] 好看一点，这颜色好看还行的，又不是没特别深，他不是深蓝的女人，这还有点身藏蓝的天地，现在的晚上哪里存在，哪里了的是完了又变为金属漆了。
[192:17.090] 新武器只要你是金属漆的什么色的，他都会显得
[192:21.230] 小量的，对，但是你修的时候也可借应。
[192:27.580] 对。
[192:28.770] 青蓝色保险修，所以这时候还享用了。
[192:32.770] 对吧？你这边玩两年之内你就能给你保姆吗？你想6年以后再
[192:39.280] 年就能保5年，
[192:41.350] 这个是那5年以后你都不用想了，不给你各家保险公司都不让你交钱，如果上房子你就不给你上去了，为什么？因为他认为5年以后华安
[192:52.450] 太多了，包括一些
[192:54.740] 很长。
[192:56.090] 不一样，你就5年之内有就赶紧show对不对？
[192:59.740] 我说你们单位你小姨姥说你上房子怎么说，随便你爱上去一下，我内疚。
[193:06.480] 平安保险公司实际上我们来这些事我们都没跟他们说，要是说了人家明白人，有的是人，
[193:14.190] 车子好几个了，
[193:15.880] 后来一到新
[193:17.580] 才跟人家说，人家说这么个，我说这都不是事儿，
[193:22.870] 这是我跟你聊，你真是吗？我真够闹心的，就这一星期你家近到期了，这主要是不聪明没有了。
[193:33.130] 后来就说老我们单位没工作，也是保险公司他就给上，他说你上这趟北上还没上，这一块即挺贵。
[193:42.870] 这块
[193:43.880] 性价比。
[193:45.680] 所以我一说你给他看他在不想，我们都没听说过，还有特别的
[193:52.350] 所以这是今年奔驰跟宝马公司谈一个大合作，就跟
[193:57.840] 有7家公司只有奔驰谈下来了，
[194:00.280] 你回来修车他额外给你2000块钱，
[194:03.400] 只要你修不管谁的责任，
[194:05.620] 你全他的责任还是咱们只要修车的保险，就我给你点钱，
[194:10.370] 就这样。
[194:11.600] 这产业内心的一个效果，
[194:14.210] 现在是et这个行我们心里就清楚了，然后为了我跟他说就怎么选择，
[194:22.790] 要不上门的你们他们能心理头没错，不知道到底是怎么回事，到底是因为
[194:29.110] 因为人家说这个人说都不知道到底哪个怎么回事，
[194:35.700] 那就把这个分项问清楚就行了。
[194:39.990] 当然我们肯定是说如果说当然还得看她自己选择，
[194:45.460] 您肯定说如果能在你的修上你再上险，这肯定是方便的，但是确实是如果我们自己上来险的话，可能也就是四五千块钱，
[194:54.970] 也差不多12%商业险也有利，他还有他自己业务的方便，
[195:01.710] 他们也不高，也不会有新车。
[195:05.510] 保险他们有他们有着解放，真的他怎么着，然后
[195:11.050] 但是你也要看你，
[195:14.880] 你省得那边一两千块钱对吧？你后边的麻烦
[195:19.740] 你再说他们就行了，你这就是按7000算的，我比如说交强险，我选5天就按时付的，
[195:27.570] 是吗？对他肯定不会这么找，他可能要得6789毛2，人家医院就这一。
[195:33.760] 然后现在的话一般他都给你打出数用，对，稍微你看盖上都不算，都是商业险。
[195:41.230] 交通自己做一个教研室，刚才您说了也没有返点，这不让你这没法里边没有交强险预估，就是预估的保险，这里边包括你也算交强也行，因为行政规定的要求
[195:53.540] 你算不算交钱都可以。
[195:54.920] 但是对，但这写的文章写的是商业，
[195:58.300] 交强是950，这车车船税之前这个月到年底赚100多块钱，
[196:03.440] 正常这车一年350，是这1000块钱打的吗？对交强险没办法，您不买路也上不了，临牌也办不了。
[196:11.990] 商业险自个选择，
[196:14.280] 只要是个人的第一年交点都可以不算建议千万，那行就算对注定也不算。
[196:20.950] 没办法你再加1000，
[196:23.500] 我压抑可以，最后同意抑郁，这个说可没问题吧？
[196:31.230] 还建议你上
[196:32.640] 黄鱼保额，
[196:34.100] 还有保额的5000 1万25,000，咱们不都是一块钱。
[196:39.920] 3000多一块钱。
[196:41.980] 1万3万。
[196:44.170] 什么叫一块结婚证？一年对一年的额度就这些。
[196:49.120] 然后2万
[196:50.630] 基本上就是平时不能说了点，
[196:53.460] 他也不可能撞成那样，就最多1万块钱就到头了，他们开车
[196:59.340] 一般保额1万。
[197:00.850] 对一。
[197:02.300] 保1万您交多少？我估计也就有个几百块钱，我1000块钱腰部。
[197:07.630] 估计到不了1000多。
[197:09.880] 也希望
[197:11.170] 你到时候可以看，对您可以看它这把不幸也给你家人，你放心，这有的外边业务员你就算为了便宜点竞争，它不算不。
[197:19.870] 您修车这么麻烦，
[197:21.230] 一看没不计免赔，包公司定期超30费用大陆去。
[197:27.260] 修车就是这样。
[197:29.270] 一定是靠到时候咱们现场
[197:32.170] 算了以后，你就这些给我们理细一点，因为他们确实不
[197:36.130] 不是特别认真没问题，没想到的，你不过他们那么闲的好吧？然后比如说或哪个系统用更合适一点，尤其是后诉的那些东西，
[197:47.990] 没问题，因为你想着离着近，因为现在就业以后可能老得来老得来找你出来，
[197:54.790] 我就找后边修的，谁知他了这个您是近，反而我这老天里我建议这车就是玻璃划痕也需要
[198:05.100] 玻璃
[198:06.980] 前方倒沥青这一块。
[198:08.800] 这玻璃其实跟车，但是他这说挺的，对，那不是您买车这么跟您说过，您那一代您的历史中
[198:17.870] 一个人的事，所以我才买的，看看你看看对没事。
[198:22.720] 您那个车型是跟S诚意的价格
[198:26.120] 特别介绍，而不严谨眉毛这可以不，所以我弟弟才说就觉得
[198:31.520] 我看看很多，我那天也跟你说了，就跟我作对，
[198:37.020] 奥迪都没想着，就这边沃尔沃两个对准备过两年他们有小孩了，可能要换一个大的，
[198:44.550] 到时候可能你还得给他们推荐一个稍微懂一点，这两年他们还小。
[198:50.320] 可能就是他们贷款上班什么的，用这个算是这事有可能。
[198:55.440] 可以，他们可能就得稍微大点，应该没问题，没准到时候过两年出新的什么SUV适合家庭，对。
