[00:00.000] 月4月4号临近时，出租车街道
[91:36.660] 定金1万元，交期您看这是7月7，但是您特殊情况我们延到7月10号左右，
[91:43.140] 周五是吧？这字都签完，这都没有问题了，今天只交1万定金。
[91:49.660] 这是三份一式三份，一会会找我们经理签字，
[91:53.510] 财务交钱盖完章给您一份。
[91:55.790] 然后这是服务公约，我进店都足的，您也得签字。
[92:00.680] 客户赵签名。
[92:04.160] 对照千一个
[92:06.300] 写
[92:09.960] 我签字。
[92:11.730] 可以。
[92:14.850] 三。
[92:17.040] 一共多少钱？
[92:21.080] 咱们一会刷卡是先用刷吗？
[92:23.730] 是先生刷卡吗？
[92:26.400] 最好先用是吧？我觉得没带，那就女士是吧？
[92:31.360] 女士您刷卡还是微信？
[92:33.420] 你有微信，微信可以，一会咱去楼上财务刷就行了。
[92:39.480] 因为要女士刷的话还得写一垫付证明，
[92:43.040] 还不是非本人付款不行，我们财务管理特别其实来讲
[92:51.270] 要求交钱的时候可以刷您的卡，但是您得拿着您的身份证，到时候给写一个店铺的，
[92:57.000] 我就把钱都给你。
[92:59.140] 都行，其实您要倒找钱麻烦的话，您就拿着您卡莱写个东西，我们这就能身份证一拿我这印就行了。
[93:09.900] 了，电话都改成先生的了。
[93:11.930] 对都改。
[93:14.380] 我不管那什么车都让我来包养我。
[93:18.470] 说吧。
[93:24.250] 以后你这车就。
[93:25.600] 我就把自己的开让你出来，
[93:28.530] 你离开你不能。
[93:33.070] 希望
[93:33.880] 我们后续保养上门服务也会慢慢都开通。
[93:46.840] 咱俩
[93:51.020] 哪个车在外面，每天都是随机的，
[93:56.430] 都不是说不定。
[94:15.320] 你这有JSGS的宣传册全是电子的，
[94:20.910] 我刚才已经扫的全是电子的。
[94:24.460] 因为现在只是的都不是最新的，
[94:26.800] 墙上全都是一的。
[94:31.190] 一的也不是最新的，现在
[94:56.960] 我应该开一个
[94:58.950] 拍给我。
[95:00.480] 给儿子看一下
[95:02.040] 照片。
[95:07.880] 因为网上的
[95:10.590] 他也不一定就是这个样子，网上那是最准的，
[95:14.490] 网上的反正是最准的，
[95:17.380] 产业都是老的了。
[95:21.920] 因为厂家现在不怎么提供产业，因为现在不是要追求
[95:26.960] 这叫什么无损号。
[95:29.360] 不是到时候我们应该把他到时候是不是有一套关于那车的什么说垫子。
[95:37.180] 对，那是纸质的。
[95:39.650] 到时候咱们这流程是这样，说明书都一本一本书明书。
[95:44.760] 到时流程是这样，您不用担心，我们交车来说的话是流程是
[95:49.920] 比如那天您来交车了，我先带您念一下新车的外观，那是都看完没问题，咱们交款开票，
[95:55.800] 传票会有一个专业的交车源。
[95:58.740] 对，我觉得专业的教科员会给您讲一遍。
[96:03.110] 那天建议您带个录像设备，因为他讲的东西可能您会记不住，他手机录的对，手机给路上。
[96:11.030] 家里对我还问你一个，你那个车就是车灯什么的也不用我调，我一进去他就自动了，
[96:19.170] 到那个时候我们都会给您说是好事情都不用了。
[96:23.200] 对，远光灯和近光灯我还不知道。
[96:27.690] 都会您讲的，不用担心咱们上楼。
[96:31.160] 谁知
[96:33.330] 不行，
[96:42.850] 打乱了
[96:44.120] 的，
[96:55.540] 可以在任何一个位置。
[97:15.630] 您在这儿等我一下，我找领导签字。
[97:19.810] 我还要上去，一会咱去那边交款了。
[97:23.400] 说到这儿来等我。
[97:27.110] 等我一下。
[97:34.210] 回去
[97:39.090] 为领导
[97:47.560] 我胖子经理上班。
[97:49.280] 一
[97:50.480] 有的时候
[98:01.080] 没人了，领导让
[98:03.150] 名人馆掉。
[98:07.580] 购买一样。
[98:08.830] 我觉得应该我都没算明白多了20多了。
[98:13.520] 装饰的是吧？14,800装置，然后43,000精力全展厅经理420，那没什么人进。
[98:22.800] 眉毛验证验证人都有，全板式全款都是延保什么的，也是联保还没推，到时候这应该没待不着眼睛你知道吧？
[98:32.970] 大的缺点到最后。
[98:34.730] 前面电子化的体验让体验
[98:40.200] 就越来什么？
[98:41.770] 这是初次过程。
[98:44.720] 本来都走了，后来都走了，今天考虑定了什么意思，今天接着一。
[98:50.540] 电视对我先考虑正常您就行。
[98:53.980] 您要觉得价格合适你。
[98:55.130] 你可以先定投。
[98:56.490] 我以为说你让我交全款，我不是你这叫乱好。
[99:01.160] 用煤。
[99:02.860] 这不知道。
[99:04.100] 你给他一个你说定跟上前面冠以手工卷。
[99:19.110] 一会儿咱从
[99:21.040] 感情下去，楼下有
[99:23.180] 这活动您看您喜欢什么东西，对话一些东西不要钱。
[99:28.010] 楼下我们也都做活动。
[99:33.410] 感情
[99:36.260] 正常后续你再来找我就来这边找。
[99:38.810] 一般我们多百岁的
[99:43.060] 而且分局。
[99:44.950] 对。
[99:45.660] 这比别人更好。
[99:47.280] 奔驰还是在品牌里头还是可以，比如说奥迪，
[99:53.640] 奥迪
[99:55.360] 总的来讲，它是属于
[99:57.600] 大众旗下的，它研发成本不能
[100:01.580] 专心那种，
[100:03.280] 他比较那种花心型的，它的所有的大中跟他用的东西都一样，它也用了大众汽车，
[100:08.880] 奔驰它就主研发自己的产品，宝马也是最终的成片的一样，宝马其实现在越改越有点小气了，
[100:20.600] 所以原来宝马看着还行，
[100:23.160] 后续的真的
[100:24.590] 宝马这个产品也都没问题，就是说
[100:27.510] 还是设机构的问题。
[100:35.730] 这边的财务
[100:38.800] 家庭、
[100:43.440] 微信。
[100:44.640] 对微信访谈。
[100:46.640] 有打印复印。
[100:51.710] 服务号微信。
[100:53.840] 随便你反正都得商量。
[100:57.630] 他就支付宝了。
[101:06.920] 我的支付宝都少不了1万块钱。
[101:10.290] 能上医院吗？
[101:11.990] 他没有资格伤了吗？
[101:16.660] 都能算，微信也应该算。
[101:19.930] 他是。
[101:21.260] 他们跟你什么级别什么你跟。
[101:26.590] 什么挂钩？
[101:36.730] 什么药，
[101:37.920] 还是要
[101:39.030] 上传照片吗？
[101:42.040] 用微信就行。
[101:43.760] 微信现在又是一个什么？
[101:49.870] 要上传身份证照片。
[101:52.370] 幸福。
[101:55.170] 好像微信肯定不行，今天这倒是新规。
[101:59.560] 支付网我看见了，
[102:01.690] 这是相当于新规。
[102:05.900] 世界因为钱多了1万块钱，所以才让你上船去了，不是。
[102:12.380] 支付宝找不出来，不他现在
[102:15.440] 没有要刷。
[102:17.780] 我写了我现在的
[102:21.130] 您那边行。
[102:22.900] 您的名身份证号。
[102:25.610] 您身份证有照片吗？
[102:27.540] 手机
[102:30.880] 只能我交完了是吧？您发言了没有，我没带。
[102:36.730] 那就用仙女似的。
[102:38.990] 您刷卡。
[102:41.020] 您身份证拿了是吧？对。
[102:42.980] 对行。
[102:44.480] 让我不用我直接。
[102:47.250] 给我。
[102:48.070] 一个对我
[102:50.110] 您交了你花了这两
[102:57.170] 那么麻烦，工艺就是不想交钱了，这一。
[103:00.380] 万块钱就让。
[103:01.220] 这样什么人呢？
[103:04.530] 来说。
[103:07.800] 这就是幸福差不了。
[103:13.280] 要刷借记卡。
[103:35.960] 来说马天
[103:37.300] 0589
[104:59.800] 这不是本人。
[105:05.860] 我签了我可以我自己的名字您。
[105:09.500] 他们去办什么的吗？
[105:12.620] 这女士垫付给朱敏。
[105:15.090] 安
[105:19.030] 处置。
[105:20.350] 三
[105:20.960] 两个给他房俩给他还连是吧？
[106:05.740] 咱这块情况
[106:17.050] 这一块没签字，
[106:19.640] 因为属于付款。
[106:34.670] 我把合同给您一份定金，收据您拿走，还说着
[106:39.230] 要拿走钱交车到站了。
[106:41.960] 行，就把都留着到都。
[106:46.110] 对，你都带走了。
[106:50.270] 那边那是轿跑的，
[106:52.680] 这一看就是老了屏幕，
[106:56.100] 那个单子你刚才跟我说。
[106:59.720] 这个。
[107:01.260] 又你刚刚我算了一下的到账了。
[107:03.960] 这个也要带着
[107:05.910] 迎新可以说我这幅画我给拿个袋。
[107:10.390] 不用这样了，我给拿个袋。
[107:12.350] 等会儿。
[107:17.590] 拿袋丢不了，到
[107:19.120] 时候手机装一号就行，然后真抓没带，下次来也。
[107:25.490] 我干不了的媒体。
[107:27.280] 没看到什么三。
[107:31.010] 坏了。
[107:31.980] 没有。
[107:33.560] 没有人都。
[107:34.610] 说没有来找。
[107:36.490] 有也是老的配置都不一样，没事这样你要是到网上找不就得了。
[107:48.930] 你们俩在
[107:49.720] 煤气7月1号来看，接气到了这也太快了，
[107:56.310] 快就三天。
[107:58.280] 就像
[107:59.820] 一看就是什么？
[108:01.520] 小心台阶。
[108:09.940] 问一下。
[108:10.960] 行。
[108:18.760] 我那客户拿最坏的明天过去那边在这边来。
[108:23.880] 这东西我不漂亮。
[108:26.000] 我也
[108:29.790] 不用了。
[108:31.280] 不是我。
[108:32.390] 刚才一直拿在手里，后来我身上看看我不打包，
[108:37.850] 我听不到。
[108:42.270] 应该是不是在里头家里
[108:46.450] 看那个里头是不是家人吗？
[108:54.580] 找着了吗？
[108:55.400] 给他们的。
[108:59.120] 但是。
[109:00.250] 您就做一个就行了，这手工的都是
[109:04.290] 什么东西？
[109:05.280] 就是一个apple，然后。
[109:07.040] 有点
[109:08.190] 了。
[109:08.940] 干嘛还要做去干嘛，不是拿一东西。
[109:11.370] 就走有现成的吗？后就直接拿现场走也行的。
[109:14.630] 没有现成的，没有。
[109:18.300] 可以，你要是着急的话。
[109:32.050] 好。
[109:41.740] 的
[110:50.570] 的
[110:55.700] 的。
[110:57.190] 这是模仿。
[111:10.330] 二
[111:11.440] 的
[111:13.380] 看。
[111:19.010] 自己用，
[111:22.790] 在网上卖得很多，
[111:25.700] 慢慢的
[111:41.350] 这些交易
[111:45.070] 对全都是的满意
[111:47.840] 情况下，
[111:49.630] 这条
[111:53.600] 点
[111:55.210] 这个是这样。
[111:57.890] 欢迎。
[112:01.810] 有没有
[112:11.630] 我按然后
[112:17.090] 谁知
[112:19.930] 是吧？谁知。
[112:58.880] 好开始。
[113:01.070] 谁知
[113:04.470] 了
[113:14.410] 挂。
[113:15.520] 没有完成这边赶。
[113:20.190] 板块。
[113:23.980] 板块。
[113:25.290] 对。
[113:26.450] 它这个功能。
[113:28.270] 算了。
[113:32.930] 怎么说？
[113:56.020] 专家说的。
[114:19.250] 他这个什么您
[114:20.800] 耐心。
[114:22.000] 四驱。
[114:22.950] 您那车后边也有，我卖了可以死去了也。
[114:39.850] 卖出来
[114:40.880] 了。
[114:42.210] 超重了。
[114:46.000] 你看你不上了，怎么操作了了？
[114:50.410] 超了也没有办法。
[114:52.840] 谁知
[114:53.830] 专门给客户来源
[114:55.840] 完了快点来了。
[114:58.110] 一点的话，
[115:01.110] 12:00 1:00的。
[115:02.760] 停车牌到时候车上。
[115:05.730] 12:00 1:00您把我这个
[115:07.930] 我这有全免的。
[115:15.540] 咱们10点多才出来的。
[115:19.430] 肯定没到。
[115:21.610] 肯定。
[115:22.380] 还有一点出来的。
[115:23.880] 是不是也没倒，但是
[115:25.700] 还是我看着微信
[115:29.060] 到。
[115:32.560] 要出去还得等几天。
[115:35.910] 算出来。
[115:37.650] 谁知。
[115:43.330] 5月8。
[115:48.870] 三。
[115:49.810] 都给了。
[115:50.940] 地铁记得。
[116:00.240] 被睡过去了，酸奶拿一个吗？
[116:03.140] 自制了。
[116:04.400] 拿一个你多少过来？
[116:10.710] 对。
[116:11.890] 再拿一个
[116:13.330] 的。
[116:16.840] 这是两个都被了。
[116:21.920] 两类的
[116:23.320] 免费的票。
[116:25.200] 红色好
[116:27.180] 了。
[116:27.940] 到时候销售时间咱们再定，你这钱挣了，
[116:33.530] 您慢点。
[116:35.070] 我就不后面了，那了你们吃饭他们做一点对不对？还有手术吗？
[116:40.520] 没卖点了。
[116:45.350] 在什么位置你看吗？
[116:48.220] 咱刚才那展厅是吧？
[116:51.830] 对。
[117:00.390] 你还记不记得就咱交款那个感觉？
[117:04.100] 你来这边我就在这手续把这边
[117:27.280] 抽吗？
[117:28.320] 漂亮。
[117:30.610] 那车怎么用用吗？不用就搁着。
[117:36.410] 孩子那个人他不来北京，然后就办不了过户，就同步下来指标。
[117:42.930] 他现在在上海，他说从北京全矿北了，
[117:48.360] 他开了控制这半年了。
[117:52.320] 再放一个。
[117:53.400] 不是他人不用来了，深证拿过来就可以了，他那个车先顾客做个房子先过户给他老婆，
[118:01.470] 他媳妇来就行。
[118:03.140] 他随便之后也不乐意了，回去北京就不调。
[118:13.360] 反正我9月也就走了，我也
[118:15.680] 等我明年回来再说，你就去国外了。
[118:20.180] 这个买了给你喝了，喝先搁着，
[118:27.670] 为什么我都弄完了，
[118:29.590] 弄完了就先算了。
[118:31.450] 我估计我走之前他
[118:33.160] 又特效。
[118:39.360] 快点一直喝着是吧？
[118:41.060] 对，也他不走了回去。
[118:43.540] 出口都不用。
[119:01.900] 郭哥你今儿上班吗郭哥？
[119:05.680] 数据。
[119:10.560] 句
[119:26.440] 沟通
[119:34.610] 给我发过来。
[119:38.330] 好像。
[121:03.890] 你都签进来。
[121:06.150] 你搬到哪里？
[121:07.990] 教教我名是吗？
[121:10.210] 因为之前订车就是
[121:12.260] 这签字
[121:38.800] 是换票的，有你的名画到了
[121:42.080] 辉
[121:54.510] 再出一个店铺证明
[121:57.260] 到这电话
[126:43.070] 好像在车上。
[126:44.730] 照片有吗？
[126:47.030] 我给你拿一趟去
[126:48.860] 把你的新轨道上来，
[126:53.200] 所以打印当中给
[126:54.890] 无人要了。
[129:48.290] 了。
[129:49.310] 多少了？
[129:50.950] G他就这样
[129:53.810] 袭击但没有
[129:54.800] 价格多少？
[130:22.810] 他那边。
[130:23.590] 不应该吗？
[130:28.520] 老板。
[133:50.710] 进球客服电话你知道多少吗？
[133:55.180] 391
[133:57.080] 6
[134:03.410] 这样。
[134:05.390] 你看看。
[134:08.810] 感觉
[134:10.890] 100。
[134:20.490] 七
[134:21.340] 工作
[134:53.880] 三包、
[137:20.360] 后续23
[137:26.010] 被上诉的
[137:29.740] 的
[137:31.640] 的
[137:35.010] 的
[137:37.140] 的
[138:18.360] 系500三包车辆类型我就写成用行是吧？
[138:24.250] 原来。
[138:27.000] 月。
[138:30.120] 车辆规格就是越野车。
[138:32.810] 原版的不用装了一个
[138:35.870] 要求。
[138:37.460] 车辆类型越野。
[138:41.920] 乘用车
[138:44.340] 车。
[138:47.120] 后边车辆规格越野车，
[138:50.660] 然后类型就是G500。
[138:55.400] 行，别的没有注意的好吗？
[138:58.010] 行，他那客服电话多少？
[139:02.950] 391 5000好了谢哥。
[140:24.250] 的
[140:27.380] 写作业面码，
[140:28.990] 作为面法3365043360汗蒸房。
[140:35.980] 对我在哪我在前厅财务这边。
[140:40.460] 沿路是吧？对二层。
[140:43.590] 二层赶紧走是吧？行好了拜拜。
[140:52.320] 张。
[141:03.300] 做一面就没事了。
[141:49.670] 千万明白了。
[141:52.920] 签字就告于段落，就做开一个面粉，面包完你就可以回去了。
[143:01.120] 还有交通源。
[143:01.880] 行没事。
[143:03.180] 没事行你好，我说咱们客服的您做个简单便饭，在大会提升你们小礼物，感谢你咱们火车行，我得看一下sd I ct那个号，然后我就选信息。
[143:15.190] 我觉得好看。
[143:17.540] 排号就说。
[143:19.790] 我看一下我首先分析。
[143:25.100] 你看着对。
[143:26.520] 他就是
[143:27.890] 变成
[143:32.240] 你说1381140712040151号是吧？
[143:36.320] 谁知
[143:37.960] 行没事，购买的是G500，然后车架号是
[143:44.050] 33604。
[143:46.030] 行，然后
[143:48.790] 的
[143:50.810] 你们
[143:51.520] 我回去。
[143:52.540] 清楚。
[143:55.550] 感谢。
[143:58.490] 喂饭。
[143:59.810] 完事了，我这刚找你电话了。
[144:05.250] 你在哪呢？
[144:07.840] 好，
[144:08.560] 休息。
[144:09.840] 行，我过去找你。
[144:13.970] 一层那一块是吧？
[144:15.550] 然后把东西。
[144:17.210] 行。
[144:19.920] 井里边是吧？
[144:21.920] 行，我就过去。
