[00:01.570] 6月9号在他坐后面看收益的开始，
[103:06.640] 因为我们的价格是当天有效价格，车确定完了以后，我只按现在的车况，
[103:12.880] 你一定保持，万一有什么咱不说，明天也没问题，只能按当时车况好好明白吗？因为是赶紧手里是交通工具到，因为我们按商品对待，所以必须保持着。
[103:25.150] 对，就回去办法把然后再动用您有任何我们只能按当时情况确定，因为是精精神病，完了我把丑话就说起来了，过来都互相这种能不能看看好吧？
[103:37.240] 我了那就没事了，好我就不是想谈一下，您要一下谈谈挺合适，咱得出去完了。
[103:44.070] 什么说这么晚就是为了my心能干安全都对。
[103:49.830] 就签合同卖车。
[103:53.320] 新车你先把新车办完。
[103:55.600] 新车部门公司对他们二待签合同也签了，我觉得开了，行，您一会过来，我把合同签完了，明天元给我送货，早给你送。
[104:05.710] 一个人办我这一人伴发的也行，你说不要放手了。
[104:09.580] 这发票要不要？
[104:12.890] 找不着发票了，完税证明什么别的贷款。
[104:16.660] 大力马日本在车不在车上，您再把手续都交给我，一会把手机给我，就这手机不能做，日本都在车上，就这个车后面的错多少，
[104:26.890] 等我过来的。
[104:29.930] 差不多2000了都现在吗他不来不了。
[104:47.320] 活动
[104:57.380] 这只能说你都定完了，这没事您都同什么关系，我
[105:02.120] 一起上来就是朋友关系的随时的。
[105:04.310] 咱说上这能交三在二楼交走吧，说我们
[105:10.690] 我重要的功能
[105:12.640] 就可以了。
[105:14.660] 还有的给送过来我车上，
[105:16.820] 把我的主单位拿点上来看，
[105:20.880] 这个放到单位吃饭。
[105:22.830] 我要上班了吗？
[105:24.500] 是什么？
[105:26.540] 股票那么多年一天好几万。
[105:29.220] 百万，你不是好几万吗？
[105:32.880] 好。
[105:39.030] 他原来卖别克车的时候我就认识，
[105:41.560] 不带行不行，等在手上登录。
[105:46.000] 美女还不带行不行？干什么不带反弹不行，不耐烦了。
[105:51.070] 又不一样吗？
[105:52.120] 肯定不一样。
[105:54.910] 不一样，评手续不一样。
[105:57.490] 不是坏肯定什么结合证据也不一样了，优惠。
[106:00.780] 的。
[106:02.260] 你看看那么厉害，贷的贷款不再优惠力度都不一样了。
[106:06.780] 不够。
[106:07.910] 他什么都不用，就是分期付款定金，三个月前款没有卡，甜甜收拾好才能媳妇叫什么？
[106:16.650] 工作找好了，按照
[107:03.610] 看着。
[107:05.110] 三个0。
[107:06.640] 张经理。
[107:12.430] 当你去办，
[107:18.690] 3万。
[107:30.620] 好多。
[107:33.320] 我听到厨房里出来。
[107:37.000] 10号之前好像有一个什么活动才跟我说，因为我昨天我们同学的家长刚开始去的一个老弟。
[107:44.580] 的
[107:47.910] 对，还有人。
[107:50.890] 谁知。
[107:52.090] 对他这一包。
[107:53.350] 都是油卡。
[107:56.010] 行好的谢谢好的。
[107:57.410] 你说。
[107:58.550] 他这么说他给你。
[108:01.100] 你说他那边什么哪个帮助平安还是什么的。
[108:05.050] 他说回来找着我直接给他打，说我刚才说的光了，孩子。
[108:11.790] 没事11月保险活动豪礼我说我知道对。
[108:17.080] 对吧？
[108:18.090] 王亚都咱这吗？不是王洋吗？对，是咱们这的试试，你去吧。
[108:23.600] 我给你好了，33我问一下咱二
[108:29.390] 现在。
[108:30.540] 这不是哪个县的，你说拆车厂的沉淀曝光。
[108:35.850] 在这儿在这明天今天不行，今天得卖，明天上半年你在玩。
[108:44.110] 好，明天谁知后。
[108:47.790] 应该是本来应该今年上的结果就是因为延迟了，所以现在。
[108:53.820] 点了过去。
[108:56.040] 知道了。
[108:58.720] 对。
[109:00.860] 又怎么变化了？
[109:03.100] 我这样别的说看了。
[109:06.500] 昨天说了多少？40五四不是348,200给的。
[109:14.240] 30万块钱。
[109:15.570] 对，34万块钱。
[109:17.560] 好了你。
[109:19.490] 你在哪关键困难常常是有三严三实的。
[109:24.990] 口袋常常有。
[109:26.660] 二十八七还是多少G友。
[109:31.840] 看完了那有吗？
[109:33.160] 一点。
[109:34.050] 拿了。
[109:35.070] 他们这条现有业务有交通队，他给我打电话了，就是说那二手车不是说给不了他妈是吧？给了试试，就是说因为你给了车还大量那块钱。
[109:46.630] 这不是员工。
[109:47.660] 这不是lc是点C不是他那二手车。那说咱还搭了2000老婆我们。
[109:52.450] 我说是
[109:55.120] 他不是说给您打电话要新车优惠吗？
[109:57.940] 给不了新车优惠了，我说看看能怎么着，模式用那么多了，那么在做行行，不要商标的送小店。
[110:06.410] 这样完了他们男排装饰。
[110:09.130] 买装饰的买卖从来不买装置，让我发信给我给不了。
[110:13.610] 13,800，这正是我想要的11,800，买了11,800那都有什么。
[110:19.800] 眉骨贴膜，新增就业，小张不能调，就这4个。
[110:23.430] 还有了。
[110:25.160] 还有吗？还有什么别送用。
[110:29.390] 咱们主要提好多车那个点都知道你了送。
[110:33.040] 送东西送的。
[110:35.660] 送个封面送给。
[110:36.640] 销售也没什么。
[110:38.860] 都没有。
[110:40.160] 送到毛线咱们元元反正
[110:43.690] 送朋友送。
[110:46.120] 他有一堆保养是吧？
[110:48.350] 对他我买的被抽。
[110:50.630] 拿给他，
[110:52.650] 给他怎么样？给他。
[110:54.820] 给一个洞猫什么的差不多向前漆面的用完了给。
[111:01.050] 不光我觉得确实很棒的，爸爸都在一块，
[111:05.500] 他找着又I了。
[111:08.240] 在一块那是原来我一个私人问题，
[111:11.680] 他的亲戚。
[111:14.620] 那时候不会你知道就得走。
[111:16.380] 然后完了
[111:17.540] 现在还不流通，当时2001点让他往上追溯了，给他出一点腰围，注意空谈，
[111:24.310] 1点回去。
[111:25.450] 你是江爷爷尺寸1one你裤子啥？
[111:30.150] 这张吗？
[111:31.050] 明天不着了。
[111:36.610] 刘丽那个车是有3A3B张先生。
[111:40.420] 直接跟那个系统别给他做就行是吧？和晏我不太懂你们这系统好像是。
[111:47.880] 又来了。
[111:48.760] 马上。
[112:17.640] 他说送一个怎么说漆面镀晶。
[112:20.240] 你原来不清楚吗？然后那个朋友他给送到驻京办，
[112:24.720] 说现金到底了，因为他珊瑚经理说跟他申请车的时候是
[112:30.180] 我们店自己出了200块钱跟他申请了是吧？那也是他申请的。
[112:36.350] 对，管不了压价的行，他送镀晶。
[112:40.390] 镀金漆面镀金。
[112:42.640] 对，现在都动不了了，因为他那胡子给。
[112:45.700] 俺去2000块钱。
[112:46.870] 就自己店里出这2000块钱注册的，我刚跟他说了，我说别的不了，
[112:52.180] 我说要还钱去了，
[112:54.050] 把卡给租金，等于这车放你就开始可以做了，对错了事出来。
[113:00.950] 店铺不能用其他的全都装上了。
[113:03.170] 了，
[113:04.250] 不能知道可以开始做了，明天提早起点上可以提刚才能
[113:09.010] 你做的您这样，
[113:10.440] 咱们你把主要是让他把链接给它填一下，一会儿放下。
[113:18.200] 您在群里说。
[113:19.380] 对。
[113:20.120] 为天，然后我姐骗你，行，谁先都行。
[113:23.150] 谁知。
[113:24.910] 保人是这样，
[113:25.990] 这帮人是我姐夫。
[113:30.700] 就指标人的媳妇也天生
[113:32.420] 可以。
[113:41.190] 一会
[113:42.060] 让我跟着链接。
[113:44.640] 你要拿了点。
[113:45.800] 夏琳
[113:47.650] 该的东西
[113:55.790] 明天就过要交多少。
[113:59.000] 他要下午能批出来，明天下午能。
[114:01.460] 只能等下午。
[114:07.370] 一。
[114:08.230] 对二手车那合同是一会都会。
[114:10.930] 的就是
[114:12.880] 不是这样。
[114:15.140] 可能只是说一下，我现在有客户，然后是操作一下。
[114:23.370] 偏差的名字。
[114:24.640] 那都在那边着不签过了吗？
[114:27.020] 上面去。
[114:37.400] 你看来你把给我看一下。
[114:43.200] 完了输密码。
[114:49.620] 是这样。
[114:51.040] 没问题。
[115:08.550] 刚才他CS
[115:11.800] 口碑它就是Top的家，不是口号颜色不交房，什么叫房？对。
[115:17.850] 那和尚他就这样的，二十七八。
[115:20.890] 四大的对我这600万
[115:23.950] 4.520可能煤气便宜了，C。
[115:28.050] Cs. 
[115:30.350] 我反正就是听了换说好，
[115:34.670] 但是也不好，
[115:36.000] 只能说不怕再不买，
[115:39.270] 等儿子毕业了，毕业这个不行。
[115:42.090] 东西。
[115:44.370] 那时候才酒吧玩。
[115:47.060] 就是说看着办，我一直以为那是贵的。
[115:50.870] 多少？
[115:51.630] 因为两个gt50是90多万。
[115:55.830] 90多万，那车都有优惠。
[115:58.390] 没有一会为什么？
[115:59.830] 他睡过吗？
[116:01.020] 特殊人员很多优点。
[116:03.040] 这种方式就是卖的。
[116:05.090] 不好卖。
[116:05.880] 保值率太低。
[116:07.430] 我得开。
[116:09.320] 开了那就卖给我了算。
[116:12.680] 等我儿子毕业回来了。
[116:15.490] 不买车了。
[116:17.410] 后来又买房子了。
[116:21.140] 您哪就是小汤山还是前年，现在我在那哪。
[116:27.430] 你上班。
[116:28.530] 卡不是他的，您的身份证我给写个店铺可以有4000多万。
[116:34.130] 对你如果这房本他是世贸的，
[116:39.490] 如果是再往北是吧？不是对上周表现一般。
[116:45.540] 还有稻香湖了，边上就是水，反正我知道。
[116:48.950] 排放，再加上。
[116:50.870] 来先生多少平米？
[116:53.300] 确实
[116:55.160] 使用面积500多个，那高了。
[116:58.380] 院子大，但是我的小方向也挺好的，就有点远，高山远没有小，圆山现在有一套便宜的1400多，
[117:07.120] 这么便宜就是北大二我一年的房有点事，毛坯都10年，
[117:15.600] 其实买房还是买的位置的小，你看就那个房子
[117:19.280] 3万多一平米，这9万多了，
[117:22.490] 他没在我就送你解除关系了。
[117:25.510] 借了。
[117:27.220] 一直渐这事儿先让珊珊国界，
[117:31.790] 你也同意。
[117:33.220] 同意。
[117:35.310] 就这么沉下来3分40万。
[117:38.920] 40万够吗？便宜了多少钱？
[117:44.920] 钱，反正我优惠56,000。
[117:47.110] 给他们两块钱。
[117:48.990] 你心里了。
[117:51.600] 差别的比别的车有别的车之前是优惠4万5万。
[117:56.910] 万八，这车优惠毛6。
[118:00.160] 便宜2万块钱，然后肚子装饰又便宜，他不是2万吗？
[118:06.150] 穿着你做吗？做了给你算吧。
[118:09.640] 了。
[118:10.960] 反正在外边花不了多少钱，但是。
[118:12.740] 你要用那个叫什么？
[118:14.370] 那叫什么魔法很浓，威固的膜，所谓宋镀金的土金青面獠牙，
[118:20.610] 可以是吗？别模式就是施工那更好一点，对。
[118:27.510] 对了，谁知
[118:33.310] 它比新车便宜了2万块钱。
[118:38.290] 是吧？不是甚至28,000。
[118:40.770] 不是，其实他是他的新车优惠48,000 48,000没返还优惠，对，然后现在买这台车一个56,000不是18,000吗？
[118:48.600] 那不是18,000，然后就得多加了两年两年保修6次保养。
[118:55.460] 那块选那几年，但是我到他保险那是我那会儿给了
[119:02.370] 单位研究院是吧？
[119:04.730] 一年一次的，反正够不够？
[119:06.820] I保养。
[119:08.670] 我差不多开了，你没测他都几年才4万多公里，然后。
[119:13.540] 他让做别的，这不用我明白了，不是钱。
[119:16.890] 没错，就是三
[119:18.490] 20多万。
[119:19.800] 30多万是83万。
[119:22.140] 万不知道。
[119:23.220] 又白了对。
[119:25.400] 一半都卖不了，车子又不保持。
[119:29.510] 不是，现在二手车是越来越便宜。
[119:34.560] 没事，还是要用点心。
[119:38.650] 前车主的。
[119:44.970] 10万。
[119:45.840] 你听明白了。
[119:48.330] 上网了行吧？
[119:50.180] 那就了。
[119:51.940] 重点到了。
[119:53.540] 我在外面稍等一会儿一下。
[119:57.360] 好，我喊你收一下。
[120:00.000] 发票包括跟行不行？先生少林了。
[120:04.940] 要给您给他出去吗？
[120:10.050] 我信了。
[120:11.890] 密码。
[120:15.270] 我经常看到他了知道了。
[120:20.280] 你再过去我再他们就简单，
[120:24.470] 我应该是我看看
[120:26.120] 他把这。
[120:27.410] 条都拿了，你这不给这个数据。
[120:29.510] 皇上好没打是吧？
[120:31.280] 网点表演吗？
[120:33.160] 你跳也没？
[120:35.640] 我看一下OA。
[120:37.130] 我刚从账户里面签完字。
[120:39.660] 男生
[120:47.610] 华夏个人。
[120:55.840] 走着走，
[120:58.240] 到深圳拿回来，对了，老师你的有。
[121:05.500] 那时候不叫事儿，你不给重点
[121:11.260] 就开始疯了。
[121:12.980] 那哥们一看就喜欢知道过去，为什么？
[121:17.320] 因为我北京
[121:21.070] 他开始
[121:22.320] 包装袋上这点就拿
[121:25.260] 这点不算。
[121:26.800] 网
[121:27.500] 而跑拿不是变更，
[121:29.280] 找工作，
[121:30.440] 他见到一打就出去了，这么大了，这车子便宜了地方，
[121:37.130] 费劲了。
[121:39.730] 但是我一直觉得
[121:44.600] 开放一点了最高配的63。
[121:50.490] 对。
[121:51.730] 你到时候下班住权贵做
[121:55.640] 上王牌其实也没掉了，夏天不行吗？可以全部然后昨天屋里弄，
[122:01.710] 不经常感受一个让我只要有时间上班，
[122:08.630] 300名牌他这不能进去专门，你看怎么办？
[122:13.700] 园区中
[122:15.130] 完了开完了，
[122:17.230] 对它有作用。
[122:20.010] 这车赶紧送了对吧？晚上回去。
[122:23.530] 你把那票拿好了，
[122:26.090] 元素话费搞不到无所谓。
[122:28.660] 不能说明就行了，没事儿。
[122:31.150] 没找到就生活了。
[122:46.100] 他回来没？
[122:48.730] 与会不能一会可能不能那么多，然后到时候直接就还得再重新再聊一遍，不再管了就不用。
[122:56.490] 然后当时我说
[122:58.320] 张总说三毛明天再
[123:00.410] 二手车随便现在签也行都行，他怎么说的，今天不他不说现在还是1000吗？
[123:06.000] 韩国
[123:07.120] 了
[123:08.800] 谁知
[123:19.600] 樟树人
[123:21.430] 我也不知道他签名签。
[123:24.210] 签也签。
[123:27.670] 人才
[123:48.710] 觉得
[123:55.810] 文化
[124:00.880] 数据、
[124:09.720] 坏。
[124:15.310] 点
[124:16.440] 元
[124:19.240] 那行完了等会吧。
[124:21.600] 有点
[124:22.740] 了，
[124:24.880] 谁知
[124:30.500] 怎么做？
[124:32.390] 这样子，然后能不能去做专门的化妆。
[124:36.770] 18点对不是比如说这条明天给你，你车子钱当时给钱当时就给，
[124:41.810] 上车当时之前201给他19百二十八万拿到了。
[124:45.950] 对你准备10万块钱，结果完了集团现在退款的话，我看要坚持，也没有人吃的话就答应了他实际
[124:56.510] 俩
[124:58.990] 两个概念你知道吧？但是咱们讲就是我拿那些吗？我在直接到你卡上去这发对他钱的人辛苦了。
[125:06.730] 你之前没签，
[125:09.510] 你们明天
[125:11.700] 明天早上送车来牵头好吧？
[125:15.450] 我现在电话
[125:16.410] 等会儿等等我说什么过来。
[125:26.480] 咱先说这。
[125:27.550] 你照片了，好，你别到了不要了，我待会去了。
[125:34.110] 车载麦他们吗？我看老师给咱放。
[125:37.360] 要咱们你还想再外头。
[125:41.810] 就在外头有点下雨，你又拿一大包干嘛的，我说全给你跟小店。
[125:48.920] 谁知上周
[125:53.950] 到了。
[125:55.320] 不是咱们说肝在哪呢？
[125:57.360] 的下雨。
[125:58.970] 等一会儿也行，没事。
[126:31.430] 关键这点都来了。
[126:33.130] 好，谢谢。
[126:36.440] 我们的有点。
[126:43.440] 我了吧太阳。
[126:48.390] 那里边都有点要出太阳了，这边的。
[126:54.950] 的还是小说是吧？
[126:59.450] 下着雨没法看。
[127:03.350] 我这一块不要了，理由是啥？能不能成为一个我开的
[127:10.690] 等着。
[127:11.460] 外头都是今天我也没法看着要求。
[127:15.890] 本来想开会
[127:19.430] 了，
[127:20.350] 但是或者能不能拍的里边清理的主要
[127:26.740] 或者等会再看看。
[127:30.730] 我喜欢
[127:31.660] 谁知
[127:36.750] 做的。
[127:41.000] 谁知
[127:47.480] 不能少
[127:52.580] 快。
[127:56.290] 一句话
[127:59.160] 说
[128:02.350] 的。
[128:03.660] 12。
[129:12.280] 的
[129:32.410] 远。
[129:37.070] 的
[129:40.920] 坏。
[129:44.310] 我不就行，咱门口等你抽烟了，要不你跟他碰一下，我这放在我。
[129:50.440] 先在手。
[129:52.150] 咱们来你这等我拿单子缴行。
[129:55.480] 三次一点。
[129:58.280] 你就照尼玛让咱们先看看，没事我不知道这事儿，我也是一块的人都了。
[130:04.890] 现在光肯定办是吧？现在干部我拿着东西挺吃的，上半年利润
[130:12.630] 咱办完就完事了。
[130:14.250] 干完了唐老师吃，正好老师现在也讲不了，是那得下班了。
[130:18.970] 因为我得如果引擎了把车子弄好了，我就开车走，不然我就不开车，因为您帮他手机能弄车，
[130:25.870] 他们车什么都没弄。
[130:27.400] 你现在弄现在人家那有人吗？
[130:29.560] 吃办手续交钱都有人，消费都有人，还是干什么就交费，然后让分配系统给咱们签合同就完事了。
[130:37.350] 对，然后流程然后老师给您讲车，我去把车开去做装饰去，
[130:43.290] 然后正好离开这边上班，咱们把临床
[130:45.400] 我就去保险去就完事了，待会就办理了，对一会这么办。
[130:50.990] 我交那个钱，比如说什么保险内饰什么的可以啥的话是吧？
[130:58.420] 都可以刷，一个是超过三张卡，不是卡的时候不是内饰什么的，可以刷别的卡了。
[131:04.930] 可以，他是不是只能能不能储蓄卡都是储蓄卡，对，不是保险应该行，因为我原来办保险都是干啥的，它都是财务把所有钱都交了，我们都给您代办了，
[131:15.110] 就不用您的这花钱拿了，
[131:17.190] 因为他保险是可以单交的，
[131:19.960] 去哪交去是不是？
[131:21.340] 三管理部门不收，我们都收到，我们财务给您代办，我一会带进去路上咱来详细说，我再拿单子，房钱有钱。
[131:28.700] 保险涨，
[131:29.980] 我保险还有用的，你跟张晚上都满意。
[131:48.090] 开朗。
[131:48.990] 我认为其实咱俩拿了一点用
[131:52.840] 拿着手机正
[131:54.640] 到现在不能。
[131:55.840] 谢谢。
[131:58.160] 开展了。
[131:59.230] 那天老板没接后面
[132:02.840] 然后我
[132:04.020] 这边咱们行不是您在车手胡椒，我看我这方面。
[132:10.930] 您那是续保险阿姨，咱们谁知
[132:17.610] 交财务，然后去那边出口也非常
[132:20.530] 保险有啥关键？
[132:23.210] 保险给什么东西，他每天8点都是中年听说什么都没有，第二年去保险的，我给你保额保费的优惠，今年
[132:31.890] 保监会规定多达383折，
[132:34.240] 抱着睡
[132:36.000] 这钱了对你妈妈的。
[132:41.390] 好像
[132:44.290] 什么现在有一个逮捕车险，
[132:47.210] 你交1798，然后如果有划痕，
[132:50.150] 第一次给你发2500现金，第二次再给您发过2000 5000米，已经这么营养这活动。
[132:55.130] 这个的话很大，还有很多对你跟别人撞了或者跟别人刮蹭了，他都放着。
[133:02.550] 好像他是有什么一个女儿，还有没有应该有这需保险费用。
[133:07.600] 你第一年买的新车出的保险，但是您该出的
[133:11.050] 他们不会有，但是比如说您新车第一年过了以后，你再找他们去保险，为了让你买他们公司保险，它都会送一些东西，
[133:20.490] 买找到了这接受，后面报道肯定不了，昨天还有。
[133:27.030] 登记。
[133:28.840] 据保险有。
[133:31.370] 上个
[133:32.900] 去年10月份续的保险。
[133:34.960] 房子给我没要教我卡，我就让他返的现金，对，一定要把的那种。
[133:41.600] 是先交费千没有。
[133:43.320] 咱们签这个签字办手续，现在有。
[133:46.290] 买贷款跟他签了合同，然后交首付。
[133:50.220] 我找我最后先交代完了也
[133:53.230] 我先弄是咱后续什么都干不了，没法去保险那边办灵堂。
[133:57.190] 发票也没有。
[133:58.380] 问题是不是？着急老师有用，敞开逻辑了。
[134:03.260] 快乐开关麻烦您注意。
[134:06.370] 没事儿，您回头哪天对哪天来开都行。
[134:10.290] 做阿姨。
[134:11.910] 谁知道？
[134:14.160] 范例了跟上来。
[134:16.430] 感觉开心点。
[134:18.660] 阿姨您喝点康杯茶水。
[134:21.980] 你现在是不是要给我出单子？
[134:24.140] 还是照保险人来负担的，他不来我不都发给你了吗？保单就行了，你来办就行了，对。
[134:31.390] 给您送一个11,000的保险，您选一下的。
[134:34.470] 我这没看见，没事我给你拿那什么来了。
[134:38.000] 好像
[134:39.880] 里边有你看好多种什么阿姨你留着你别给我拿了，你留了一点茶叶给张。
[134:47.730] 我这边拿了多少趟，非常喝点茶水喝点。
[134:51.200] 您喝点橙汁的行对我说的意思说你别的你这饭。
[134:55.570] 这个事儿没事儿，我们这放来得及。
[134:58.540] 到1:00 1:30那干天完事儿了，
[135:01.770] 来杯橙汁来一块那水去。
[135:04.550] 我把放这是我交费的，对我还得退保险。
[135:09.640] 把这放着一下，喝点天什么了。
[135:12.730] 服装节了，
[135:15.080] 的放空的在我没有固定座位，我有一个小屋，刘丽过来签合同。
[135:21.630] 带着。
[135:23.650] 金融的跟咱们签个合同，批贷函子拿过来。
[135:26.570] 有，反正他一共明细交多少钱可以，阿姨怎么选了，你这保险怎么选？
[135:31.170] 那是什么看都有，您告诉我一下，我也看我请你打字。
[135:35.170] 打算对出来我看看。
[135:37.120] 我先上来一下，对这一下手
[136:12.720] 说喝的是什么玩意儿？
[136:17.320] 发错，
[136:22.340] 然后
[136:26.640] 他这个礼包是销售这边做还是？
[136:30.640] 行政那边做的？
[136:33.210] 我都不知道。
[136:34.950] 我看上面流程是我这边激活完成以后，到行政那边在什么OTL型的，
[136:43.830] 怎么做什么做，我现在做不做，
[136:46.430] 你要做是在哪里什么？
[136:48.830] 魔比里边肯定得做。
[136:52.920] 这车要是比如说他本身销售政策就送
[136:57.240] 保养就在磨B里边做这些。
[137:00.430] 他也应该做。
[137:02.400] 不一样。
[137:43.450] 您坐。
[137:45.090] 您坐没事，我这坐一天您坐您谢谢。
[137:49.060] 金融合同先跟他说一下金融活动，
[137:58.760] 这样还挺高。
[137:59.950] 但是可是这个弄完了，我估计我装修的补偿
[138:03.680] 说不他说不至于，但是他好像
[138:06.980] 但是也无所谓，就是车型他想再说，而且开始
[138:11.900] 我其实也不着急开车，
[138:14.200] 你说我这边下雨到这下心里了。
[138:17.300] 然后我跟您说一下，
[138:20.540] 这个没事，我跟您说的礼包说厂家说是要搁在咱们档案里面，
[138:27.570] 首单我给你个性呢。
[138:31.330] 来，我先跟您说说一下主要合同分期合同，
[138:35.670] 这是您当时购车订单您的车型，一二月龄常州立标轿车，
[138:40.770] 在这一二个零杭州一个轿车，车架号给您念一下，8548679，
[138:45.760] 598679，
[138:47.080] 这叫什么号？就车架号，车架号是不是您的车架号，对我当时对你跟他们挑了一下，
[138:53.330] 然后车辆售价实际优惠后354,800，载着您的车辆实际销售价格354,800，
[139:01.470] 您的融资成本总额206,304，这相当于尾款也是三年以后一次性还尾款。
[139:09.200] 是三年对三年的融资费用总额的28084两年，三年的三年，28084的融资费用，就相当于您每月这月供780块1毛3×36，你知道这相当于是利率是多少？
[139:22.430] 4.666。
[139:23.810] 那还可以，我告诉你，我稍微
[139:26.840] 我还跟他说，我说你看你们这全都是帅哥，没事这了，真是你们这也挑人肯定了，两个不字是肯定的，55
[139:37.460] 780块13300万1毛34.5给你们，
[139:41.840] 然后这到这摆明要压缩，对你这170两顿饭才行。
[139:47.430] 然后还款金额总额就是尾款，加上您多还的每月780+100是一个月，
[139:53.330] 月就算每月都还每月都还780块钱。
[139:57.580] 首付148,496，第一次一共加上您的保险和购置税，他那边会给您详细列出一个单子来这块。
[140:07.040] 尾款就是我刚才跟您说的206,304，这等于是三年以后一次性还，谁知。
[140:14.750] 对到会有提前200会有给你打电话，提前几天还是对都可以，您只要还完最后一期780块钱，你说的咱
[140:25.300] 北京您要是无缘无故提前还的话，会有一个未还本金的办法，而且我给我三三怎么把您这车您不也就自己用，也没说就过两天就给卖了这
[140:35.570] 是吧？谁知道现在咱们都快乐，你看前开展反正的他年薪这一头来，
[140:41.440] 媒体不买，然后这车不是可以那种是花样不一样的，
[140:46.290] 这种的是吧？
[140:47.690] 还是所有都有，其实
[140:50.270] 当然这个方案的话会给您添堵，包括或者一些优惠，比如说您看您之前奔驰金融贷款买车，您用这个方案这回就送您
[141:00.580] 3A+3B的提高，对一会我会跟您签一个，然后他会把33B1我就直接做进系统了，
[141:08.070] 这张是要不你跟他们说一声，他不知道这礼包怎么弄难解。
[141:15.020] 谁知到强强我觉得没必要，您有车库吗自己吗？
[141:21.690] 没必要上盗抢。
[141:23.000] 这三点三点的33B
[141:25.800] 您哪个偷抢整天万一人家把车偷走了，那车子不给赔33B+1。
[141:32.830] 对也行，应该上。
[141:35.680] 玻璃划痕。
[141:39.120] 您可以其他点，今天以上应该是要上我觉得
[141:43.760] 重要的。
[141:45.160] 谁知盗抢都有了，开票这些东西都有了，这几个玻璃划痕吗？
[141:50.590] 为什么你不是要给送那个吗？
[141:53.080] 他那不用一共15,000吗？
[141:54.870] 保险送您11,000，对您自己掏不了多少钱，你不是说1000多等于先正常做，然后再因为我商业险按照北京市按12,000姑的
[142:06.110] 诠释，对，但是他全显出来以后，这个是1万加上交强险950 100万，券商不跟您说过这个事，出了14,000上一次
[142:15.570] 你可以不用上那么多，因为他们一般都给你发特别多的，
[142:18.780] 还有些没必要配不上。
[142:20.600] 主要的因为咱们有玻璃险是多少，三者险的用香度最高了100万。
[142:26.310] 这可以点一点，不是我原来上的都是30万的，换成50不是多少钱。
[142:33.290] 1600。
[142:34.890] 对，这肯定稍微减一点或者50万，对，然后玻璃咱有防爆隔热膜，对，没必要。
[142:42.550] 划痕要吗？
[142:44.730] 划痕其实是车在旁边算了，对已经运华我觉得应该行。
[142:50.650] 看看你算算行男解说魔比心不添加，然后他让sp那边把什么项目添加进去，后续再补一个33B
[142:59.670] 然后价格方面就给您退完了，然后后边就跟您之前活动其实一样，
[143:05.770] 然后这套就是您听好了，然后您要愿意看您到时可以给你家里人哪条这边都仔细阅读一下就完了。
[143:12.950] 这就是您的，然后
[143:15.500] 这两个我当时不给了您一份吗？您带走的我都不知道给放。
[143:19.950] 妈没事，这有您一份，然后我都给您签好了，您的姓名今天7月9号您交说。
[143:25.970] 然后您的底盘号。
[143:27.100] 五十八六，但是今天下雨我不一定拿提走，您看看您就这么写，对您开票。
[143:37.800] 你们要不要还能办其他手续是吧？对，那可能没事开就开，然后
[143:43.470] 包含着什么东西呢？
[143:45.000] 三六次发动机油机滤基础保养，然后空气滤芯三回，
[143:51.450] 空调滤芯儿两回，
[143:53.990] 然后刹车油一回，
[143:56.250] 雨刮片两次，
[143:57.880] 然后什么制动片及什么自动传感器一回，这道我知道，我想说比如说他那个车开能够有多少公里，它自动
[144:05.620] 提醒要
[144:06.720] 保养是吧？那是用这地方比较强，就管演员这块，用这种车是三年之内有保养。
[144:14.120] 本车是没有奔驰，像那种车是不送您保养的是吗？我记得原来
[144:19.790] 他有一个什么三
[144:21.160] 下面的或者是方面吃饱要质保，质保质保是什么意思？比如说您车可能哪个搭建非人为的损坏了，他自己就损坏了，您就开过来
[144:30.690] 给您走索赔，记得原来的车也不是哪儿D有点问题，对咱吃饱是每次都是吧？
[144:36.970] 是12年的，那是好103年不限公里，一会让芦山这边给您做。
[144:44.310] 然后这个礼包当时是有有效期的，就4年
[144:48.900] 10万公里之内
[144:50.410] 肯定开不了10万公里这块您到这您的保险，
[144:54.640] 因为他现在
[144:56.310] 中国平均的里程数一年2万公里，所以说他当时也没想开6年，我才开了4
[145:02.120] 多拍，都没看着我都不怎么开，有时候没出门就开着，我没有
[145:07.770] 出门还有时候有别的也没开，这份您不用帮我签了，一会是电子签字在您手机上，就跟当时针灸一样，由我帮您操作一下。
[145:16.550] 然后这两份您在哪个
[145:20.030] 一会我能看见你的手机。
[145:22.450] 应该是一会帮您操作一下，没事。
[145:26.910] 可以给您。
[145:28.310] 然后这两份您在下边空白就是签个字。
[145:33.790] 在对空白路线。
[145:37.050] 然后是新津县今天就行了，02年7月。
[145:43.020] 也应该这么那么没事儿。
[145:46.100] 一样。
[145:53.480] 咱们就得这么情况，
[145:55.170] 就能写不行。
[145:57.130] 然后这个也有您一份。
[146:00.750] 一会我给您做好，您别带回家。
[146:04.210] 这个不是没有订单。
[146:05.880] 然后还款您看您是还用之前那张卡吗？工商、农业、中国建设您给我一张我拿着卡了，我现在
[146:15.110] 我把这个钱都在这里了，行，待会发你给我登记一下
[146:19.090] 了。
[146:24.720] 就直接拿来玩的。
[146:26.620] 这里
