[00:01.900] 汽车交车就可以了吧。
[99:37.130] 然后保险的话您看都上哪些险种，我现在让他立马给他算下保险。
[99:41.530] 把这价钱不一样，对。
[99:45.040] 险种我这个事上午全险的话，就是你看你
[99:49.150] 有车损三者，这肯定是必须上的，然后还有不计免赔，就盗抢险你看你上不上，要是咱俩抽空就不用上上盗抢险，然后那就全险三者上100万。
[100:01.690] 行，那等着那就好好，我马上就算没差多少钱，
[100:10.420] 我以前怎么没上去？
[100:11.960] 过来过几年
[100:14.280] 来
[100:19.920] 张哥让我同事带你去交钱。
[100:23.130] 这份财物
[100:27.440] 的。
[102:14.730] 保养之类的。
[102:17.340] 你说保养这车现在送吃饭。
[102:35.080] 是吗？
[102:35.920] 四12万两千八三。
[102:54.140] 哪个？
[102:54.980] 对，购置税就会对。
[103:00.840] 体重是这样的情况。
[103:02.550] 他写的降价6了。
[103:04.160] 太不准了，您看我们刚才那三点附近，我跟您说就是说
[103:09.880] 合肥市怎么办？就是说这个房子是，但老车都没了。
[103:13.760] 早就没有。
[103:15.560] 那不是换不分期，
[103:18.380] 是300多万的车，你这不那边降低了。
[103:22.610] 是吧？
[103:23.310] 在对微博
[103:26.040] 还有
[103:28.490] 文章
[103:39.520] 没有这一下子真的。
[103:42.080] 我跟他说处理案子，
[103:44.320] 说到这里面。
[103:45.730] 到
[103:48.850] 快乐。
[103:53.160] 没事这合同。
[103:55.260] 不可能的。
[103:56.310] 换一个费用是吧？多少钱应该？
[103:59.120] 就是说你加了一个
[104:00.640] 实验
[105:21.290] 帅哥。
[105:27.510] 什么不对？
[105:32.480] 好勒。
[105:38.850] 保险对保险价格这是950交强险，然后这个是车船税，后边是商业险，就是全险。
[105:56.240] 那就按这个给你算了。
[106:07.960] 你开始你们保险也不。
[106:12.450] 对，那个单子是不上了，知道开始。
[106:15.340] 过120。
[106:16.210] 你要让他估算，就你可以选择对知道。
[106:20.780] 不上涉水和不上涉水。
[106:23.170] 对。
[106:27.400] 给您算的是估算，因为有的客户他有些保险不
[106:30.790] 像刚才这个就不上涉水，
[106:59.390] 你跟财务说了改完了。
[107:02.200] 好拜拜。
[107:13.250] 咱们保险现在上都是平安的，
[107:15.390] 产品的人保不能
[107:17.480] 现在出都是平安的了。
[109:34.160] 老师
[109:36.330] A
[109:42.660] 我现在正弄着，对现在正弄就全款直接交了。
[110:02.270] 行行好知道了，谢谢老师，拜拜。
[110:45.920] 对，看您那个指标您什么时候出的大哥？
[110:48.490] 我下午
[110:50.030] 53的朋友。
[110:51.040] 下礼拜二三到时候您告诉我，
[110:59.350] 咱们验车是去7421检测场，
[111:02.410] 在三环不是南南南四环外南五环那块，
[111:06.950] 实在
[111:10.440] 我知道了A27新发地
[111:13.220] 离新发地不是特别远。
[111:15.080] 我不知道我觉得对不是特别远。
[111:18.430] 这起码以前也这样吗？
[111:20.300] 没有，巴黎西发地有一点点。
[111:22.690] 对北边不对，去我身边见过。
[111:25.890] 是北京京良路那块。
[112:03.200] 今天贴不了膜。
[112:04.210] 贴不了膜了，膜的英文车才能贴。
[112:25.160] 矫健的
[112:26.480] 小店应该都能装。
[112:34.520] 彩妆系列。
[112:37.030] 这样
[112:40.350] 商务
[112:42.240] 眼光。
[112:43.600] 可以镜头。
[112:45.930] 人类不一样。
[112:47.790] 我们有隐形车衣，您看你需要您提前去镀膜就别度了，部门对车漆也没什么太大的好处。
[113:09.510] 以前开个两三千
[113:10.530] 过来。
[113:11.910] 年。
[113:50.430] 1010297704292343，北京市西城区三里湖，
[113:56.130] 3区26楼一院，
[113:57.940] 留一个邮箱，到时候给您发保单。
[114:02.740] 1428. 
[114:04.010] 61428715715792792QQ的。
[114:10.250] 好，现在都没有纸质，对，现在都没有纸质版的了，自己打印，到时我可以给你打印一份。
[114:38.350] 手机号您看。
[114:40.170] 留您的吗大哥？
[114:41.340] 51352122111690。
[114:46.950] 1690。
[114:49.720] 13522111690。
[115:21.030] 陈哥
[115:25.520] 柴哥你一会再给他也可以，就2A2B是厂家杨汇报，你就现在给客户。
[115:32.330] 你现在
[115:33.850] 是你现在需要做的，你就先给他，你现在需要做的是帮我给他送
[115:42.270] 分期。
[115:43.510] B组的
[115:47.400] 北京、
[115:49.980] 然后理发、
[116:02.150] 2A2B
[116:10.730] 没有身上剩下都花差花花斜杠就行了。
[116:16.790] 6000。
[116:20.070] 场、
[116:21.060] 换。
[116:25.300] 没有。
[116:29.640] 我现在有点那什么了。
[116:36.070] 你现在需要给它给写完了。
[116:39.760] 什么？
[116:42.440] 然后你把保险去出保险，然后把客户带回来给客户讲车。
[116:50.210] 好。
[117:12.760] 喂张哥您过来了是吗？
[117:17.560] 您现在是在哪？
[117:19.450] 现在下一步给您讲车。
[117:26.260] 不用了。
[117:33.160] 销售。
[117:34.110] 不好意思先生，您到前台让前台接待一下您。
[117:37.330] 那一把没错，定点外卖。
[117:46.070] 走了一遍没准
[117:53.570] 当大人叫我走，还有
[117:57.380] 扫地老太太没有也知道带上那个东西，
[118:03.720] 他一待就知道老外听。
[118:06.130] 感觉
[118:11.220] 家里。
[118:16.040] 对。
[118:17.100] 医院、
[118:19.730] 医院
[118:24.350] 的
[118:31.450] 外观。
[118:35.800] 你快点去，帅哥。
[118:37.510] 第二节金姐我现在到了一个这一步了，老师刚才说
[118:45.140] 车预付款设置它正常不是交定金1万，他现在给
[118:50.680] 改成什么？
[118:52.850] 预付款的不用管不用写价格。
[118:55.600] 么都不用写是吗？
[118:57.290] 对，你不提这事提走吗？你交钱买票。
[119:00.350] 对，我就直接提交订单吗？
[119:02.830] 对第二第三网点结算简单回忆了再补救了一下。
[119:07.450] 我看一眼提交订单。
[119:09.760] 对三三内地会员不需要。
[119:11.580] 但是
[119:13.450] 现在显示的是订单是SAT投资中，然后稍等一会。
[119:18.490] 对，能不能等等一会他需要跟。
[119:21.000] 用
[119:21.880] 行好。
[119:24.740] 拜拜。
[119:25.730] 爸爸这边。
[119:30.200] 一下。
[119:32.520] 您现在还是I先找一下。
[119:34.810] 说。
[120:37.770] 不是，是另外一个你能帮我看一眼吗？
[120:44.000] 不，你们那系统是邮编是多少？
[120:49.240] 还要找
[120:50.750] 这样。
[120:53.000] 我现在st对不对？他是现订现交，现在是合同签署先签合同就行了。
[120:59.160] 定先提的是吗？
[121:01.220] 你也没弄过。
[121:02.390] 我弄过一回。
[121:04.110] 定金输多少跟您说不用说。
[121:07.320] 他说不用输是吧？不不用说。
[121:09.960] 那就不用说。
[121:11.110] 那就直接让客户签署就行了是吧？
[121:13.140] 直接签。
[121:15.570] 您在这看你要不要
[121:18.030] 轻轻的C是吗？
[121:19.540] 觉得。
[121:28.840] 您听一下您的名字。
[121:41.190] 然后大哥I手机号是61690是哪个？
[121:45.940] 对你手机收到一个验证码，您给我一下。
[121:54.820] 357343，
[121:57.770] 357343357343。
[122:03.250] 好。
[125:31.910] 非得要下去。
[125:33.950] 这还
[125:38.610] 海边。
[125:44.670] 我们已经好好写。
[125:45.880] 对，我知道的。
[125:50.770] 你跟他合作。
[125:51.500] 我到那边好，你坐下。
[125:54.830] 是我让他没事。
[125:56.610] 在上班了。
[126:41.720] 那三天天就2000块钱，
[126:46.610] 房子今年1月2000，
[126:51.700] 找点事儿。
[127:20.990] 老师现在咱俩能再见，您指导我一下，不因为我现在已经是弄完了，然后现在已经代客下单应该待结算的状态，然后我现在需要是不是
[127:31.500] 需要进入门店那个里边。
[127:33.740] 你要打合同的，对我打合同带客户去交钱，还有财务信息表。
[127:39.850] 你这样你直接客户签完了，签完了你不要干解说
[127:46.560] 点待结算。
[127:47.890] 对，然后点完了结算，然后找寻份电子版就都出来了，点点完待结算之后，这块有一个任务需要点完成吗？
[127:55.770] 对。
[127:57.200] 也完成了。
[127:59.290] 对，然后你推出来看一下结算成功了，然后去门店端。
[128:04.480] 咱们看一下。
[128:06.880] 等一下现在是SAT同步，
[128:10.790] 但是领导什么时候签字，
[128:14.390] 然后看你天内就合同打出来，你们是不是得找领导签一下字，
[128:19.400] 是得找领导签字的，但是说领导是不是在上面得给我审批，它是通过压得出口OK。
[128:26.760] 你一开始是不是已经审批过一次，是不是？这是另外一个。
[128:34.310] 另外一个是你们店内的流失，我们客户之间这个流程我不太清楚了，不是你给你讲车，
[128:42.080] 但是我支付保险
[128:48.590] 不是的。
[128:49.570] 然后让我去
[128:53.370] 的。
[128:55.110] 您看一下你说过这个半天才走这多少钱，我觉得
[129:01.010] 的明确了，他长得不多，你看一下你给百订单出来的也结束了，然后是不是结算成功了？
[129:11.790] 我看一眼。
[129:15.170] 着急您慢慢看一下，我们这5点就不收钱了，所以说
[129:18.970] 着急待交尾款。
[129:21.830] 对，然后这个时候您都我们电了没？电端电脑上在哪进，因为这电脑好像没有。
[129:28.780] 没有是吗？帮我写微信发一个网址。
[129:32.800] 那边的电脑有，我要不上那边的电脑，然后打了然后怎么弄呢？
[129:37.710] 知道账号和密码吗？知道你就说下雨，然后你登录之后就能看见那个订单，然后再签订单的最右侧有一个更多操作，你点一下它就会出现销售确认单和财务信息点，我就直接打就行了。
[129:53.810] 你要签了下来打印一下，然后就可以去签字了是吧？
[129:57.030] 对签字，然后在这就钱就可以了，您打的您做这行行，咱去那边好好，您再稍等一下，给我把这客户送这边。
[130:06.310] 好勒。
[130:08.280] 行，有问题给我用下来找你。
[130:17.850] 王的幸福。
[130:19.810] 妈不幸福，一点都不幸福，因为你们都着急，都得让你们把车开走，特别
[130:25.760] 现在都4:30了。
[130:36.850] 车钥匙在谁那呢？
[130:38.770] 还真不知道。
[130:41.390] 郭建。
[130:44.800] 白的。
[130:45.960] 现在你不是刚才还有一个现在不没交钱的，交完钱了，这个是4898对。
[130:51.970] 少吗？
[130:53.480] 有一点担心的同时
[130:55.950] 然后它让您下载出来好车图帮我弄一下。
[130:59.950] 你现在是干嘛？是一会做完星期要开走了，给他发临床，马上下班了电话。
[131:07.050] 手续在哪大哥？
[131:13.900] 让客户干嘛去？
[131:15.430] 谁出事保险的，谁出保险，刚才那电话来的电话号码尾号是。
[131:21.170] 行行好了。
[131:22.420] 尾号是0242。
[131:24.200] 不是你不看您尾号是保险发验证码好吗？
[131:27.580] 完了。
[131:28.250] 不是，大哥你的钥匙在哪呢？
[131:31.300] 我没有上去，还要下来，实在没后门出来，回来就开始。
[131:36.830] 好在下山了。
[131:38.170] 完了。
[131:39.360] 小门我现在在一阵
[131:41.500] 没开车过去。
[131:42.970] 孙老师没开。
[131:46.920] 郭老师你把那钥匙接过去。
[131:49.090] 要不你打不开吗你们大门？
[131:56.490] 完了
[132:00.850] 让客户下载一个平安好车主，
[132:05.370] 你过来他那什么时候出完你去不去？
[132:11.080] 放下他什么时候出完保险，现在素质
[132:16.240] 他说不管去过吗？我带着客户，我在另外一个护士去交钱去，你回来你进来。
[132:22.740] 对我这款交了1000，不是另外一个客户去交钱去。
[132:26.760] 你就讲车，然后一会不是你问王勇不以后马上办他们，让他们要玩自己出，干嘛什么时候完工自己弄。
[132:33.380] 第还是高兴的，一会一会你有可能得去帮我发给您谈了，还在反正就这样这条路一直往前走干嘛？
[132:41.570] 对吧？
[132:44.270] 所以5点之前就出来，凯哥你抱着我说没事没有没事还给你弄一下。
[132:49.870] 我现在去给交钱，我
[132:52.300] 严桥路往前走，奥迪右手边有个小平房，
[132:55.450] 到那去办，你办
[132:57.880] 你接到5:00 4 4:45的时候再给你打电话，还怎么交钱？
[133:01.840] 拿这里边有个单子，你就拿着手机都去，他就给你办了。
[133:05.200] 你带着大哥一起去，要不的话还得要一个，你不用不要钱。
[133:09.140] 不要钱，他这里边都已经包括了。
[133:11.230] 你带着大哥喜剧声道实在要不行，双马那边不能直接打印。
[133:14.880] 吗？对。那时候你还要干嘛？
[133:17.320] 还要办临牌去，
[133:18.870] 我再去拿合格证，别人。
[133:21.530] 林华这需不需要办法，你看去了。
[133:24.330] 它主要是帮您排查。
[133:26.680] 对，我有看到。
[133:27.760] 点开发票你印的多紧张，第8章好。
[133:33.060] 里边有7张。
[133:38.920] 坏
[133:41.490] 场
[133:42.300] 场
[133:43.880] 场
[133:46.610] 场
[133:48.540] 数据
[133:57.550] 数据。
[134:00.780] 数据
[134:10.710] 现在的客户把钱掉了。
[134:34.840] 姐张哥人。
[134:37.270] 赵哥。
[134:38.550] 他去哪了？去？
[134:40.080] 抽烟去了，我给打电话了。
[134:42.810] 我先拿着，因为你刚才您的身份证我还抱你了，我收起来了。
[134:48.630] 一会你就给我一下去。
[134:50.360] 再给你好。
[134:51.920] 一会您跟哥去这边找我。
[134:54.750] 不用找我，一会儿还得回来签字，您给我，你在那呆着就行，我赶快弄。
[134:59.440] 现在马上5点他就不收钱了。
[135:01.670] 然后我马上low了。
[135:06.230] 了。
[135:07.990] 不用了哥。
[135:13.870] 三
[135:17.330] 你说吃肉没打，要把大楼
[135:37.750] 娟姐我都快疯了。
[135:41.730] 哎哟现在有一个客户都4:30了，然后保险还没出来，还半年旁，
[135:46.990] 现在然后再给你们完了
[135:52.720] 了。
[135:54.330] 你帮我看一下。
[135:59.390] 14万多。
[136:06.110] 您现在原来
[136:09.040] 20的价格
[136:10.920] 对着假装打电话。
[136:13.340] 现在
[136:16.060] 现在我是在弄这个要考虑的。
[136:19.990] 可以了应该是。
[136:22.150] 现在七夕内部现订现交吗？现在更多操作已经会了，到时候确认单我就要下档了。
[136:27.790] 几个打一份就行了，打两三分。
[136:31.180] 你还整个现在现象级。
[136:33.550] 大哥太着急了，一波来的吗？
[136:36.480] 不是，这个是上午来的，但是他是直接
[136:40.350] 公交的。
[136:41.520] 然后他下午3点去取钱，取完钱才交的，我去关键是我也不一定让他开走车，
[136:46.990] 我还真的很少办到训练也太
[136:51.450] 太麻烦，你要支援好几个人搭配，你要玩出户几个都你忙不过来以后，反正今天也那什么。
[136:57.890] 今天下雨惊喜好了，今天对今天下雨
[137:01.870] 过来了。
[137:04.590] 还有
[137:36.080] 照片。
[137:37.650] 到现在
[137:39.920] 了。
[138:16.250] 到时候回家了。
[138:18.440] 了。
[138:20.140] 你别哭了。
[138:28.710] 现在
[139:05.850] 重装
[139:27.690] 直接就走。
[139:29.550] 你们好。
[139:33.410] 吃饭
[141:00.640] 了。
[141:01.460] 保险、
[141:03.700] 保险、
[141:09.720] 然后他也有
[141:11.640] 好了。
[141:13.200] 他不给我发，他直接发出去打打电脑。
[141:17.650] 是不是？他去你这边是在哪里？
[141:19.770] 那边拿还能
[141:23.470] 开张了。
[141:25.930] 马上下楼了刚才
[141:27.440] 走了这样盲道卡，这有一个签订现浇的，我就给这弄得我都
[141:32.990] 焦头烂额了，过去还得
[141:34.550] 也不会弄系统。
[142:14.930] 哥您拿着
[142:16.900] 拿着身份证代理了，然后您看一眼这钱给我去找经理签个字。
[142:24.350] 不行。
[142:26.510] 您看一下。
[142:29.240] 这是车的指导价是422,800，优惠后是379,800，然后咱全款部分7也不是换，然后验收上牌2500，这是购置税。
[142:38.570] 33610.62，
[142:40.240] 然后这个是保险14,355，这加在一起是50,465块9毛2，下边这些是装饰15,800，
[142:46.850] 一共你要交的钱数就是446,065块9毛2句，就你三个字。
[142:52.600] 您先帮我签一下。
[142:54.440] 看着我工业对行吧？
[142:59.800] 好在客户这您签一下。
[143:01.940] 这是咱奔驰的一个服务公约，上午跟您说的。
[143:05.650] 日期我写的。
[143:14.030] 你拿好。
[143:17.110] 你能帮我一个忙吗？你能去上三楼。
[143:19.950] 就这三楼拿这个就这做一个解释，然后拿合格证我这边就是你给你拿合格证着急非常着急。
[143:30.720] 的
[143:43.720] 看一下。
[143:46.240] 是不是5点财务就不收钱了？
[143:50.370] 这样。
[143:51.240] 4万三座15,800。
[143:57.310] 标准全线是吧？不是标准还没到标准前线。
[144:00.590] 标准75,000，
[144:02.490] 标准条件44,000到年246,000，
[144:05.590] 算多少方块？
[144:07.510] 还有三天意见了是吧？
[144:09.800] 对。
[144:12.040] 这里面因为我没用上。
[144:15.090] 碧是厂家给的。
[144:17.790] 的。
[144:24.480] 我早上首次到店已经解开了，我这边是不是还得再给钱开发一个
[144:31.880] 对这事怎么接的中午的
[144:36.600] 脱节户。
[144:43.560] 税务的套餐是吧？
[144:45.430] 我就瞎写，我不知道哪个套餐是多少钱，然后我觉得肯定不赔钱。
[144:50.330] 我也不知道多少成本，6378的是不是？
[144:54.200] 对，我也不知道是哪个，我说这话不听话，我就跟你师傅请教的就都往高了报，你要是的话这车价值我能给你让着，我还能给你让。
[145:16.170] 娇娇娇现在。
[145:17.200] 签票，然后半年头应该来不及了了，明天再说是可以的。
[145:23.030] 谢谢。
[145:24.530] 帮我给您选择包给乔建材。
[145:26.030] 拆迁才在，我不认识他建材就是谁就你们一起培训。
[145:31.270] 他就在这。
[145:32.850] 是在这个位置，我给领导你说领导
[145:43.970] 那了。
[145:45.080] 财哥。
[145:55.300] 谁？
[146:00.000] 身份证
[146:02.660] 送进去。
[146:04.240] 谁知
[146:06.070] 啥时候？
[146:07.380] 对，拿着。
[146:09.480] 一会他要用。
[147:09.560] 还是先定现金？
[147:13.160] 一会上海让你签字，因为都是他的名字。
[147:16.660] 行。
[147:19.380] 明天。
[147:20.760] 不是开票。
[147:44.350] 你在这交钱。
[147:46.310] 200
[147:52.200] 6000万。
[147:53.010] 不用扔上面就行，44人630 65块9毛2。
[148:01.610] 今天其实打通了，我刚刚念他念了。
[148:04.620] 一堆钱这15,000那2万多的保险的，
[148:08.110] 您要是这边我没有饲料。
[148:11.020] 200一遍都打。
[148:12.930] 折了。
[148:13.690] 人家不是人家有降价，还有购置税，保险您加一块了。
[148:20.280] 我才念了好几万块钱。
[148:24.910] 我说密码是。
[148:30.370] 你看我这么好了。
[148:33.140] 觉得。
[148:35.180] 不用太麻烦。
[148:43.980] 就这留着的。
[148:45.350] 但是所有担子就放那就行了，最后
[148:48.920] 业务会给。
[148:49.590] 留守了您签字。
[148:53.800] 我先到。
[148:56.990] 我就不应该来，我说可是咱一下给我了。
[149:01.210] 还有。
[149:04.080] 垫付
[149:07.840] 号
[149:09.890] 为
[149:11.590] 点。
[149:13.000] 这找你说好，您骗您了是吧？对。
[149:17.050] 好，你就写个垫付证明，我跟他姐签名不用写一下，先不要走好好
[149:22.450] 的。
[149:25.630] 的
[149:28.130] 对，所以说我说让姐姐
[149:37.220] 转一下也不行，没事。
[149:40.890] 除了像这个条款，
[149:43.710] 还需要考虑的事情或者
[149:49.350] 这确实是33120
[149:52.100] 14我没想到。
[149:54.340] 错电话的。
[149:56.600] 还有一个就是给学校的情况，
[150:02.400] 其他
[150:08.770] 上
[150:11.180] 需要的话这家
[150:16.830] 这里除了
[150:19.310] 车架，
[150:28.040] 6000元
[150:29.680] 的
[150:31.030] 保险。
[150:32.890] 谁知我说如果你有没办法，
[150:40.170] 我跟你商量一下这个应该
[150:44.890] 百
[150:51.270] 第一种
[150:53.960] 的话百分之
[150:57.230] 30的
[151:00.990] 三
[151:05.450] 三
[151:06.240] 36
[151:08.590] 也
[151:10.260] 我的眼镜。
[151:20.180] 在这儿找着了是吗？
[151:22.470] 我准备眼睛有眼睛，
[151:24.630] 有人给我打电话，
[151:26.080] 刚才吃了
[151:28.270] 我已经干了
[151:29.980] 一天了，
[151:31.120] 就有一个说里面有眼镜店了，
[151:34.490] 有3036%期，
[151:36.760] 那也就是你的
[151:40.790] 378,800。
[151:43.010] 多少分成内容？
[151:46.370] 刚开始的38%期开始的时候，
[151:50.260] 11月3~4
[151:52.770] 等你开了。
[151:54.940] 对，根据两三个广州了，是265,160。
[152:00.110] 你看多巧，人家就跟他给人打电话，我不干啥我也听。
[152:07.710] 36.8八十八千零
[152:11.240] 5块钱。
[152:12.910] 分值的话现在是零售，
[152:17.150] 有水费。
[152:18.160] 比如说你的面积的话，
[152:20.550] 都在这个位置上，两本代替了。
[152:23.330] 这个利息是多少钱？应该是8000厘米×36。
[152:28.320] 去年3200 14,190，
[152:33.730] 我不管你的过去
[152:37.740] 就不过去了，今天22。
[152:42.690] 我想这个方案的话，
[152:46.110] 三方面。
[152:47.470] 没有高重点，五我觉得是一个眼镜好像了。
[152:55.730] 再加上
[152:56.860] 电车海洋资源加上保险得提前跟我说，咱们还有别的客户多少，
[153:03.110] 你来房子给我们现场没有什么
[153:06.050] 差不多。
[153:07.660] 再简单不过先没有第155,000 3%
[153:13.310] 在准备。
[153:15.970] 后边这三年每月要把
[153:18.360] 谁知
[153:20.610] 这是非常
[153:23.240] 刚才说了还有一个地方就是利息会稍微高一些项目，
[153:37.870] 怎么样是？
[153:40.340] 周末同时要这说明不要穿不了了没有？
[153:47.260] 三元坊。
[153:48.320] 您身份证
[153:49.590] 屁上方的比例是632号车也是，但是其他的地方
[154:00.610] 我这里来
[154:02.360] 谁知
[154:09.550] 好处跟贷款
[154:11.710] 把起来一下。
[154:14.030] 跟刚才是一样的。
[154:15.730] 都是13601261，
[154:21.150] 用这个方案的话都是贷款的，
[154:24.590] 是30后3月2号谁知。
[154:30.240] 完事了吗？清楚了。
[154:33.730] 他不会再分解到每个月去还的。
[154:36.480] 以前的话三年以后一次，
[154:38.490] 中间过年每月
[154:42.330] 是2700元，
[154:44.370] 如果说这个字他一般要说明一点能典型提交，
[154:51.220] 这个月二号教育的话怎么样有关今天对吧？上班
[154:58.290] 还得继续跟老师说一下。
[155:01.150] 比较高
[155:02.850] 点的特点不一样，你这笔钱还可以多少钱可以放在
[155:08.870] 让我拿下两年以后，三年以后你注定了反正
[155:15.870] 这是这两种分析方法。
[155:21.160] 你的活动
[155:23.650] 您是想D手术，其实首付50%的方案
[155:29.360] 用的客户比较多。
[155:32.200] 3%。
[155:35.430] 您算一下。
[155:36.840] 但是万一的车
[155:39.120] 是378,300，
[156:02.750] 然后做这种方案的话，
[156:04.840] 4期的
[156:06.570] 也就是两年的。
[156:08.550] 从三生石的话，
[156:12.990] 谁知
[156:17.390] 是吧？
[156:18.540] 397年后面三个两，
[156:25.390] 他是一个24的方案，说你们月供
[156:28.840] 的
[156:31.340] 是吗？
[156:32.370] 刚才在ct的贷款好，财富要S的信息
[156:39.390] 玩的
[156:40.880] PSP里面的，因为我记得我在
[156:47.100] 3920这样
[156:50.030] 是方案的例子号多少就可以收获提高到50%。
[156:56.320] 起点降低为24个的话，也尽快
[157:01.540] 把其他的差不多，
[157:07.250] 他对出口部分也起到了
[157:14.150] 这个方案的话，可能用的相对
[157:17.800] 两个方案多一点，地方这个方案如果其实就是这样的，谁知
[157:24.500] 如果这样稍等，如果说或者说我也可以给你算一个方案的36技能，看一下对手术只是单独的手术到1%，
[157:34.650] 然后三十六七号
[157:39.330] 少。
[157:40.640] 前面这些都是一样的。
[157:47.870] 同样的
[157:49.970] 时间长500。
[157:55.080] 4
[157:56.240] 的。
[157:59.420] 五
[158:07.360] 的
[158:10.090] 的。
[158:12.980] 好。
[158:15.320] 同样还是三十六七元，他还是走厂房5%，
[158:19.440] 它的力量一万零三二八
[158:21.870] 号
[158:25.680] 有点惭愧的放在送完了之后，
[158:27.930] 这个电话
[158:31.220] 然后夜宵。
[158:32.660] 第三个
[158:33.330] 三要不给你算哪个方案也是分析，
[158:39.050] 你走到哪方面或者说不算哪个方案，
[158:42.240] 大致的大概是一样的。
[158:47.420] 或者说这几个方案里面现在更倾向于什么？
[158:52.310] 先这样出来的话说一下。
[158:58.460] 三对手的的话也
[159:06.880] 他帮助看看
[159:12.230] 300包。
[159:14.860] 我这边对和里边的他肯定，然后做杨地方跟你说了差什么？
[159:20.630] 音响，还有一个交押金，
[159:23.840] 什么后排遮阳帘感觉是不是太强什么，
[159:28.390] 然后包括甚至就才能选择标的。
[159:32.430] 如果是选择立交的话，
[159:35.020] 座椅通风和那个东西作品
[159:38.320] 最高是38,000。
[159:40.840] 这300低配的300低配差别的财务，然后
[159:48.650] 走的特别
[159:50.350] 买高配的那就是300号华说两
[159:56.350] 还介绍了到家。
[159:58.310] 不用
[160:01.410] 了，
[160:02.490] 最多
[160:05.230] 谁知7万，
[160:08.490] 他的价
[160:11.870] 12号的看看。
[160:15.690] 那个啥。
[160:17.280] 蔡哥。
[160:18.620] 差多少钱？
[160:19.660] 你问问办临牌能等我一会吗？
[160:24.000] 跟他几点下班，他打开行，因为他上我说的
[160:28.720] 他这个版本其实最高就是它的三本，
[160:31.570] 可以往前可以
[160:37.680] 行，我有个交车单我需要给你发过去，你帮我打出来OK的问题，国际
[160:43.420] 行你说。
[160:45.430] 我说行，我等下看看，完了。
[160:50.910] 保险咱就差一个小时的时间。
[161:01.990] 他的二
[161:07.240] 电路身份证颠覆了，行，我这就复印给你。
[161:13.990] 是我的身份证您的身份证
[161:19.680] 30%。
[161:22.130] 不到5。
[161:25.330] 梅姐您几点下班？
[161:29.310] 5点，您能稍微等我一会吗？
[161:34.710] 什么？
[161:36.320] 玩火今天下班，交通这几点下班。
[161:42.920] 行行好好谢谢拜拜。
[162:29.550] 三
[162:30.750] 38万在
[162:38.030] 上了5000块钱30820。
[162:41.040] 现在每天都在
[162:45.210] 来老师。
[162:48.560] 他就叫北京举行，我现在打印好好谢谢老师拜拜。
[162:54.510] 不过咱今天车你肯定是开不走，班级排就是5点下班，那就差了半个小时的时间，对5点下班，然后因为在boss还没出，保险还没出。
[163:07.220] 看到了。
[163:08.810] 您自己办的话，二手车我这边经常开。
[163:13.540] 好，到交通队几点下班？
[163:15.410] 6.8。
[163:16.870] 你不太清楚了。
[163:19.520] 我小时候我不敢，现在自己了的精准5点，
[163:24.840] 你们店也不一样，没变。
[163:26.940] 点我了。
[163:28.210] 不是我的话你说这一块快乐，明天早上上班我就能去给您办一下，没事。
[163:33.910] 一点你怎么办？
[163:34.860] 好天天要点最好，我看看这边做你做的也行，完了过去了我自己办，您明天您就可以了，能够对他肯定早早就睡觉，对您又给我们办我们这块，我们就到园区里边就能办，
[163:51.790] 办完了把这个电话里面。
[163:54.000] 对，我关心我去银行早点去了，其实上不去，我知道您什么时候是你去银行稍微早了，你只要给我一个小时时间就可以了，你问问。
[164:06.730] 不知道是吧？
[164:08.170] 你手上那个老师给我打给我发过来了，这家伙现在保险上了吗？保险这不刚开完发票吗？开发票才能收到。
[164:18.710] 你自己去交。
[164:22.260] 我觉得自己去我们开走了，不行了您开走您就直接没有临牌上路。
[164:28.840] 没有没事，你没有E盘上都被交警截了这12分2000块钱。
[164:34.400] 我看着撤的。
[164:36.360] 测了一下达到是你吗？
[164:39.670] 工作。
[164:40.920] 真的宿舍打算。
[164:49.430] 现在是正常。
[164:50.990] 谁知
[164:53.570] lee您身份证没错，
[164:57.690] 但是这个真的没有什么参考价值。
[164:59.950] 大概的他因为具体的都可以看出来走。
[165:07.370] 谁知
[165:10.150] 谁知
[165:14.690] 三
[165:15.880] 相对点不是想象的。
[165:19.650] 我印象的是6点，但是不确定到时候你不要打电话，
[165:25.580] 咱没有人接电话。
[165:27.640] 咱要哪个药方，对要去。
[165:30.790] 他就行了，今天的价格表彰没事了，阳光告诉他们有4他我看这边旁边
[165:42.320] 都是52年的忘记发的。
[165:46.990] 这种黑色的。
[165:51.320] 大概多久？
[166:15.050] 他们不去检测。
[166:17.510] 但是价格折价的主要完整的情况下，
[166:20.840] 其他的都知道，
[166:22.540] 有公益诉讼什么车祸完整是吧？
[166:25.890] 旧车不是只看这次
[166:30.630] 这个车它必须得看车。
[166:34.230] 就车库了解肯定。
[166:36.040] 上网。
[166:37.460] 谁知
[166:38.470] 以后
[166:42.350] 你为什么想到北京吗？
[166:44.970] 没什么大不了的。
[166:47.940] 完了他给你快到哪了？
[166:50.680] 你给他打电话，他在酒店里拍的好看吗？
[166:54.880] 好好看看，下班了。
[166:57.470] 过去
[166:58.800] 6点下班1点下班习惯，
[167:02.640] 我只能怎么办？好。
[167:15.920] 初二时费劲。
[167:24.700] 一样。
[167:25.500] 对系统我们具体他说
