[00:02.400] 7月15号交车谢泽文迈巴赫
[154:30.940] 他怎么什么代价，hello。
[154:33.440] 这样的没人。
[154:35.780] 那也不能开。
[154:37.520] 可能啥也没开，没有。
[154:39.640] 他那坐着车了吗？
[154:47.800] 跟你说不管。
[154:49.080] 你知道不知道？
[154:53.430] 你昨天去吃饭，
[154:59.350] 过去。
[155:24.850] 你赶紧来。
[155:25.580] 就贴上。
[155:26.340] 您就在前厅等我就行了，完了之后我这边办好临牌就没什么事儿。
[155:31.350] 时间。
[155:32.680] 好。
[155:34.210] 没了。
[156:23.140] 今天怎么到现在没发工资我看。
[156:28.470] 关机了吗？
[156:29.850] 反正抽烟到了
[156:32.470] 公积金到时候没查，都是下午了。
[156:36.980] 上午10点多钟就放了。
[156:39.260] 今天到现在都没找着。
[156:47.470] 你说你没有个东西4年不吃饭，
[156:50.710] 您跟他的手机。
[156:51.970] 对，别着急了，说我这个东西
[157:04.680] 万一车用
[157:06.430] 不得。
[157:09.680] 你吃
[160:15.580] 绝对
[160:17.470] 我就一点一点的。
[160:29.960] 周琦可能8月份去趟坝上，你去吗？
[160:33.340] 去，你骑摩托去。
[160:35.290] 我那搞我不是说他准备卖了，这才几天，为什么？
[160:55.870] 邮寄是7~10个工作日，邮寄到您指定地点。
[161:04.840] 今天周几周三？
[161:07.800] 应该是下周二，可能最早情况下周二最晚的话是下周四。
[161:16.630] 因为牌照过户给您了，您找一个
[161:19.620] 方便的地方，就是比如说洗车房什么的还是还有哪些？
[161:23.400] 或者您拿螺丝刀4方性可行性很方便，因为现在
[161:27.220] 牌照
[161:28.160] 车管所不让你们尤其倒车又系到店里了，因为现在不是星期天，
[161:35.040] 好吧。
[161:35.710] 好好拜拜。
[162:09.550] 尤其刚才是客户，
[162:12.320] 是吧？你下回让他们安排照的时候让他直接找他们销售。
[162:19.510] 不是，现在是这样，原来都销售了。
[162:22.480] 就拿收入拿着孩子过来吗？
[162:25.350] 现在牌照都到家了，你让他就再过来一趟，没必要我知道，但是你知道他们销售可能有一个交车仪式了，就拿。
[162:35.600] 行没事。
[162:37.220] 说。
[164:38.880] 我昨天看要把这个打开，
[164:40.600] 铁路网
[164:52.910] 也可以。
[164:55.430] 刚才听完以后我又在查，
[165:00.960] 行。
[165:17.250] 没事你给我放那待会。
[166:55.960] 公司
[166:56.760] 留给我发现
[168:27.650] 焦点都在了，
[168:28.830] 通过诚实的用
[168:31.590] 能承受的舒适的的是什么？
[168:43.710] 成什么？
[168:45.000] 什么，
[168:56.120] 只是
[168:56.940] 同时使什么？
[168:59.590] 成之时。
[169:01.850] 是不是谁知？
[169:20.950] 或者
[169:22.130] 要我还
[169:25.220] 就要不分贵贱来回答。
[169:27.970] 完事。
[169:30.430] 再见。
[169:33.420] 听众讲解。
[169:43.240] 有关
[169:45.870] 中介的
[169:47.430] 你最后的感觉一样，赶紧的说了，你讲还有给
[169:57.830] 首先发现
[171:20.960] 局长说我也
[171:23.220] 咱
[171:24.840] 我操一定不好，你当往回拉哪呢？
[171:29.860] 怎么着你走了凉快了，没事。
[171:35.120] 我正好得去取个钥匙。
[171:37.220] 哪去往哪，对，那就别去了宁波了，那就去
[171:42.940] 准备车间。
[171:44.610] 单子在车上了。
[171:48.620] 你们现在几个人？
[171:50.840] 祝愿一共
[171:53.380] 400了。
[171:55.190] 弄不过来了，现在没了。
[171:57.540] 我不刚回来，我刚他妈多了，我用。
[172:06.290] 你不知道准备就拿单号吗？
[172:08.250] 对。
[172:09.510] 回去准备拿个单子，然后到你那领吗？要是完事
[172:13.920] 半个车库完事儿，老师怎么说就等着你没有
[172:17.560] 快走，
[172:21.110] 有事经营了二宝，
[172:25.330] 我说吗？
[172:28.540] 你要怎么着你
[172:31.350] 别走了，你不是你上来。
[172:46.470] 真讨厌你说老哥你拿走呢，
[172:49.160] 还在迷恋状态，那天喝的早过了。
[172:53.580] 走吧我这里边有，然后再拿一张走直接走走。
[173:01.380] 办公室坐08要走完事。
[173:07.200] 数据。
[173:13.320] 坏数据
[173:17.140] 的
[173:19.000] 的
[173:21.550] 数据
[173:28.330] 远。
[173:32.800] 的
[173:39.950] 快
[173:59.170] 了。
[174:01.160] 别的
[174:03.000] 我就坐他车来的。
[174:07.320] 这时间更准确，
[174:14.270] 王主任你叫我。
[174:17.280] 我今天就交车了。
[174:20.780] 但主管是吧？
[174:22.230] 管事二哥什么时候不管是
[174:25.150] 我没有我不会，我咱们还没得钱了。
[174:30.170] 除非
[174:32.050] 身体不适，
[174:35.460] 这等着好了，我办完了往回走了，我去拿和药水来拿，主要是过来就是
[174:43.320] 车载整备车间就是装，你这会往那去，应该差不多，咱俩同时到
[174:50.300] 吃你吃完饭之后出来餐厅往右手走，有个3M上面头顶上有个3M
[174:55.950] 我然后去那就行了，相当于你们的嫂子车就在那里边周装脚垫的，然后我马上就到了
[175:02.450] CL的观察。
[175:05.410] 没有去过。
[175:07.570] 倒过来了你。
[175:11.130] 1367507。
[175:14.250] 56750贴千二干嘛要卖了？
[175:19.060] 02023了。
[175:22.790] 你那多少？
[175:25.520] 083。
[175:31.040] 号
[175:32.760] 了。
[175:44.450] 要不开车过来吗？
[175:46.430] 开车我坐车过来的。
[175:50.030] 我从南门坐cos回来的，
[175:54.780] 向辛苦没有跟阿亮正好从那回来。
[175:59.510] 萧萧你怎么弄到上南门来了？办理门。
[176:04.560] 正好这一路我说还用到小妹条拿单爱我一想我手里有，
[176:10.050] 我就直接走了。
[176:11.710] 然后到你这又赶上你这不是全程无缝连接可以。
[176:19.170] 移动连接
[176:21.770] 开
[176:31.920] 车在哪呢？
[176:36.140] 记录与记录
[176:43.860] 记录仪。
[176:47.520] 完了
[176:50.570] 喊个记录也给讲一下，完事了。
[177:23.990] 稍微喊了记录仪，
[177:29.940] 来我把东西
[177:31.940] 哪呢？
[177:37.720] 身份证给你，
[177:41.300] 然后后天去验车的时候带上身份证开上车就行了，其他手续都在我这。
[177:46.260] 然后临忙
[177:50.270] 名牌咱也就一张完事。
[177:52.480] 待会给你贴上吧。
[177:54.290] 行了，别的就没什么了，然后号牌是怎么用？
[177:57.440] 协管号牌还是什么？
[177:59.360] 在网上自选不往上增长。
[178:01.830] 自选可以网上自选，现场购房，自行网上自选，就我给你订的那一章里边，
[178:08.310] 发票的复印件，
[178:10.000] 发票的复印件上有上面所有要信息什么关单号、车架号、发票号都在那上面了。
[178:17.330] 今天是周三，明天再选，反正后天明天12晚上12点之前只要选成功了就行。
[178:27.070] 别的就没什么了。
[178:33.200] 我就给你贴了。
[178:39.630] 对有。
[178:49.320] 好勒。
[179:06.370] 宗教保险是下午2点即时生效，然后路上开车一定稍微慢一点。
[179:14.600] 今天2点就可以了。
[179:18.070] 就是说完了吧。
[179:20.250] 说完了，然后再讲一下这个问题。
[179:28.360] 然后我那手机里下载一个软件，
[179:36.150] 还有人用CK8C
[179:39.410] 我问一下标明
[179:43.920] 这来的哪来？
[179:48.720] 头上。
[179:53.000] 在哪儿找不见是吧？
[179:56.430] 对吧？
[179:58.910] 不行。
[180:01.050] 咱这个记录仪是16G的三个小时录录满了，
[180:06.380] 他有时候有点不要总是一个月这种带着轻松的路，
[180:10.470] 然后这个车空间有系统，
[180:13.470] 然后平时你
[180:14.810] 看的时候也不晚，
[180:16.240] 你需要
[180:17.340] 到打着车一连三点来看。
[180:23.930] 对。
[180:25.220] 要用舞动的就直接飞，两个人没法下来。
[180:31.560] 熄火是用手机能开吗？
[180:33.940] 还有系统用户。
[180:35.690] 方便。
[181:04.110] 他干活了。
[181:06.990] 应该弄东西。
[181:10.030] 太重。
[181:17.670] 好在
[181:19.160] 在。
[181:21.650] 也散钥匙扣。
[181:24.070] 小时候没给你是吗？待会我给你拿。
[181:29.490] 要来。
[181:30.480] 带的钥匙带呢？
[182:04.710] 怎么
[182:05.830] 了？
[182:16.930] 他说
[182:18.330] 不能让我爸不见了。
[182:20.680] 你拿来用。
[182:22.350] 你都不用管。
[182:23.480] 知道了。
[182:26.150] 现在咱们这俩这边拿别的车顶。
[182:30.440] 谁
[182:31.300] 要一直帮我，我想应该我不让不要过来，这是这我理解。
[182:37.580] 我贾哥来了吗？
[182:39.270] 今休息你给他打电话给他打电话，您这边之前我看我给你拿。
[182:44.210] 现在传统理解。
[182:47.870] 这都没事儿。
[182:52.030] 现在
[183:00.190] 我
[183:01.930] 梁波拿了药之后，我跟哥说一下，
[183:06.820] 我下回再拿出来俩再顶一下，我这边给
[183:10.340] 给他多些比较的手段。
[183:16.450] 拿
[183:26.250] 拿下回单子直接给。
[183:27.690] 那啥我这
[183:28.540] 不变的就是
[183:29.740] 这是我提醒大家吃完了。
[183:32.760] 行，小朋友好了，你10万块。
[183:40.990] 你干嘛？
[183:42.060] 然后我给你写个欠条，下面拿单喂。
[183:47.590] 完了I
[183:50.530] 拿给
[183:51.840] 了
[183:53.540] 你写欠条是吧？也写下来下回拿到底出来了。
[183:59.530] 直接开走就行了，直接走了就行了，完了之后等一下我给你拿着钥匙就完成。
[184:04.450] 来
[184:08.880] 前台前台
[184:13.200] 567507商品价出厂，
[184:18.870] 567507。
[184:31.900] 29元写清楚，好了，还有。
[184:35.620] 去，要不你
[184:36.710] 罐头放在
[184:37.760] 原件了，行我就不行了。
[184:40.750] 来。
[184:41.500] 咱这边协调玩，我们
[184:45.890] 好了，今天忙我。
[184:54.080] 没错。
[184:54.940] 两
[184:56.830] 洗完了。
[184:58.260] 没法说。
[184:59.200] 呵呵。
[185:41.310] 你转给你了吗？
[185:42.560] 你找你过来。
[185:45.800] 收费是这样。
[185:47.210] 已经反复说他们了，
[185:49.630] 你把背诵
[185:55.720] 好多谢。
[185:57.140] 我上回拿单子明天
[185:59.360] 没啥用。
[186:00.230] 对你这一遍。
[186:07.010] 这边是湖南。
[186:14.810] 现在公司啥都看不见，
[186:18.100] 没事咱往前走，怎么会到一下。
[186:25.080] 前台前台。
[186:28.850] 想你了，
[186:30.860] 咱往这再往这走一点就行。
[186:34.710] 给他让他就进来了。
[186:36.800] 前台收到了，前台。
[186:45.030] 567507可以了是吗？
[186:52.060] 567507。
[186:57.000] 浩浩。
[187:06.010] 567507
[187:10.180] 10。
[187:11.580] 对。
[187:20.030] 然后你待会出门的时候会等到10秒20秒，他要因为咱们有牌子吗？
[187:25.170] 它会后台核一下你的车架号。
[187:29.220] 对高危。
[187:31.170] 把
[187:32.400] 没见过。
[187:33.900] 对，商品车出库567507。
[187:42.960] 这够简单了呢。
[187:44.500] 真皮钥匙扣，
[187:49.220] 然后里边就一格油，大概就跑了大几十公里，不到100公里，出门正常加油就行了。
[187:56.250] 了。
[187:57.750] 然后使用有什么不懂随时联系，然后
[188:01.730] 明天下午我这边预约成功之后会再提前联系你。
[188:07.800] 可以了吗？
[188:10.210] 好了。
[188:13.100] 好勒都行。
[188:15.070] 可以。
[188:18.100] 行了，路上慢点，需要有什么疑问随时联系。
[188:21.730] 爸爸。
[188:32.910] 收到。
[188:36.830] 收到了早点睡了。
[189:18.760] 完之后
[189:19.600] 说完没有一点想，
[189:24.450] 联通都没有。
[189:34.920] 您好。
[189:36.000] 保险您绕一圈，我没有这人进对那个单子知道他们交流个人。
[189:55.230] 您这两天到后面换。
[189:57.570] 我换您到家。
[189:59.700] 刚说话。
[190:01.020] 我到时候再去看你多不合适，您早晚您都得加，你后期加的话你4万多块钱，而且他部分承包的
[190:09.810] 家就不是这么说。
[190:12.670] 银行还有
[190:15.150] 人家
[190:16.280] 我们家儿子这个车商来说，他消耗也比较大一点，
[190:19.740] 今天还肯定不会了，什么你们家店更好保养，没有不捆绑。
[190:26.360] 我们最早的时候奔驰的保修费用特别高，但是他做国外的政策一次保养还两次保养，现在我们是直接把补贴给你补下来，
[190:36.010] 您自己去干宝套餐就行了，10
[190:39.670] 了。
[190:41.870] 然后看一下
[190:43.100] 三包这绝对的一点漆膜，然后鞭策一下1~5年都是中国大陆
[190:49.590] 奔球直接开始了全国联网的去，每家企业都一样，但是我肯定是希望
[190:55.190] 可以悠闲地回到我们那来。
[190:57.160] 然后5年的时候有一个什么角色？
[190:59.760] 在二年的7月份我就给你讲这个话，这一次要求学校
[191:06.120] 您对整台说比较的明显变化，
[191:08.730] 如果说我发现咱们磨损话，你就能够判断
[191:12.320] 这一次是提供安全舒适，
[191:14.550] 对吗？
[191:15.790] 看看情况，别把我给你打电话。
[191:19.240] 没有回来。
[191:21.590] 好吧，那就
[191:23.200] 您先帮我看一下，
[191:26.770] 一会您确认安危，确认一下卡号要不要开根号，
[191:30.770] 单位有没有需求，我来我跟
[191:33.600] 的要求要我不用，
[191:35.770] 我给胡兰
[191:40.590] 然后确认一下就装上。
[191:43.980] 但是专票的话我创造出一个模板，您感觉刚完成。
[191:48.400] 怎么看？
[191:52.040] 很简单。
[192:25.280] 这叫什么服务费延长保修还
[192:30.490] 有要股票研究。
[192:32.910] 没有了。
[192:42.990] 邱哥他那个车是脚垫没有货是吗？
[192:50.360] 对，跟他说了是吧？
[192:53.210] 跟客户说了吗？由我跟您说您要把您的流量了。
[192:59.330] 自愿行了，我跟客户再说一声，我是走的时候我看一眼好像没有脚垫吗？他。
[193:05.380] 加上好勒。
[193:07.390] 但是记录还不是，是他如果说出现矛盾，他真的
[193:13.080] 我所觉得的话，他一次磨损真的营销服务费用出来了。
[193:17.800] 你留意一下你车上是没有装大包围脚垫的，只是我们装了一个绒脚垫，然后这车的脚垫断货了，然后过两天就到了咱们验牌上牌的时候或者是那个装牌子的时候，
[193:32.040] 然后到时候到了给您装一下，留意一下上形成了。
[193:41.740] 相对它也可以一般到时说看他公司的模式，
[193:45.820] 规模，
[193:46.710] 然后直接
[193:48.410] 北京百得利之星这个地址您转账的时候
[193:53.080] 怎么代理？
[193:54.100] 前厅管了。
[193:55.120] 其他手续都过来了。
[193:58.210] 看一下我们听这个问题。
[194:00.330] 民事诉讼的
[194:02.950] 银行的。
[194:05.730] 北京感觉。
