[00:00.000] 认为他有毛裤，
[98:51.050] 因为选号他可能是保留3天4天来着。
[98:56.380] 反正现场选是吧？
[98:58.920] 那就行。
[99:00.890] 那就行，那可以没问题。
[99:04.150] 因为那天我听大姐说要从网上选号，因为选号的保留先入款三天，我怕耽误您。
[99:10.490] 号3号。
[99:13.320] 没事，我这边给您约到下周二验车，您看安排个时间到时候没问题吧？
[99:20.130] 下周二
[99:27.270] 临牌。
[99:29.780] 这东西不查啥事没有一扒他也按尾号限行。
[99:33.540] 你要周二限，你就是周三夜。
[99:41.550] 不够，周二正好1号6。
[99:46.180] 周三。
[99:48.890] 他是周
[99:51.340] 在7421检测场，在风台为。
[99:55.360] 潘窑路
[99:57.690] 在南南南四环
[100:00.600] 南四环外了。
[100:04.700] 三是吧？得。
[100:07.270] 行再见周三。
[100:09.500] 好的好拜拜。
[101:46.410] 你好。
[102:29.550] 咱们这行卡圈是不是还得。
[102:32.440] 还得用手机做。
[102:35.000] 不还得用sp做。
[102:37.210] 还得用。
[102:38.220] 可以说我不知道，他们说你这弄完以后他还是没有。
[102:41.970] 那卡就行了。
[102:44.460] 不错，I知道。
[102:46.910] 现在我就想什么，现在客户来给我一个找一个，因为咱有申请图像是吧？
[102:51.960] 收到后没有的话，前面合作到时再弄，
[102:56.630] 头都大了，另外一件事情上。
[103:50.800] 姐我是小刘。
[103:52.700] 电视您弄好了，周一过来拉。
[103:59.000] 就还得因为您这批车属于是年年前的程序是过来取，现在改的。
[104:04.670] 是邮寄了。
[104:08.410] 改不了，他不是一个系统，他不是一个地儿送递送的东西。
[104:17.480] 您的车您在电视已经在库房，就这里，电视已经在厨房了。
[104:22.910] 就已经到了。
[104:30.180] 一周一你哪天周一上午下午都可以。
[104:34.260] 然后记着。
[104:36.120] 对周一，然后记得开稍微大点车，咱们司机拉不
[104:45.620] 对象一个什么金杯小店都可以。
[104:48.760] 行，到时候你来给我打电话就行，提前给我缩短时间，比如说你下午1点到你先告诉我一下。
[104:56.550] 好了姐，拜拜。
[105:01.200] 有就不错了，您休息了没有，他也没办法，去年的那不行吗现在？
[105:06.470] 多少麻烦？
[105:08.850] 他是不高兴的，你给我邮寄过来不就行了吗？
[105:12.900] 他怎么还？
[105:14.320] 这怎么还伤心呢？
[105:46.550] 晚一点。
[105:54.240] 可以，
[105:55.640] 可以，
[106:01.710] 所以。
[106:02.980] 邮寄。
[106:04.470] 一行游记，但是费用挺高的。
[106:07.580] 我觉得本事还要100多块钱。
[106:16.200] 行行可以没问题没事好拜拜。
