[00:00.460] 资金链。
[76:41.600] 整体的这种生活的一些去相对来说节奏缓慢，而且物价也便宜点，
[76:49.690] 都非常好。
[76:51.220] 主要是海鲜好吃，它是旅游算旅游城市，可是他算旅游城市其实
[76:58.340] 就跟咱东北一样，它的
[77:00.460] 政策的制定以及人的这种思维比较固化，所以他这种旅游搞得并不好，
[77:06.800] 你开始去面对它，
[77:08.890] 对面他就是韩国的济州岛，人家棋手倒做得这么红火，
[77:13.670] 他过来以后也加上他威海这个城市本身也是军事的一个
[77:18.430] 叫军事用地，原来是那么的用地，它不会就是说开放到那个程度。
[77:25.650] 现在还是
[77:27.440] 对面就急着往能看见吗？看不见我也听过也
[77:31.160] 也有韩国近，从维度上正好是平行的，
[77:37.350] 离韩国近，然后将来有
[77:40.230] 有船有飞机从韩国
[77:42.440] 韩国仁川就是环境太好了，你看我们俩一年才回去一趟，
[77:46.710] 你开开开那个房间里面没土鸡，也就是说桌子上可能有这么一想，有一点白色的毛，
[77:54.590] 没有赌，不像咱北京尘土那么大，最后不用穿双白鞋往外走一圈就全都黄了。
[78:01.060] 但是在他那也不怎么刮风，然后顶多你在房间地上可能看到是有些沙子，
[78:08.430] 他
[78:09.360] 很干净，
[78:10.530] 那边旅游可以倒进烧岛里头，进坐飞机这一一个小时就到了，
[78:16.030] 极少就是一小时到韩国的济州岛，您去济州岛就没什么意思了，反正都是海边其实差不多，对咱们这边做的好，我为什么人家旅游整个的项目
[78:26.690] 服务都做得特好，但是这边没有
[78:29.610] 不去了，没事就知道找个地儿住一下，吃一点海鲜，
[78:33.980] 玩玩海，
[78:35.490] 他两年就退休了，
[78:37.180] 完了将来老人不在了，为什么？
[78:39.970] 我说我就考虑这款车这块还是要装东西，
[78:43.480] 最后像你看我的东西比较多，他们装备
[78:47.190] 吃的喝的穿着用着一大堆挖东西，
[78:51.250] 而且我又看不上什么国产车，我进口就看这款沃尔沃小比较小众，
[78:58.970] 小仲都是比咱可以说都是中产中产阶级，比如咱说有点文化的，
[79:04.820] 开这车，
[79:06.100] 而且它的安全性质特别好玩，
[79:08.460] 是不是？
[79:09.220] 对安全机器设备各个机器也不落后，
[79:14.020] 我干嘛非得你把性价比各方面的合，因为它们能介绍让我买奔驰，
[79:19.500] 就奔驰gl一交易那款，然后
[79:24.760] 但是我一比较的话，其实GLE好像跟他大小差不多，但是空间
[79:31.800] 空间里面它后面涨一点，然后空间感觉也不是那么大。
[79:37.220] 它相对来说一个是牌子之前，一个是比较时尚，对比较时尚，
[79:43.610] 而且才起来你让周边一圈灯色的很简单，单价氛围灯的话，我看他们那好才6000多旋转的，
[79:52.810] 那个不是很贵的，但是主要看起来显特别时尚特别好看。
[79:58.450] 什么开起来以后你要上来小崔给我展示，
[80:01.310] 他那灯就变色很漂亮，尤其晚咱们这个岁数
[80:05.440] 不要那些个花里胡哨不实用的东西，我们
[80:09.940] 大气沉稳比较内敛，
[80:12.360] 一种简约的分工，而且又不是佛法不张扬，不是豪华的，其实
[80:17.680] 别人感觉的性能安全性它的特别好，你首先得保命重要也学欧洲以人为本，
[80:25.420] 目前世界上最安全的车，它在安全上这是无所不用其极，确确实实这么多年一卧龙，
[80:32.230] 而且各方面这个价位，根据我们承受能力各方面你都文化人开个小众
[80:39.530] 车，咱律师医生开的特别多，对我们都是你别看你看着奥迪奔驰什么以后他们就拆迁户也开，
[80:47.830] 给他拆迁户他有钱了都想买BBA对因为面子面子中国对他忽略安全性比较重面子，没有必要，我们也不跟他讲那些，但是一般像比较文化水平比较高的人，他可能考虑的就比较深层次的一些东西，
[81:03.990] 而且人真的别太张扬不好，因为我们并没有达到那个程度，你非得这么张扬，对这款车各方面它比较适合我们安全性，它的做工它的质量在进口以后，要是真让李书福给国产又得给人减配了
[81:18.250] 了，即使盖弄成什么钢板的，
[81:21.460] 是不是？
[81:22.130] 因为对这台车的就是说曾前机器盖
[81:27.080] 还是进口的，但是其他车的机器人已经是破产了，是一国产就完了，他全给你减配，
[81:32.890] 质量也不行，本身好好的东西，你这个安装质量不行，这砸人牌子把那车子给搞坏了，我们国人已经砸了几个牌子，
[81:41.530] 真是我就他了，我就跟你就等我两句，我这也是9月底行没事那钱就下来行，我这钱钱就到位了，
[81:48.590] 我就一次性就得交了，可能还不考虑分期，不考虑不要分期就一下。
[81:54.110] 你以前要充电给电池，这个蓄电池给我们电瓶，蓄电池充电，因为你看我们这车一直都亮着灯的，
[82:02.110] 平常的话也是费电了，所以他称赞变成没电了，他了我就这以后等他们一火场
[82:10.190] 易果产量不得给弄成什么样人了，不会了。
[82:14.620] 会的，因为我们中国人太多。
[82:18.210] 好好做的。
[82:19.800] 完了
[82:20.970] 咱们都有系统，这两个月完了，我在这有时候不懂，经常问题，这有什么像车辆的问题，刚才跟您过户这些问题都你们对客户是什么事？
[82:32.070] 做完了这些功能的。
[82:33.800] 一功能室也不懂，看说明书又看不懂来。
[82:36.460] 特别。
[82:37.220] 行行咱们行一会行谢谢你了，拜拜。
[82:42.440] 我们再联系对拿走，好拜拜谢谢。
[82:54.840] 大家都到9月底。
[82:57.040] 啥？
[82:57.950] 你刚才知道9月底了，
[82:59.550] 买我肯定买我分期，
[83:01.760] 面积我理财9月底到期，
[83:04.880] 我找了两个药，
[83:07.410] 我来了一个栏就最靠谱了。
[83:14.900] 等到
[83:16.800] 了几个，看来哪个数据？
